Episode,disturbance_level,Steps,Returns
1,0.5,69,-134.6436916793275
2,1.2,109,-208.76850713758012
3,0.0,25,-110.14770779724036
4,0.4,81,-147.61088320670078
5,0.1,93,-163.38548967846597
6,0.2,69,-127.87680278280146
7,0.1,74,-135.05458760840514
8,0.4,87,-146.32131933709326
9,0.1,26,-102.00592356973716
10,1.9,83,-162.41611384193328
11,0.7,77,-145.28871247791443
12,0.0,19,-105.54816875017703
13,1.3,234,-454.1995360372288
14,0.3,108,-199.14313361927657
15,0.1,38,-110.40963732120485
16,1.7,60,-137.08415937094188
17,0.3,93,-132.4059412415489
18,0.1,47,-113.20824185118863
19,1.7,76,-151.48976126180227
20,0.2,83,-135.2177832090437
21,0.8,90,-162.03064675566824
22,1.3,87,-129.58336441894562
23,1.6,86,-143.44070836015533
24,0.3,86,-151.68935558271778
25,0.4,98,-175.82205105743105
26,0.4,72,-140.7143757954866
27,0.4,114,-193.52736233390937
28,1.3,84,-141.86848484380477
29,0.8,147,-217.04430205418782
30,0.4,90,-160.02923518083793
31,0.1,41,-115.71989831904904
32,0.2,95,-143.7201840041119
33,0.3,68,-129.06537727805923
34,0.4,146,-193.00492681272019
35,0.6,81,-160.4851803429343
36,1.6,86,-137.75452512813746
37,0.7,104,-166.02182711880465
38,0.2,78,-146.88036037261358
39,0.3,154,-205.09629967025745
40,0.3,73,-134.66260958838637
41,2.0,46,-123.15098981586165
42,0.7,89,-136.95998248748313
43,1.5,92,-141.9038381600974
44,0.7,104,-152.9599949268596
45,0.1,76,-136.16368967858193
46,0.2,74,-135.89707063464402
47,1.3,76,-153.6076124973695
48,0.3,87,-160.42415729018515
49,0.9,78,-155.62436258603975
50,0.1,35,-110.07510822104354
51,1.9,57,-117.40194072343596
52,2.0,94,-177.85212225789994
53,0.1,71,-133.31717033729362
54,1.8,96,-166.76264852167856
55,1.1,98,-149.40785400965575
56,0.4,97,-134.47957717201533
57,0.6,125,-174.68717016654097
58,0.6,88,-142.09308803372056
59,0.3,67,-135.21801750478727
60,0.0,20,-106.44317171430777
61,0.5,138,-180.31532144357845
62,1.8,82,-136.25520656128577
63,1.1,69,-133.7600365737909
64,0.9,76,-133.5689195182323
65,1.5,78,-127.01589762134319
66,0.5,101,-188.4167098807272
67,0.0,18,-104.17018055388523
68,1.4,103,-157.78034063789238
69,0.0,24,-106.10428644659187
70,2.0,81,-139.236304407438
71,0.0,23,-103.10032062007855
72,0.0,45,-120.13999795903092
73,1.2,81,-135.7442704781468
74,0.6,80,-136.76841813182574
75,0.9,94,-178.74605222297618
76,0.5,99,-154.57602819813988
77,0.2,90,-145.96212679594026
78,0.7,84,-153.3389023690204
79,0.0,28,-108.94238101050433
80,1.4,99,-168.10496231633522
81,1.9,85,-138.1946350310556
82,0.1,54,-126.15164180762166
83,1.9,132,-177.5511737264992
84,0.4,89,-139.76136819663833
85,1.5,98,-178.09875577268036
86,1.8,71,-144.09833092755713
87,1.4,60,-140.75812443724487
88,0.1,108,-154.3721789402561
89,0.1,71,-138.12934206554038
90,0.5,78,-135.9701709373835
91,0.0,29,-105.94422616065668
92,0.1,89,-129.3196571754647
93,1.4,98,-142.76875874907404
94,0.7,65,-131.55817818214013
95,1.7,54,-127.97880754544533
96,0.0,22,-106.53706233028899
97,1.0,111,-181.3228002707567
98,1.3,101,-162.6438367365118
99,1.3,70,-131.8709473084178
100,0.1,34,-104.79662712691835
101,0.5,71,-133.29619979076932
102,0.1,40,-118.12992469310977
103,1.0,50,-126.4475469499218
