Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-148.49296680174564,60.10621573162013,-1156.2432,-101.66552,79.6708229426434,17.0,417.0,0.02890497589111328,-0.4657858,0.5059859,-11.086677734375,-69.367645,-0.33488482,11.086677551269531,173.88014221191406,-0.15517425537109375,-66.06177520751953,0.7436313033103943,0.001384551404044032,80.0,50218,0.9892041683197021,0.0003,-95.23682403564453,25.188081741333008,0.508999994180536,32000,222,143
2,-153.04751438618925,45.218544336567916,-693.3269,-102.83715,81.83375959079284,16.0,276.0,-3.082657958984375,-9.0347,8.571266,-0.3719362487792969,-12.348835,8.900519,0.37193623185157776,7.059059143066406,-0.033352792263031006,-3.962899684906006,0.7397021651268005,0.0013058653566986322,80.0,50218,0.9979138970375061,0.0002988,-95.96703338623047,22.791248321533203,0.5070039867303798,64000,816,213
3,-146.31970032649255,30.23932575536868,-379.2452,-102.06539,79.54477611940298,16.0,186.0,-3.74295166015625,-8.241432,5.798548,-0.19508639526367189,-8.5419035,4.2966065,0.19508641958236694,1.7852509021759033,-0.01619100570678711,-0.9539111852645874,0.73575758934021,0.0013570371083915234,80.0,50218,0.9974684715270996,0.00029759999999999997,-95.02094268798828,20.90471076965332,0.5050080103088117,96000,965,214
4,-149.66846699617346,38.88376148069725,-629.25446,-103.18952,81.60714285714286,15.0,252.0,-3.544845458984375,-7.4440722,2.8568726,-0.3393724365234375,-7.2914124,2.4708042,0.3393724262714386,0.9117725491523743,-0.010965079069137573,-0.4524882137775421,0.7317972779273987,0.0014386293478310108,80.0,50218,0.9963995814323425,0.0002964,-94.8833999633789,20.546525955200195,0.5030120063706592,128000,1123,202
5,-164.90828993055555,112.2876390743384,-1840.0103,-101.93175,88.76944444444445,16.0,476.0,-3.77624365234375,-7.019308,3.2017708,-0.3345838623046875,-6.4267964,1.7444859,0.3345838785171509,0.7925741672515869,-0.01157289743423462,-0.40054085850715637,0.7278212904930115,0.0014409227296710014,80.0,50218,0.9959507584571838,0.00029519999999999997,-96.47444152832031,27.665510177612305,0.5010160076164407,160000,1275,210
6,-173.53367029899135,105.76496766967382,-1182.6792,-102.35266,92.04322766570606,15.0,343.0,-4.045056396484375,-6.794655,0.5882439,0.08198178100585937,-4.6797414,2.9982123,-0.08198177814483643,0.47686776518821716,-0.008411437273025513,-0.2023455649614334,0.7238293290138245,0.0012143750209361315,80.0,50218,1.0006623268127441,0.000294,-98.17413330078125,31.895200729370117,0.4990199874853069,192000,1428,209
7,-171.1530550036127,73.82706613188431,-727.8494,-102.19985,92.35838150289017,16.0,273.0,-3.934737548828125,-6.1799273,0.34576657,0.249154296875,-3.752256,2.6686041,-0.24915428459644318,0.313257098197937,-0.005657032132148743,-0.13957569003105164,0.7198216319084167,0.001054312800988555,80.0,50218,1.002853274345398,0.00029279999999999996,-99.00639343261719,31.94580841064453,0.4970240094664514,224000,1583,206
8,-187.72914277522935,134.43741651878264,-1631.4287,-102.68427,97.59021406727828,13.0,483.0,-3.635221435546875,-6.3729987,0.49417558,0.11150797271728516,-3.7750854,2.1097906,-0.11150796711444855,0.2650044858455658,-0.0059179142117500305,-0.05842609331011772,0.7157974243164062,0.0011385619873180985,80.0,50218,0.9998170137405396,0.0002916,-100.81204223632812,35.18013381958008,0.4950279892637624,256000,1736,209
9,-195.21640138239874,160.46810903943373,-1725.597,-102.58339,99.34890965732087,14.0,618.0,-3.450940185546875,-5.7872853,1.5952204,0.13237960815429686,-4.3771124,2.4830222,-0.13237960636615753,0.31056636571884155,-0.0074510276317596436,-0.08728530257940292,0.7117573022842407,0.001151666627265513,80.0,50218,0.9997082352638245,0.00029039999999999996,-102.80148315429688,39.50077819824219,0.4930319916369756,288000,1894,202
10,-205.8612638774671,161.16289467002338,-1749.76,-101.417534,105.22697368421052,16.0,422.0,-3.30630908203125,-5.0058417,-0.0019113868,0.16790650939941407,-3.0572882,2.0796297,-0.1679065078496933,0.2764345109462738,-0.006614163517951965,-0.08526666462421417,0.7077006697654724,0.0010579186491668224,80.0,50218,1.0008009672164917,0.0002892,-104.68864440917969,42.822811126708984,0.49103599328005176,320000,2053,201
11,-210.71952607615893,162.63139364426382,-1524.5936,-102.244385,105.82119205298014,13.0,411.0,-3.097968505859375,-4.677091,-0.15043949,0.16291275024414062,-3.1087554,1.7814275,-0.1629127711057663,0.23413927853107452,-0.005490988492965698,-0.06366108357906342,0.7036275267601013,0.0009463369497098029,80.0,50218,1.002073884010315,0.00028799999999999995,-106.47947692871094,45.614559173583984,0.48904000119877045,352000,2208,205
12,-244.669375,347.60160058215024,-4331.2715,-103.360054,114.91636363636364,15.0,1000.0,-2.918725341796875,-4.605237,-1.0393265,0.06635809326171875,-4.1259665,1.8545909,-0.06635808199644089,0.33588242530822754,-0.007239736616611481,-0.1609867960214615,0.6995375752449036,0.001056198263540864,80.0,50218,1.0001940727233887,0.0002868,-109.70735931396484,55.11959457397461,0.4870439940524629,384000,2365,204
13,-204.95839157348243,205.92421603008188,-3059.0942,-102.116745,102.185303514377,16.0,548.0,-2.76986865234375,-4.766131,-1.1484388,0.24158462524414062,-3.8148286,2.3659782,-0.24158461391925812,0.2201380729675293,-0.005324885249137878,-0.10294251143932343,0.695431113243103,0.0009417253313586116,80.0,50218,1.0046336650848389,0.00028559999999999995,-110.84164428710938,57.95154571533203,0.48504800947891086,416000,2516,211
14,-202.8502987132353,154.21574735423792,-1693.6036,-101.355125,104.27450980392157,18.0,522.0,-2.490853271484375,-4.2671776,-0.57032,0.20398760986328124,-1.7571107,1.6150138,-0.20398761332035065,0.13151134550571442,-0.00358031690120697,-0.046989601105451584,0.6913073658943176,0.0008972362265922129,80.0,50218,1.0042200088500977,0.0002844,-111.47814178466797,57.8451042175293,0.4830519989405728,448000,2672,204
15,-193.00877685546874,114.83948036280903,-1056.9592,-103.41007,99.896875,16.0,409.0,-2.25477294921875,-3.3840542,-0.80737144,0.15176089477539062,-1.4384623,1.4148227,-0.15176090598106384,0.09255821257829666,-0.0027408450841903687,-0.03508875146508217,0.6871670484542847,0.0008729937253519893,80.0,50218,1.0032237768173218,0.00028319999999999994,-111.67755126953125,57.08216857910156,0.4810560015447731,480000,2823,213
16,-238.73215100364965,194.37012251255965,-1390.3568,-101.52103,116.46715328467154,17.0,501.0,-2.099792724609375,-3.994432,0.39564016,0.011480990409851075,-2.4572337,1.5133624,-0.01148099172860384,0.12932312488555908,-0.004754337482154369,-0.029150065034627914,0.6830090284347534,0.0012615330051630735,80.0,50218,0.9972254633903503,0.00028199999999999997,-113.13937377929688,58.45726013183594,0.4790599994846701,512000,2973,213
17,-223.70758928571428,190.21180199116125,-1787.5973,-101.444885,111.42160278745645,20.0,472.0,-2.071498291015625,-3.953823,-0.41887897,0.0363012580871582,-2.887877,1.1198453,-0.03630126267671585,0.09817618131637573,-0.0037057586014270782,-0.01997111178934574,0.6788339018821716,0.001024507568217814,80.0,50218,0.9989491105079651,0.00028079999999999994,-114.09185791015625,59.270668029785156,0.477064004531135,544000,3127,207
18,-202.15010793585526,135.31411433946454,-1422.76,-103.07353,105.14802631578948,17.0,432.0,-1.9615074462890625,-4.2162685,-0.1917867,0.054782867431640625,-1.9163344,2.0993283,-0.05478287488222122,0.08022236824035645,-0.003163624554872513,-0.02044123411178589,0.6746413111686707,0.0010036955354735255,80.0,50218,0.9997301697731018,0.00027959999999999997,-114.3184585571289,58.911136627197266,0.47506800080179984,576000,3274,216
19,-243.53114261168386,487.6916664369276,-7802.135,-102.563805,109.90034364261169,17.0,932.0,-1.962234375,-5.1365457,-0.25916702,-0.056103408813476564,-4.2280693,3.2403283,0.056103404611349106,0.264926016330719,-0.007436633110046387,-0.11595067381858826,0.6704307198524475,0.001363963121548295,80.0,50218,0.9966488480567932,0.0002784,-116.1532211303711,68.58759307861328,0.473072001746849,608000,3420,219
20,-262.2535211267606,385.7309687874311,-4211.3726,-102.5959,112.58802816901408,15.0,505.0,-1.9217833251953125,-5.6462793,0.24201883,-0.017049959182739258,-4.660562,3.9428415,0.017049958929419518,0.232965886592865,-0.00816431175917387,-0.117475725710392,0.6662026643753052,0.001457388629205525,80.0,50218,0.9980832934379578,0.0002772,-118.30746459960938,75.95084381103516,0.47107599339382866,640000,3567,218
21,-274.61308732269504,557.222112150535,-6591.5396,-102.61264,113.25531914893617,16.0,638.0,-1.8730611572265625,-6.098698,0.48792475,0.0005060110092163086,-6.4579096,2.9794436,-0.0005060050752945244,0.3103412389755249,-0.008174757473170757,-0.16287149488925934,0.6619567275047302,0.001250689965672791,80.0,50218,0.9985882639884949,0.000276,-120.76703643798828,89.214111328125,0.46907999085743085,672000,3716,214
22,-272.43011675824175,477.72682125971926,-5843.869,-102.39296,117.0989010989011,18.0,573.0,-1.792471435546875,-5.500269,1.2564976,0.0676217041015625,-4.280254,4.192106,-0.06762170046567917,0.19103190302848816,-0.00675693154335022,-0.11121193319559097,0.6576923131942749,0.0012511389795690775,80.0,50218,1.0005583763122559,0.0002748,-122.67239379882812,96.66195678710938,0.46708400990043564,704000,3866,213
23,-222.86783854166666,277.44291397118167,-3119.1523,-102.27382,102.31089743589743,16.0,572.0,-1.6478599853515625,-6.0069704,0.14730863,0.11193251037597657,-2.2457442,2.6758385,-0.11193250119686127,0.07274892181158066,-0.003343924880027771,-0.026590215042233467,0.6534098982810974,0.0010669672628864646,80.0,50218,1.0040662288665771,0.0002736,-123.36689758300781,97.14598083496094,0.4650880114870078,736000,4016,213
24,-251.80059247211895,269.34563414314005,-3239.5422,-102.65974,118.71747211895911,17.0,636.0,-1.482159423828125,-5.5014825,0.34409398,0.053935394287109376,-2.331925,4.3298693,-0.05393538996577263,0.07166717946529388,-0.003549490123987198,-0.01750495284795761,0.6491089463233948,0.001097487285733223,80.0,50218,1.00078284740448,0.0002724,-124.17286682128906,97.13024139404297,0.463092013378182,768000,4164,216
25,-209.97294175664453,147.6079086105666,-1730.692,-102.61442,105.44186046511628,17.0,467.0,-1.3751435546875,-4.251693,0.35325944,0.06677413940429687,-1.8521268,2.8272138,-0.0667741447687149,0.04626433923840523,-0.002536587417125702,-0.010552830994129181,0.6447896361351013,0.0010792670072987676,80.0,50218,1.0021129846572876,0.0002712,-124.15306091308594,95.7905502319336,0.4610960064877359,800000,4311,217
26,-226.1443739513423,225.8421079385348,-2498.48,-103.2283,107.20134228187919,17.0,415.0,-1.303460205078125,-5.715744,0.73956025,0.01495798397064209,-2.0153904,4.5312285,-0.014957982115447521,0.05939309298992157,-0.0030045202001929283,-0.014206985011696815,0.6404513716697693,0.0011456955689936876,80.0,50218,0.999474048614502,0.00027,-124.55158996582031,95.69528198242188,0.4591000102019319,832000,4460,215
