Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-136.1380738088865,10.595183475274618,-186.68318,-104.74024,68.45610278372591,19.0,111.0,-0.07126419067382812,-0.539927,0.40616196,-9.809130859375,-22.946413,0.21133278,9.809130668640137,109.38487243652344,-0.16330432891845703,-60.440948486328125,0.7436313033103943,0.0017410548171028495,80.0,5627,0.9832847714424133,0.0003,-91.27958679199219,11.033324241638184,0.508999994180536,32000,301,106
2,-135.53807548179873,9.469133933849148,-181.80934,-106.30023,68.37473233404711,34.0,111.0,-1.236223876953125,-9.080578,8.671365,-2.811318115234375,-17.44209,7.803786,2.8113183975219727,18.14563751220703,-0.07940125465393066,-13.094947814941406,0.740358293056488,0.0021363883279263973,80.0,5627,0.9873764514923096,0.000299,-91.07331085205078,11.07783031463623,0.5073366646451225,64000,641,94
3,-137.74204090783664,12.754909131532157,-203.9504,-110.76054,70.56512141280353,36.0,138.0,-4.20509033203125,-9.290861,6.725531,-1.76914794921875,-10.667482,1.3775235,1.7691479921340942,4.615945816040039,-0.03280043601989746,-3.5358896255493164,0.7370739579200745,0.0017135119996964931,80.0,5627,0.985632061958313,0.000298,-91.15592193603516,11.136096954345703,0.5056733452856872,96000,1016,85
4,-137.8671446683114,14.228660152552738,-313.19727,-117.72603,70.03947368421052,42.0,152.0,-5.92246630859375,-9.830074,3.680298,-1.08943212890625,-5.6837,0.7296896,1.0894320011138916,1.9870189428329468,-0.02061605453491211,-1.576141357421875,0.73377925157547,0.0015788571909070015,80.0,5627,0.9872880578041077,0.00029699999999999996,-91.29217529296875,11.340749740600586,0.504010011618452,128000,1328,102
5,-140.10932233146067,14.561099959222583,-276.91537,-103.981026,71.88988764044944,21.0,153.0,-7.0311142578125,-10.012313,0.21753947,-0.5497830200195313,-4.1096606,1.0404978,0.5497831106185913,0.6782742142677307,-0.010756254196166992,-0.48541200160980225,0.7304736375808716,0.00152972259093076,80.0,5627,0.9913777112960815,0.000296,-91.49784851074219,11.402606010437012,0.5023466697765746,160000,1621,109
6,-139.90482954545453,12.474565743261548,-197.66621,-118.97306,72.62954545454545,44.0,132.0,-7.57103662109375,-10.028701,-2.3522944,-0.26597799682617185,-2.4491732,1.1207047,0.26597797870635986,0.2654273211956024,-0.005867183208465576,-0.15459153056144714,0.7271569967269897,0.0012173516442999244,80.0,5627,0.9948527216911316,0.00029499999999999996,-91.53583526611328,11.493687629699707,0.5006833261702077,192000,1915,108
7,-143.81720588235294,18.424179884373814,-248.97299,-112.043884,75.23294117647059,36.0,144.0,-7.78809228515625,-9.866995,-4.120145,-0.1512555694580078,-2.3176827,1.0451622,0.1512555629014969,0.15649200975894928,-0.004445135593414307,-0.050850339233875275,0.7238293290138245,0.0012068653013557196,80.0,5627,0.9963122010231018,0.000294,-91.76226806640625,11.68270206451416,0.4990199874853069,224000,2207,109
8,-144.29219669117646,18.12958258498751,-239.93954,-118.3111,75.15294117647059,45.0,143.0,-7.9359541015625,-9.837501,-4.61018,-0.042689453125,-2.6584194,1.1429577,0.042689453810453415,0.1199227049946785,-0.004166986793279648,-0.019901489838957787,0.720490574836731,0.0013059049379080534,80.0,5627,0.9991071820259094,0.00029299999999999997,-91.96971893310547,11.865765571594238,0.4973566606824231,256000,2500,109
9,-146.00373641304347,19.526627351507422,-299.86392,-114.67142,77.27777777777777,34.0,171.0,-7.94400927734375,-9.7611265,-5.281124,0.022885467529296873,-2.4016266,1.1664562,-0.02288547158241272,0.10988680273294449,-0.003983069211244583,-0.007603121921420097,0.7171405553817749,0.001274015405215323,80.0,5627,0.9997221827507019,0.000292,-92.14935302734375,12.028804779052734,0.4956933234498547,288000,2793,109
10,-153.49960342639594,33.04799616862453,-417.68817,-111.65752,81.13197969543147,39.0,301.0,-7.88839404296875,-9.676912,-4.9290795,-0.02142807388305664,-2.637047,1.1790781,0.021428076550364494,0.17913317680358887,-0.006146230734884739,-0.016309380531311035,0.7137795686721802,0.001393961487337947,80.0,5627,0.9981334209442139,0.00029099999999999997,-92.61045837402344,12.636746406555176,0.49403001303756583,320000,3085,109
11,-154.41600566007654,50.97640854666329,-907.80273,-105.85507,81.51020408163265,29.0,284.0,-7.8685,-9.633498,-2.8602438,0.08898626708984375,-7.285121,1.5695791,-0.08898627758026123,0.3283359408378601,-0.009080380201339722,-0.1007111668586731,0.7104068398475647,0.0014185591135174036,80.0,5627,1.001273512840271,0.00029,-93.08072662353516,14.264616966247559,0.4923666785278051,352000,3379,109
12,-158.58998579545454,41.20733921517871,-645.44415,-115.68857,82.91428571428571,44.0,324.0,-7.7353271484375,-9.330761,-4.8844075,0.2974508056640625,-3.9938068,2.1681395,-0.29745081067085266,0.39225125312805176,-0.009375602006912231,-0.18415029346942902,0.707023024559021,0.0011965262237936258,80.0,5627,1.0069029331207275,0.000289,-93.57133483886719,14.96696949005127,0.49070332856195675,384000,3672,109
13,-159.18604029605262,41.17138441608251,-558.0663,-121.79959,84.19473684210526,45.0,234.0,-7.3986669921875,-8.667327,-3.1731424,0.32545712280273437,-4.5143356,1.6666994,-0.3254570960998535,0.31810685992240906,-0.008954554796218872,-0.17346346378326416,0.7036275267601013,0.0012481570011004806,80.0,5627,1.0092281103134155,0.00028799999999999995,-93.9701919555664,15.49736213684082,0.48904000119877045,416000,3964,109
14,-161.80384149398395,50.82410588790336,-717.85803,-109.67232,85.5187165775401,36.0,305.0,-7.0599755859375,-8.140464,-4.9968467,0.2741534423828125,-4.0084224,1.3676481,-0.2741534411907196,0.2852896749973297,-0.007798939943313599,-0.10778947174549103,0.7002204656600952,0.0011999355629086494,80.0,5627,1.008188009262085,0.000287,-94.41419982910156,16.328887939453125,0.48737667626760073,448000,4256,109
15,-182.56605902777778,210.85825280926943,-3128.3152,-121.03736,88.81111111111112,41.0,500.0,-6.703814453125,-8.470679,-0.8345884,0.0652842025756836,-20.112455,1.1105715,-0.06528420746326447,2.2519171237945557,-0.024825282394886017,-1.0792683362960815,0.6968018412590027,0.0017946307780221105,80.0,5627,1.001801609992981,0.00028599999999999996,-95.98367309570312,31.453872680664062,0.4857133342600456,480000,4549,109
16,-177.01956407563026,145.9021774277247,-2520.3193,-116.258804,89.47058823529412,45.0,458.0,-6.52385986328125,-8.395638,-3.5292437,1.0301917724609375,-6.0106664,4.565122,-1.0301917791366577,1.8730500936508179,-0.02694857120513916,-1.5649324655532837,0.6933715343475342,0.0014489884488284588,80.0,5627,1.0158566236495972,0.000285,-96.9391098022461,34.81026077270508,0.4840500140318596,512000,4842,109
