Episode,disturbance_level,Steps,Returns
1,0.2,85,-130.02638982855672
2,0.6,65,-136.00410330214157
3,0.2,107,-182.31386061221792
4,0.2,76,-159.62818703553057
5,0.0,29,-104.67902731105414
6,0.7,70,-138.69139102765251
7,1.1,72,-140.55424389121657
8,1.1,74,-142.56475054798395
9,0.8,99,-163.37623181254116
10,0.5,80,-141.82951389271153
11,0.6,89,-138.69186422827843
12,1.2,72,-130.7159344818981
13,0.1,70,-138.6007818769562
14,0.7,53,-126.65763809193822
15,0.0,72,-141.49386632461486
16,0.6,109,-141.58946724526834
17,0.4,81,-166.03683273854867
18,0.9,80,-136.48837381581154
19,0.0,47,-110.07884263599973
20,0.1,39,-108.52284408286778
21,1.5,61,-135.8322195000747
22,1.8,67,-133.98442838461438
23,0.7,65,-123.50906632082462
24,0.9,76,-133.1764488473839
25,0.5,82,-135.35069745804762
26,0.9,78,-135.1068038390399
27,0.3,63,-141.84356326942327
28,0.9,69,-137.56693414101392
29,0.1,39,-114.4062458764718
30,1.8,71,-133.42472853163778
31,0.2,90,-147.66647324686363
32,1.1,78,-139.47703748997313
33,0.9,75,-142.0855962357266
34,1.1,106,-137.25966699152798
35,0.3,63,-136.25555909463483
36,0.1,54,-123.09613686830295
37,0.1,28,-106.53532676102657
38,0.3,71,-136.47231711661686
39,0.0,42,-103.15303774242864
40,0.1,71,-132.83917465423943
41,0.5,91,-148.2948982363532
42,0.5,81,-147.48461330686294
43,0.0,32,-107.77452795210841
44,1.6,61,-129.54740430051172
45,0.3,68,-127.75046381393743
46,1.2,60,-131.1054711234713
47,1.5,115,-155.0484638288784
48,0.8,71,-134.81810544818268
49,1.8,60,-135.05656596399746
50,0.1,52,-119.46509113704984
51,1.7,97,-150.18764991525302
52,0.4,82,-134.39168515079157
53,0.6,82,-131.01070557353418
54,0.3,61,-139.86587455476075
55,0.5,85,-134.97788039342916
56,0.7,66,-127.5185833036561
57,0.2,86,-145.7387817732399
58,0.9,115,-163.15578535680157
59,0.0,16,-102.36656498411864
60,0.6,84,-150.6100345121327
61,2.0,78,-163.51130652567736
62,0.4,100,-168.67007074702613
63,0.7,90,-145.08992684543892
64,1.9,90,-150.46961576608362
65,1.1,64,-131.58947250808208
66,0.7,111,-207.8710549422507
67,1.0,90,-141.11845183851221
68,1.0,112,-156.45939535771856
69,1.1,68,-130.46779855504792
70,0.1,91,-140.90373056343418
71,0.2,66,-131.73117322910102
72,1.6,67,-129.82691963516197
73,0.4,92,-150.59192513721888
74,1.3,128,-158.04596344066798
75,0.4,67,-141.41712634311716
76,1.0,86,-134.28370806355522
77,0.5,83,-151.79644436147007
78,1.6,92,-141.35284663145114
79,0.0,51,-116.9670545092204
80,1.1,112,-141.29046405212117
81,0.3,73,-155.26153225530663
82,0.6,123,-177.71496198812926
83,1.0,103,-148.45656288697546
84,1.3,114,-225.36537871520432
85,1.5,118,-173.91125369470433
86,0.9,73,-145.46408590380508
87,0.5,77,-142.23991663856816
88,0.3,78,-145.94301773235412
89,0.3,127,-185.2552851444634
90,0.7,71,-132.9636912564864
91,0.2,97,-172.306494691112
92,0.3,110,-138.45103122311534
93,0.5,75,-138.2587738872561
94,0.9,81,-128.36628276104625
95,0.0,28,-109.07832606619374
96,0.9,83,-127.73655942860346
97,0.1,88,-143.4829496947919
98,1.4,69,-131.22480907758998
99,0.5,72,-131.98925854661752
100,0.6,67,-138.6404750043138
101,0.6,86,-169.63177533131793
102,0.3,87,-163.65244999332987
103,1.4,71,-132.30134084920797
104,1.7,70,-140.23777854679014
105,0.3,82,-136.0630567805889
106,0.7,109,-153.93623643469377
107,0.2,77,-145.69137330775706
108,0.5,95,-139.3973459265667
109,0.8,115,-143.62963818278155
110,0.2,102,-159.1044407808967
111,0.6,130,-155.49935306673882
112,0.7,113,-199.04706793559797
113,1.0,68,-143.10066235769062
114,0.2,57,-132.09361147221446
115,0.1,94,-136.68929624397265
116,0.1,75,-142.49308794979726
117,0.6,92,-143.72701640466133
118,0.4,87,-141.42511826682565
119,0.4,90,-152.6494818617919
120,0.1,108,-163.6366932163412
121,0.1,96,-158.1063815941285
122,0.2,70,-136.52812634012258
123,0.1,103,-153.81339718428532
124,1.2,106,-149.26545708541076
125,0.9,108,-133.78553601397658
126,0.9,75,-140.18318997730458
127,0.5,87,-136.6178529713931
128,1.4,83,-129.21478620010507
129,1.8,86,-151.706209561219
130,0.2,63,-133.3538961529536
131,0.2,123,-195.17391132934608
132,0.8,83,-156.72470123833025
133,1.6,67,-130.10833542750905
134,0.7,75,-137.44669345353077
135,1.2,71,-134.0178220645317
136,0.0,32,-111.87574416029933
137,0.3,94,-169.7764541571966
138,1.0,63,-131.9082638795052
139,1.6,69,-131.78147364525717
140,0.2,66,-126.52430356160212
141,0.8,117,-160.8588965514928
142,0.6,80,-131.41329838882075
143,0.8,83,-166.33326524086013
144,1.7,70,-138.08543129808928
145,1.6,82,-145.2317159411705
146,0.1,28,-107.74274301739794
147,0.0,21,-102.995686099316
148,1.0,57,-130.7668190513098
149,0.0,35,-111.51678730732564
150,1.4,58,-124.49493053356919
151,0.0,32,-109.09077447048774
152,0.1,63,-126.76776940469702
153,0.8,74,-132.00456350095294
154,1.8,60,-133.41815805570124
155,0.1,71,-140.30106237627095
156,0.4,108,-202.90305829162912
157,0.3,70,-135.6677211187966
158,0.4,94,-153.39740031597643
159,0.5,78,-135.17250426108512
160,1.1,74,-142.6187323800688
161,0.0,34,-106.15723329053318
162,1.2,93,-131.1841774118453
163,0.1,54,-124.46078845940653
164,0.6,90,-167.9144442745034
165,2.0,96,-155.89323812014368
166,0.1,77,-133.24008761124674
167,0.0,22,-106.54962484554366
168,0.6,79,-162.75663869706958
169,0.4,75,-142.2781663807983
170,0.7,80,-135.76230281015654
171,0.7,86,-127.70452171240103
172,0.0,35,-109.43419115041522
173,1.0,77,-150.16768646686364
174,0.5,111,-154.21256004324533
175,1.2,95,-163.51934475253842
176,0.3,85,-154.1737247399102
177,1.7,86,-150.9173898845479
178,0.0,25,-106.88352808765259
179,0.9,78,-146.10709858292557
180,0.9,69,-133.2176092183427
181,1.3,61,-126.75683748861073
182,1.2,93,-131.2943334434943
183,0.0,30,-108.02076866373177
184,0.5,99,-145.25039248419776
185,0.8,78,-129.87154640931192
186,0.8,81,-148.71354059810147
187,1.2,112,-149.66523829689856
188,0.7,83,-139.69132661226328
189,1.5,81,-144.25474433102286
190,0.4,90,-154.4476671119605
191,0.6,74,-147.6309961788059
192,1.0,108,-173.69022087802614
193,0.6,91,-141.70910456262584
194,1.2,128,-153.7010236480671
195,0.5,79,-151.01639425878088
196,1.6,67,-128.68045336394079
197,1.6,82,-137.64656616429363
198,1.6,60,-128.69882723046257
199,0.4,82,-147.0145222331076
200,0.5,95,-134.69109752792954
201,0.4,71,-156.47314986478955
202,0.4,81,-144.6528912191887
203,1.6,114,-150.5321903930456
204,0.1,60,-132.3430377593145
205,2.0,101,-150.548031972783
206,0.2,86,-146.41295966253554
207,0.0,72,-131.6660282596773
208,1.1,51,-132.19947731456605
209,0.9,92,-144.10531516086007
210,0.5,84,-142.8281070040023
211,0.4,71,-149.12412719201498
212,0.5,68,-132.25276159787035
213,0.6,81,-142.29083808090547
214,0.1,56,-112.89389469767303
215,0.1,29,-107.9608751673076
