Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-150.25299202127658,21.28113332598379,-224.84212,-101.88726,85.07446808510639,14.0,144.0,0.1306168212890625,-0.32660145,0.6250268,-10.7527509765625,-28.462152,-0.054873273,10.752750396728516,140.27267456054688,-0.13741111755371094,-62.652732849121094,0.7436313033103943,0.0014115753583610058,80.0,40226,0.9879029989242554,0.0003,-92.46257781982422,13.828719139099121,0.508999994180536,32000,214,148
2,-150.18977012434556,22.68477431234647,-232.85803,-101.986946,83.75392670157068,17.0,155.0,-3.3123193359375,-8.372316,7.676725,-1.3125946044921875,-13.304739,5.502146,1.3125945329666138,6.0904083251953125,-0.03618776798248291,-4.028102874755859,0.7403689026832581,0.0019903869833797216,80.0,40226,0.9939908385276794,0.0002990033222591362,-92.72830200195312,13.782815933227539,0.5073421985260703,64000,819,207
3,-148.60730043717618,23.868993052480832,-227.03421,-101.64924,82.85751295336787,14.0,141.0,-4.11827734375,-8.295579,4.7000847,-0.98947021484375,-10.264211,1.6559097,0.9894700646400452,2.2900681495666504,-0.0210077166557312,-1.495172381401062,0.7370959520339966,0.0017629113281145692,80.0,40226,0.9921292662620544,0.0002980066445182724,-92.71257781982422,13.888187408447266,0.5056843768217382,96000,973,208
4,-151.17074396782843,23.20201381432686,-229.72685,-102.01303,85.68096514745308,16.0,146.0,-4.80648046875,-8.392627,2.2342732,-0.6906966552734375,-6.9785523,1.1927468,0.6906965970993042,1.0317555665969849,-0.013319253921508789,-0.651593029499054,0.7338122725486755,0.0017618939746171236,80.0,40226,0.992877185344696,0.0002970099667774086,-92.70232391357422,13.981425285339355,0.5040265646673453,128000,1131,202
5,-155.41937457074175,25.529097208053436,-249.07843,-102.01797,87.74450549450549,14.0,157.0,-5.38804931640625,-8.411796,0.09290771,-0.48848623657226564,-4.0117054,1.1261401,0.4884862005710602,0.5598587393760681,-0.008763134479522705,-0.32439321279525757,0.7305175065994263,0.0016345910262316465,80.0,40226,0.9948902130126953,0.00029601328903654483,-93.0112533569336,14.18244743347168,0.50236876760236,160000,1290,200
6,-157.24897820163488,31.19369587152732,-267.20978,-102.49023,86.92370572207085,14.0,186.0,-5.7309970703125,-8.5043745,-1.7267559,-0.3614501953125,-3.4514008,1.2850175,0.3614501953125,0.3557436466217041,-0.007660955190658569,-0.17008469998836517,0.7272123694419861,0.0017124819569289684,80.0,40226,0.9949138164520264,0.00029501661129568106,-93.48619842529297,14.549938201904297,0.5007109615988222,192000,1446,206
7,-167.68073071216617,36.80445963817646,-309.35428,-102.59083,94.79525222551929,19.0,184.0,-6.061953125,-8.607388,-2.8396153,-0.22934307861328124,-2.3337288,1.6080513,0.22934308648109436,0.26414749026298523,-0.0064882636070251465,-0.08160536736249924,0.7238959074020386,0.0016394064296036959,80.0,40226,0.9953790307044983,0.00029401993355481724,-94.18482971191406,15.251444816589355,0.4990531530460079,224000,1599,208
8,-180.94493809904154,47.583645034406345,-365.9653,-101.62714,102.23003194888179,21.0,211.0,-6.17496435546875,-8.686654,-3.118056,-0.1622405548095703,-2.8497925,2.0318823,0.16224053502082825,0.2822643518447876,-0.007010117173194885,-0.06097390502691269,0.7205685973167419,0.001654135063290596,80.0,40226,0.9963701367378235,0.00029302325581395347,-95.27677154541016,16.470182418823242,0.4973953486081037,256000,1756,203
9,-204.56236049107142,74.77629434806576,-622.23663,-104.32888,114.04642857142858,18.0,296.0,-6.2143095703125,-8.536483,-2.0055497,-0.11195809936523438,-4.968525,2.2867355,0.1119580864906311,0.4226531386375427,-0.00904124230146408,-0.06620004028081894,0.7172299027442932,0.001529883360490203,80.0,40226,0.9984819889068604,0.0002920265780730897,-97.0130844116211,19.65273666381836,0.49573755522300433,288000,1911,206
10,-236.81963698308272,110.21506658463551,-850.3723,-101.30079,119.7406015037594,17.0,357.0,-6.23642919921875,-8.540801,-1.745668,-0.012405290603637695,-3.6102605,3.2706842,0.012405291199684143,0.6514373421669006,-0.012795419432222843,-0.1049424558877945,0.7138803005218506,0.0016252906061708927,80.0,40226,1.0003541707992554,0.0002910299003322259,-100.02436828613281,25.528444290161133,0.49407972120219784,320000,2071,200
11,-276.5967793367347,236.83425703669317,-2750.3364,-103.14413,130.41632653061225,17.0,500.0,-5.89627880859375,-8.334817,3.2114367,0.15624394226074217,-9.033497,4.3186603,-0.1562439203262329,1.2529616355895996,-0.019207805395126343,-0.5957096815109253,0.7105190753936768,0.0016583265969529748,80.0,40226,1.0025620460510254,0.0002900332225913621,-104.12710571289062,38.69823455810547,0.4924219133214656,352000,2225,207
12,-344.7896847345133,436.3571038998836,-4046.6702,-104.71307,140.91592920353983,16.0,500.0,-5.6352255859375,-7.628293,2.0463834,0.3862120361328125,-7.883284,4.97089,-0.3862120807170868,1.6149882078170776,-0.026216119527816772,-0.7981763482093811,0.7071467041969299,0.0017081842524930835,80.0,40226,1.0042542219161987,0.0002890365448504983,-110.30789947509766,63.780086517333984,0.4907641100806215,384000,2381,206
13,-349.01386200221236,394.93481034821275,-3525.914,-103.04547,141.48230088495575,17.0,500.0,-5.14685986328125,-7.415793,2.4426727,0.669843505859375,-4.0910993,4.964409,-0.6698434948921204,1.165552020072937,-0.01812213659286499,-0.6789836287498474,0.7037631273269653,0.0013123709941282868,80.0,40226,1.0080299377441406,0.0002880398671096345,-115.72789001464844,75.68879699707031,0.4891063197964703,416000,2538,203
14,-424.0978338068182,695.359344642623,-5450.7954,-101.82211,145.2590909090909,17.0,500.0,-4.42484228515625,-7.189374,0.84958375,0.4828686828613281,-5.55946,5.0369973,-0.4828687012195587,0.9343484044075012,-0.015493243932723999,-0.4700033366680145,0.70036780834198,0.0011879107914865017,80.0,40226,1.0053281784057617,0.00028704318936877073,-123.68549346923828,105.28681945800781,0.4874484929448711,448000,2693,206
15,-428.87039553140096,557.3693906927069,-3194.6736,-104.445015,154.5169082125604,18.0,500.0,-3.8703544921875,-7.286683,0.36177647,0.49900830078125,-2.151283,5.1229944,-0.49900829792022705,0.5364642143249512,-0.010248959064483643,-0.31029877066612244,0.696960985660553,0.001138563733547926,80.0,40226,1.008381724357605,0.00028604651162790696,-129.81785583496094,115.8211898803711,0.4857906968798545,480000,2852,201
16,-463.83677591463413,695.5312691327856,-4622.787,-102.92452,154.81951219512194,17.0,500.0,-3.27372802734375,-7.082922,0.91926056,0.366009765625,-2.6186063,5.5868297,-0.36600977182388306,0.37702280282974243,-0.008662521839141846,-0.18871602416038513,0.6935425400733948,0.0011639631120488048,80.0,40226,1.004899263381958,0.0002850498338870432,-136.4480743408203,130.15000915527344,0.4841328830034904,512000,3048,162
17,-449.1875,591.7661897244307,-3554.0007,-105.60396,155.31553398058253,22.0,500.0,-2.820052490234375,-7.0729,0.93792236,0.31649557495117187,-1.866099,4.774624,-0.3164955973625183,0.26559415459632874,-0.006307452917098999,-0.12318810820579529,0.6901123523712158,0.001166021334938705,80.0,40226,1.004820704460144,0.00028405315614617936,-141.73886108398438,137.7923126220703,0.4824750900450982,544000,3237,169
18,-451.0962944380734,709.4594401709702,-4366.558,-103.094955,145.88532110091742,13.0,500.0,-2.48098876953125,-7.210532,1.0536547,0.21730978393554687,-2.5806663,5.26535,-0.21730977296829224,0.19338232278823853,-0.005946606397628784,-0.08105973154306412,0.6866704225540161,0.0013380673481151462,80.0,40226,1.003468632698059,0.0002830564784053156,-147.38555908203125,148.6475372314453,0.48081727062403695,576000,3432,163
19,-353.8396624472574,430.2431850851752,-2995.0674,-102.90142,134.1772151898734,16.0,500.0,-2.01699365234375,-7.232832,0.8105374,0.20834542846679688,-1.4552404,4.844702,-0.2083454132080078,0.1436702162027359,-0.0041182637214660645,-0.05470924824476242,0.6832167506217957,0.001059358473867178,80.0,40226,1.0039547681808472,0.0002820598006644518,-149.8372802734375,149.1317138671875,0.47915946409130233,608000,3622,168
20,-358.79610770089283,398.6103763612497,-3048.9153,-102.446175,142.43303571428572,17.0,500.0,-1.6031605224609375,-6.8480062,0.9557263,0.12932992553710937,-2.0239143,5.667286,-0.12932991981506348,0.09817558526992798,-0.00322037935256958,-0.030523348599672318,0.6797507405281067,0.0009636706672608852,80.0,40226,1.0025814771652222,0.00028106312292358805,-151.6043243408203,148.54054260253906,0.4775016527393509,640000,3812,168
21,-424.1877828054299,621.0544237706289,-4830.1636,-101.96867,144.7556561085973,15.0,500.0,-1.5993563232421875,-6.822103,0.9343769,0.05134563446044922,-1.9750547,3.8444486,-0.051345642656087875,0.09834855794906616,-0.004037000238895416,-0.019767332822084427,0.676272988319397,0.0011163746239617467,80.0,40226,0.9998114705085754,0.0002800664451827242,-155.1551055908203,153.45713806152344,0.4758438478763265,672000,3998,171
22,-356.9632190265487,390.73142214030804,-2859.2656,-102.15338,140.03982300884957,15.0,500.0,-1.4279180908203124,-7.0292134,0.64458674,0.07317109680175782,-1.877069,5.5778913,-0.07317108660936356,0.07088285684585571,-0.003061942756175995,-0.015115099027752876,0.6727829575538635,0.0010209878673776984,80.0,40226,1.0014092922210693,0.00027906976744186045,-156.61074829101562,152.61599731445312,0.47418603280317817,704000,4191,165
23,-316.4351472007722,460.7426605251561,-4998.854,-103.08756,123.23552123552123,15.0,500.0,-1.2952265625,-6.9185486,0.8466643,0.05296064376831055,-1.7071065,3.028407,-0.05296064913272858,0.0724470466375351,-0.003287486732006073,-0.014593190513551235,0.6692809462547302,0.0011227360228076577,80.0,40226,0.9999412298202515,0.0002780730897009966,-157.73886108398438,153.6350860595703,0.4725282478009028,736000,4383,167
24,-336.3674107142857,432.734183384428,-3110.4814,-103.15807,129.89795918367346,16.0,500.0,-1.234664306640625,-6.743754,0.46904588,0.0200465030670166,-1.5962216,2.4912043,-0.020046500489115715,0.060202706605196,-0.0032477080821990967,-0.011491701938211918,0.6657661199569702,0.0011710047256201506,80.0,40226,0.9991357326507568,0.0002770764119601329,-159.00379943847656,153.6189422607422,0.47087042074455177,768000,4575,166
25,-281.4784443430657,324.4211127441625,-3778.6877,-102.0599,116.47445255474453,17.0,500.0,-1.0641593017578126,-7.09958,0.89570993,0.022618549346923828,-1.5408379,4.7147493,-0.022618550807237625,0.054963648319244385,-0.0027909912168979645,-0.009430116973817348,0.6622391939163208,0.00133611005730927,80.0,40226,0.9996415376663208,0.0002760797342192691,-159.191162109375,152.40399169921875,0.4692126207832592,800000,4767,166
26,-287.75390625,311.8402407747008,-3490.4016,-102.7943,116.63868613138686,16.0,500.0,-1.05395703125,-6.148632,0.61058855,0.008105600357055664,-1.3311398,4.257205,-0.00810560118407011,0.04717278108000755,-0.0026770122349262238,-0.005339397117495537,0.6586998701095581,0.0013020591577515006,80.0,40226,0.9983637928962708,0.0002750830564784053,-159.5404510498047,151.13954162597656,0.46755480505245134,832000,4964,162
27,-267.06386582167835,263.73651823164545,-3004.4043,-100.961426,111.83916083916084,16.0,447.0,-0.9915625,-6.1217036,0.41100767,0.007586241722106934,-1.415464,2.7409108,-0.007586242165416479,0.04407220333814621,-0.0026540816761553288,-0.006312681827694178,0.655147910118103,0.0012673806631937623,80.0,40226,0.9989299178123474,0.0002740863787375415,-159.48068237304688,149.54400634765625,0.46589701503594644,864000,5161,162
