Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-9.003915615464255,5.782149824527797,-113.578926,-1.933226,27.868352223190932,12.0,112.0,0.1161494140625,-0.34323627,0.6144619,-3.37530126953125,-24.533295,-0.37492958,3.3753013610839844,14.200502395629883,-0.042082786560058594,-8.920978546142578,0.7436313033103943,0.0015445213066413999,80.0,58899,0.9904616475105286,0.0003,-5.66708517074585,4.829041957855225,0.508999994180536,32000,26,1204
2,-8.927921660958905,5.287427298898653,-39.42319,-2.141226,27.39554794520548,12.0,91.0,-1.1989241943359374,-5.4704604,4.5454173,0.003550469398498535,-5.2288013,4.8239346,-0.003550464054569602,2.044353485107422,-0.019714368507266045,-1.4919921159744263,0.7403689026832581,0.0014002126408740878,80.0,58899,0.9990761280059814,0.0002990033222591362,-5.647556781768799,4.529726982116699,0.5073421985260703,64000,179,1221
3,-8.453644430923777,4.331208182495024,-37.284542,-2.1148021,26.51201325600663,11.0,77.0,-1.1273905029296876,-3.10598,1.5931659,-0.00885446071624756,-2.6527803,2.6677692,0.008854459039866924,0.41422319412231445,-0.009329916909337044,-0.20199334621429443,0.7370959520339966,0.0017485579010099173,80.0,58899,0.999488890171051,0.0002980066445182724,-5.488701820373535,4.2277936935424805,0.5056843768217382,96000,206,1202
4,-7.858298043224299,3.9043885751840883,-42.139843,-1.9174365,24.904984423676012,11.0,71.0,-1.112620361328125,-2.4730315,0.71929586,-0.008118305206298828,-2.5936959,1.9622426,0.008118306286633015,0.19263358414173126,-0.007361784111708403,-0.03931460902094841,0.7338122725486755,0.0019474918954074383,80.0,58899,0.9988995790481567,0.0002970099667774086,-5.312270164489746,4.033641338348389,0.5040265646673453,128000,232,1216
5,-7.369939108455882,2.957409648500545,-35.776684,-2.0546324,23.506617647058825,10.0,62.0,-1.086167236328125,-2.2673213,0.5354409,0.0036388545036315917,-2.4492643,1.8089204,-0.003638855181634426,0.1110745295882225,-0.005481057800352573,-0.008321362547576427,0.7305175065994263,0.0019481616327539086,80.0,58899,0.9990625977516174,0.00029601328903654483,-5.117317199707031,3.816210985183716,0.50236876760236,160000,259,1210
6,-6.892178774699313,2.6169084758556527,-34.46491,-1.8147751,21.989690721649485,11.0,63.0,-1.0595562744140625,-2.1627247,0.4323183,-0.00352959418296814,-2.172636,1.6558002,0.0035295928828418255,0.09366165101528168,-0.005480902269482613,-0.004557373467832804,0.7272123694419861,0.0020524165593087673,80.0,58899,0.9993063807487488,0.00029501661129568106,-4.9429216384887695,3.645604372024536,0.5007109615988222,192000,285,1212
7,-6.4760650890554485,2.2116046513072614,-29.29239,-1.7926942,20.61831076724694,10.0,56.0,-1.045493896484375,-2.034789,0.3207201,0.00012988758087158203,-2.4624035,1.0700984,-0.00012988776143174618,0.07509223371744156,-0.00453744875267148,-0.003313107416033745,0.7238959074020386,0.002038265811279416,80.0,58899,0.9999300241470337,0.00029401993355481724,-4.78018045425415,3.5010790824890137,0.4990531530460079,224000,312,1191
8,-6.220420089422488,1.9243066170838115,-26.21493,-1.6007944,19.607843137254903,10.0,45.0,-1.0432960205078126,-1.9718984,0.29520303,-0.002791113615036011,-2.1521366,1.0455697,0.00279111391864717,0.06431359052658081,-0.0038103919941931963,-0.0025577798951417208,0.7205685973167419,0.0018845803570002317,80.0,58899,0.9989436268806458,0.00029302325581395347,-4.638105869293213,3.3742523193359375,0.4973953486081037,256000,338,1215
9,-5.918589208382267,1.6619546335831112,-15.404509,-1.5358987,18.77745155607751,10.0,40.0,-1.0421611328125,-2.051381,0.20721406,0.007596067428588867,-1.168428,1.0493469,-0.007596067152917385,0.05328422784805298,-0.0035029780119657516,-0.0019523121882230043,0.7172299027442932,0.0017946824664250016,80.0,58899,0.9994389414787292,0.0002920265780730897,-4.507833957672119,3.2644128799438477,0.49573755522300433,288000,365,1208
10,-5.723738718250571,1.5974272994605825,-11.317633,-1.4819021,18.259132420091323,9.0,42.0,-1.0341826171875,-1.9146769,0.1156715,-0.002164717674255371,-1.0088327,0.7590544,0.0021647175308316946,0.05000918358564377,-0.0033711546566337347,-0.0014586682664230466,0.7138803005218506,0.001864466699771583,80.0,58899,0.9986146092414856,0.0002910299003322259,-4.3942389488220215,3.1690127849578857,0.49407972120219784,320000,391,1211
11,-5.4816724694293475,1.4989810744748686,-15.895261,-1.8987988,17.38695652173913,10.0,39.0,-1.036467041015625,-1.884561,0.076736495,0.005189881801605224,-1.2743382,0.81052196,-0.005189881660044193,0.04902446269989014,-0.003445900045335293,-0.0014509166358038783,0.7105190753936768,0.001805788022466004,80.0,58899,1.0000883340835571,0.0002900332225913621,-4.290164470672607,3.0866470336914062,0.4924219133214656,352000,418,1191
