Episode,disturbance_level,Steps,Returns
1,1.5,77,-1667.4194377027593
2,1.5,65,-1583.132495269251
3,1.5,79,-1676.7490381025327
4,1.5,89,-1757.5076798204318
5,1.5,60,-1491.289380673869
6,1.5,76,-1486.3972047373782
7,1.5,71,-1494.6482489841815
8,1.5,61,-1489.8483808334825
9,1.5,74,-1787.2526879789946
10,1.5,77,-1579.9289788552733
11,1.5,70,-1560.3917142383248
12,1.5,66,-1501.7272042845477
13,1.5,82,-1694.9865763016223
14,1.5,66,-1617.9053526828066
15,1.5,64,-1600.469846423901
16,1.5,58,-1525.969215347178
17,1.5,80,-1555.1837070315096
18,1.5,55,-1579.7620014928475
19,1.5,65,-1533.2662998137635
20,1.5,56,-1508.0915609333824
21,1.5,80,-1709.8373297716928
22,1.5,56,-1490.0047850936585
23,1.5,77,-1668.8712522078863
24,1.5,54,-1492.9881759044085
25,1.5,64,-1582.8444791416327
26,1.5,77,-1710.091275063443
27,1.5,69,-1622.3933535578312
28,1.5,78,-1762.264258553224
29,1.5,68,-1505.1842315432095
30,1.5,71,-1545.778281854477
31,1.5,62,-1528.5766682843664
32,1.5,71,-1661.2376160888061
33,1.5,81,-1597.2920168884525
34,1.5,71,-1642.7999838183378
35,1.5,82,-1711.2207216952024
36,1.5,87,-1609.6578660620476
37,1.5,74,-1621.3250084610183
38,1.5,69,-1529.1430232907164
39,1.5,67,-1460.5327862018278
40,1.5,71,-1677.7979645596333
41,1.5,77,-1579.6516375817932
42,1.5,35,-1315.1788037399228
43,1.5,61,-1625.493168695028
44,1.5,75,-1514.2481812713202
45,1.5,63,-1523.6560959593191
46,1.5,79,-1782.347250731816
47,1.5,63,-1597.8645088714497
48,1.5,76,-1541.1391785947396
49,1.5,32,-1249.5438654277687
50,1.5,57,-1519.292976294816
51,1.5,73,-1657.7156692287658
52,1.5,67,-1510.3412112631518
53,1.5,68,-1601.1586095808339
54,1.5,74,-1714.8421065814618
55,1.5,58,-1606.3673564975957
56,1.5,83,-1758.9721058075738
57,1.5,72,-1566.0994196628308
58,1.5,75,-1615.0790941500663
59,1.5,80,-1699.8629281564954
60,1.5,68,-1533.460388031437
61,1.5,70,-1624.8647218349624
62,1.5,55,-1491.330095634825
63,1.5,60,-1561.8834888749789
64,1.5,71,-1607.2534391813529
65,1.5,78,-1509.5473250182115
66,1.5,81,-1766.926591972995
67,1.5,54,-1522.7888085301247
68,1.5,83,-1583.562305045447
69,1.5,49,-1474.0246788738557
