Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1594.8065934065935,96.31178194104469,-1934.2947,-1249.5438,70.26593406593406,32.0,122.0,-0.07219136810302734,-0.44259885,0.34568188,-109.144875,-161.46075,-9.601076,109.14485931396484,12907.556640625,-1.791015625,-911.940673828125,0.7436313033103943,0.0018002340802922845,80.0,15431,0.982193112373352,0.0003,-978.5941162109375,54.64738082885742,0.508999994180536,32000,273,116
2,-1601.0634765625,95.7454423570274,-1913.7158,-1360.2384,71.33928571428571,38.0,108.0,-2.457402587890625,-9.66054,9.392313,-3.648404296875,-19.381042,8.402128,3.648404359817505,32.070587158203125,-0.05662846565246582,-8.992499351501465,0.7403689026832581,0.0016507385298609734,80.0,15431,0.995126485824585,0.0002990033222591362,-977.759765625,55.85218048095703,0.5073421985260703,64000,861,160
3,-1619.9107349537037,105.38683701803876,-2097.4019,-1323.5724,73.90046296296296,36.0,129.0,-3.709809326171875,-10.281565,9.900115,-3.1846337890625,-19.130825,4.997509,3.184633493423462,19.452314376831055,-0.04037165641784668,-9.38866901397705,0.7370959520339966,0.0013242113636806607,80.0,15431,0.9943608641624451,0.0002980066445182724,-976.3319091796875,57.31332015991211,0.5056843768217382,96000,1069,154
4,-1631.8697552447552,101.76754901555816,-2006.3193,-1364.8099,74.41958041958041,36.0,118.0,-5.6664853515625,-10.146349,8.378143,-2.48615576171875,-16.295809,0.76540715,2.4861557483673096,9.392494201660156,-0.026633501052856445,-4.171983242034912,0.7338122725486755,0.0012804653961211443,80.0,15431,0.9932540059089661,0.0002970099667774086,-976.48876953125,58.56492614746094,0.5040265646673453,128000,1352,113
5,-1639.4574940758293,114.60529833992379,-2045.9362,-1345.6376,75.81279620853081,38.0,129.0,-6.74143701171875,-10.247746,6.122892,-2.00711328125,-11.338372,0.585285,2.007113218307495,5.967984676361084,-0.017983198165893555,-2.5950958728790283,0.7305175065994263,0.0011233207769691944,80.0,15431,0.9931753277778625,0.00029601328903654483,-976.5518798828125,57.92311477661133,0.50236876760236,160000,1588,135
6,-1658.0628004807693,112.45502306050389,-2113.8374,-1347.1469,76.8173076923077,42.0,144.0,-7.6819755859375,-10.372705,2.0579505,-1.6676962890625,-8.808603,0.4319499,1.667696237564087,3.895303249359131,-0.014577865600585938,-1.7184600830078125,0.7272123694419861,0.0010284754680469632,80.0,15431,0.9932738542556763,0.00029501661129568106,-977.1131591796875,58.39848327636719,0.5007109615988222,192000,1876,111
7,-1675.5523690773068,131.04766793735953,-2316.7866,-1288.0365,79.61097256857856,33.0,148.0,-8.483548828125,-10.516021,0.4229961,-1.28097265625,-8.523877,0.7710557,1.2809725999832153,2.303739547729492,-0.011834383010864258,-0.9222313761711121,0.7238959074020386,0.0009717391803860664,80.0,15431,0.9924352765083313,0.00029401993355481724,-976.7930908203125,59.88178253173828,0.4990531530460079,224000,2079,157
8,-1676.1373456790122,137.6624651856404,-2311.433,-1377.0242,78.98024691358025,43.0,144.0,-9.02769921875,-10.742493,-2.6184075,-1.046657958984375,-6.640569,0.6767496,1.046657919883728,1.4866750240325928,-0.007456183433532715,-0.5746829509735107,0.7205685973167419,0.0006512814434245229,80.0,15431,0.994117796421051,0.00029302325581395347,-977.1458740234375,59.441444396972656,0.4973953486081037,256000,2291,151
9,-1691.7426470588234,138.72810073486855,-2279.3408,-1386.3239,81.61892583120205,49.0,157.0,-9.5674609375,-10.919887,-4.502259,-0.8284229125976562,-4.288117,0.81363106,0.8284229040145874,0.969689130783081,-0.005497634410858154,-0.32515451312065125,0.7172299027442932,0.0006966515211388469,80.0,15431,0.9953542947769165,0.0002920265780730897,-976.7926025390625,60.624176025390625,0.49573755522300433,288000,2506,148
10,-1684.895885678392,141.98798077096907,-2365.987,-1358.7164,80.14572864321607,38.0,192.0,-9.91800390625,-11.072385,-6.3493423,-0.6724203491210937,-3.5810487,0.92750263,0.67242032289505,0.6565764546394348,-0.005088746547698975,-0.20925939083099365,0.7138803005218506,0.000858259096276015,80.0,15431,0.9950721263885498,0.0002910299003322259,-976.6756591796875,61.324588775634766,0.49407972120219784,320000,2708,158
11,-1704.4521208226222,144.2846907313262,-2551.4814,-1380.8722,82.13624678663238,42.0,199.0,-10.211087890625,-11.219778,-5.713749,-0.5480891723632813,-3.98111,1.0927467,0.5480891466140747,0.4951836168766022,-0.003979206085205078,-0.140239879488945,0.7105190753936768,0.0006458846619352698,80.0,15431,0.9952812790870667,0.0002900332225913621,-976.876220703125,61.92552947998047,0.4924219133214656,352000,2927,146
12,-1710.4721502590673,163.6643538629857,-2950.97,-1390.8154,82.87046632124353,45.0,215.0,-10.418099609375,-11.270731,-5.114492,-0.4534764404296875,-4.885508,1.2028961,0.4534763693809509,0.3694409132003784,-0.004032641649246216,-0.09184540808200836,0.7071467041969299,0.0011107533937320113,80.0,15431,0.9953751564025879,0.0002890365448504983,-977.0885009765625,61.860504150390625,0.4907641100806215,384000,3132,155
13,-1694.393670886076,150.45325612455522,-2703.8245,-1387.7557,80.88101265822785,45.0,171.0,-10.6176513671875,-11.4180765,-7.280055,-0.38475799560546875,-2.9376051,1.3244467,0.38475799560546875,0.3022918105125427,-0.002703756093978882,-0.07227690517902374,0.7037631273269653,0.0008035182836465538,80.0,15431,0.9968132972717285,0.0002880398671096345,-977.3099975585938,62.001399993896484,0.4891063197964703,416000,3334,158
14,-1721.9904855643044,159.32749086027815,-3161.4395,-1409.7579,83.77952755905511,43.0,205.0,-10.7537041015625,-11.503901,-7.7529464,-0.3415050354003906,-2.083488,1.4512062,0.3415050208568573,0.26831406354904175,-0.0030977725982666016,-0.05667317658662796,0.70036780834198,0.0007800074527040124,80.0,15431,0.9966848492622375,0.00028704318936877073,-977.5546875,62.53044891357422,0.4874484929448711,448000,3537,157
15,-1719.7584635416667,151.55054506115553,-2385.8606,-1271.6663,83.2109375,31.0,160.0,-10.9057314453125,-11.602383,-7.3797903,-0.2692490234375,-2.543237,1.4725666,0.2692490518093109,0.20915287733078003,-0.002385646104812622,-0.03670555353164673,0.696960985660553,0.0006909490330144763,80.0,15431,0.9973670244216919,0.00028604651162790696,-977.8056030273438,62.63788604736328,0.4857906968798545,480000,3739,158
16,-1705.0738491048594,150.07611027302215,-2659.3198,-1331.1711,81.79283887468031,41.0,190.0,-11.0416875,-11.687991,-8.34388,-0.20596450805664063,-2.1910763,1.5239782,0.20596449077129364,0.17799873650074005,-0.002338126301765442,-0.02435399405658245,0.6935425400733948,0.0005856331554241478,80.0,15431,0.9982012510299683,0.0002850498338870432,-977.961181640625,62.56096649169922,0.4841328830034904,512000,4029,110
17,-1688.125793147208,138.21144049702963,-2188.3088,-1187.2761,81.19543147208122,23.0,166.0,-11.102888671875,-11.763608,-6.7274694,-0.1448944091796875,-3.255231,1.6615391,0.14489442110061646,0.14679473638534546,-0.0018815845251083374,-0.01596192829310894,0.6901123523712158,0.0005772516597062349,80.0,15431,0.9989769458770752,0.00028405315614617936,-977.8023071289062,62.37305450439453,0.4824750900450982,544000,4237,154
18,-1673.9494047619048,125.19007103086003,-2246.8618,-1367.9254,80.18546365914787,38.0,155.0,-11.124533203125,-11.81144,-6.710831,-0.12021022796630859,-2.9837863,1.6975822,0.12021023780107498,0.13516847789287567,-0.0020102933049201965,-0.012050784192979336,0.6866704225540161,0.0005059401737526059,80.0,15431,0.9990094900131226,0.0002830564784053156,-977.5548095703125,62.29414367675781,0.48081727062403695,576000,4531,108
19,-1686.8323863636363,128.36475412281249,-2177.875,-1391.3105,80.66414141414141,53.0,150.0,-11.228490234375,-11.849411,-7.582724,-0.10708865356445313,-2.417276,1.5317001,0.10708864778280258,0.11936789005994797,-0.0017643198370933533,-0.01069310400635004,0.6832167506217957,0.0005899515235796571,80.0,15431,0.998532235622406,0.0002820598006644518,-977.4318237304688,62.33800506591797,0.47915946409130233,608000,4733,158
20,-1675.1613005050506,135.34785431127702,-2427.5913,-1403.8284,80.65151515151516,43.0,161.0,-11.243728515625,-11.895211,-8.308868,-0.06466621398925781,-1.6911316,1.8186588,0.06466620415449142,0.10486768931150436,-0.0015963315963745117,-0.005678308196365833,0.6797507405281067,0.00040823090239427984,80.0,15431,0.9995877742767334,0.00028106312292358805,-977.086181640625,62.57148742675781,0.4775016527393509,640000,4935,158
21,-1677.896410579345,137.24724421765288,-2550.2883,-1321.0371,80.48866498740554,38.0,231.0,-11.23148046875,-11.926622,-7.835958,-0.0651126708984375,-2.164042,1.8196926,0.06511266529560089,0.10551166534423828,-0.0018412843346595764,-0.006106061395257711,0.676272988319397,0.0005173926474526525,80.0,15431,0.998863160610199,0.0002800664451827242,-976.8380126953125,62.7402229309082,0.4758438478763265,672000,5150,148
22,-1680.1604899497488,133.26618807642888,-2361.095,-1286.7847,80.24120603015075,37.0,146.0,-11.304173828125,-11.941211,-7.718251,-0.04701893997192383,-2.2817488,1.5800123,0.04701893404126167,0.09825620800256729,-0.0016244687139987946,-0.004945135675370693,0.6727829575538635,0.000588029739446938,80.0,15431,0.9994121193885803,0.00027906976744186045,-976.749267578125,62.911251068115234,0.47418603280317817,704000,5371,144
23,-1675.323383084577,110.45537808211822,-2246.7913,-1422.9048,79.46268656716418,49.0,155.0,-11.324306640625,-11.969477,-7.0139694,-0.030364179611206056,-2.9860306,1.6825428,0.030364181846380234,0.09252525120973587,-0.0017916560173034668,-0.004107105545699596,0.6692809462547302,0.0007252588984556496,80.0,15431,0.9992259740829468,0.0002780730897009966,-976.6553344726562,62.98441696166992,0.4725282478009028,736000,5592,144
24,-1679.7192234848485,128.03425401829074,-2176.8242,-1329.9994,80.64646464646465,41.0,159.0,-11.298212890625,-11.999569,-7.699069,-0.021076885223388672,-2.300931,1.546545,0.021076887845993042,0.08647506684064865,-0.0017033331096172333,-0.003088099416345358,0.6657661199569702,0.000668033491820097,80.0,15431,0.9997010231018066,0.0002770764119601329,-976.4389038085938,63.184349060058594,0.47087042074455177,768000,5806,149
25,-1682.8008012820512,132.37053181243812,-2262.7683,-1419.0288,81.83846153846154,47.0,170.0,-11.3098359375,-12.006145,-7.4645224,0.005673141956329346,-2.5354776,1.3884029,-0.005673140753060579,0.08069609850645065,-0.0016548652201890945,-0.002970712259411812,0.6622391939163208,0.0005829064175486565,80.0,15431,0.9999328255653381,0.0002760797342192691,-976.088623046875,63.529701232910156,0.4692126207832592,800000,6007,159
26,-1692.5199228791773,137.67414305456842,-2584.903,-1381.78,82.1413881748072,38.0,204.0,-11.33535546875,-12.0031,-8.377188,0.003244472026824951,-1.5560266,1.83673,-0.0032444715034216642,0.07321583479642868,-0.001559782074764371,-0.0023754548747092485,0.6586998701095581,0.0006395132513716817,80.0,15431,0.9997155666351318,0.0002750830564784053,-975.8997192382812,63.63346862792969,0.46755480505245134,832000,6225,146
27,-1700.8079188481674,158.24093565597204,-2653.4202,-1331.7644,83.69109947643979,36.0,215.0,-11.29036328125,-11.993902,-7.9125743,0.0014948844909667969,-2.0874257,1.6071777,-0.0014948844909667969,0.08138202130794525,-0.001756460638716817,-0.004274745471775532,0.655147910118103,0.000634967815130949,80.0,15431,0.999591588973999,0.0002740863787375415,-975.6170654296875,63.76106262207031,0.46589701503594644,864000,6433,154
