Episode,disturbance_level,Steps,Returns
1,0.3,80,-1025.4036113519044
2,1.3,81,-1031.595551020329
3,1.3,94,-1044.6149050592683
4,0.4,94,-1030.3863043337526
5,0.0,24,-1002.4454042092344
6,1.0,70,-1021.9776838724362
7,2.0,100,-1036.1494746784222
8,1.7,88,-1028.4174259932756
9,1.2,80,-1039.645305114223
10,0.1,56,-1011.9431414058542
11,0.3,58,-1024.6345672777993
12,0.2,76,-1036.006220020818
13,0.5,97,-1031.8952598129163
14,0.8,78,-1036.8111962527414
15,0.7,91,-1029.959859752389
16,1.0,62,-1025.1359122325578
17,1.5,60,-1025.591373426214
18,0.0,27,-1004.5684769162607
19,0.4,92,-1028.2952092706676
20,1.3,112,-1036.7666073679518
21,0.4,95,-1026.0013087559482
22,0.7,80,-1029.2840655630403
23,0.0,19,-1004.8668927773695
24,0.8,103,-1030.5748208688237
25,1.8,65,-1026.8079975165017
26,0.9,76,-1025.7908785437173
27,0.8,68,-1030.3526846074271
28,1.0,110,-1031.4615443846817
29,1.7,85,-1029.3501675008824
30,0.1,125,-1039.73198557792
31,0.6,71,-1021.7762463197424
32,0.1,77,-1022.5650520264696
33,0.2,87,-1030.4573295186328
34,0.4,80,-1025.0133717169188
35,1.7,78,-1031.9269421438228
36,0.2,60,-1017.2152343443138
37,0.2,99,-1029.7499756643965
38,0.1,24,-1005.0990531121698
39,0.4,65,-1022.4974343763979
40,0.2,89,-1026.81296959308
41,1.0,86,-1030.8120162141972
42,1.0,86,-1026.6268816889574
43,0.2,60,-1026.3524786946768
44,0.5,86,-1028.6529568110245
45,0.9,64,-1025.659842249595
46,0.0,36,-1007.1473025125827
47,0.1,94,-1028.2905156699494
48,1.0,100,-1031.678120470452
49,1.4,90,-1029.287187210059
50,0.7,82,-1036.356521322122
51,0.9,78,-1024.3115041195285
52,0.1,40,-1009.6036817194158
53,0.8,72,-1030.9523461106355
54,1.8,97,-1035.0694686381685
55,0.2,95,-1028.4219077729983
56,0.1,74,-1014.9626188608288
57,0.3,89,-1026.3059995244228
58,1.3,68,-1031.7015247590468
59,0.1,48,-1011.6517717844073
60,1.1,74,-1024.019911727464
61,0.8,78,-1027.4194825569723
62,0.5,117,-1040.2588061203962
63,0.1,57,-1008.2280095346641
64,0.1,94,-1027.1705751257448
65,1.0,65,-1027.5404782878047
66,1.5,77,-1030.0488161607573
67,1.5,93,-1039.2684698694725
68,0.0,18,-1004.8715192757786
69,0.3,104,-1036.1205390223931
70,1.1,77,-1030.3887197268764
71,0.4,60,-1024.6905486747753
72,0.7,80,-1032.7014471009159
73,0.6,71,-1026.4836362044623
74,0.4,123,-1037.5219309019965
75,1.8,79,-1026.841706516088
76,0.0,20,-1002.5749137240655
77,0.8,83,-1038.105173558812
78,0.8,85,-1039.5928092486627
79,0.4,66,-1032.544904317793
80,1.0,100,-1031.871746875013
81,0.4,75,-1029.92157715468
82,0.8,86,-1027.7991982530773
83,0.8,69,-1024.8080146809532
84,0.8,84,-1030.8246650069136
85,0.8,89,-1042.5379761683619
86,1.1,93,-1035.487485610426
87,0.2,95,-1041.0523602824953
88,1.3,112,-1041.0317729697924
89,0.1,72,-1029.256942590061
90,1.1,51,-1023.1598755024098
91,1.6,73,-1025.883614702697
92,1.1,72,-1022.5783540231074
93,0.2,78,-1024.1702136652518
94,0.4,71,-1021.3151244641855
95,1.1,153,-1048.746551254376
96,0.1,21,-1004.2410680893054
97,0.0,34,-1005.136720986125
98,1.6,62,-1028.060694985112
99,0.1,46,-1007.9168608124754
100,1.0,83,-1025.3070584980437
101,0.3,63,-1019.9953040176316
102,0.3,88,-1041.1203843555484
103,1.4,103,-1035.6560879965552
104,0.3,89,-1027.9759835892569
105,1.8,63,-1021.8686684976677
106,1.6,56,-1025.7326113386157
107,0.6,174,-1061.5967067168165
108,1.7,104,-1039.6409385683905
109,0.2,85,-1023.8961286389318
110,1.6,91,-1030.2147441573265
111,1.2,82,-1040.9521658562567
112,0.0,53,-1009.3901113421921
113,1.7,78,-1040.554248027009
114,0.5,80,-1031.3227080236406
115,0.7,74,-1023.2706799039274
116,1.1,51,-1026.0933436735593
117,0.1,75,-1025.4738279012429
118,1.2,87,-1028.0900600095733
119,0.3,104,-1031.8300424996448
120,1.7,80,-1025.7371806088033
121,0.4,83,-1025.6167582901876
122,1.4,70,-1029.6231312270077
123,0.1,26,-1006.6213512759584
124,2.0,67,-1033.9321980900218
125,1.7,95,-1035.9796664733708
126,1.1,114,-1036.5734961163016
127,0.7,117,-1040.948351974198
128,0.1,61,-1008.4271240324074
129,0.4,59,-1027.12671754428
130,0.8,58,-1022.9418713971686
131,0.1,27,-1007.8563775006575
132,0.1,38,-1011.0778877367306
133,1.7,72,-1026.9070185990583
134,0.3,78,-1032.3441089533897
135,0.3,93,-1041.2744656492127
136,0.1,21,-1006.3132291145877
137,0.0,29,-1006.0166830789553
138,0.3,87,-1026.3600605983418
139,0.3,57,-1027.827201596301
140,0.6,82,-1026.5916842034453
141,0.2,79,-1024.0120955192103
142,0.0,35,-1013.6151893796538
143,1.4,58,-1028.1100739143915
144,0.1,57,-1019.2388656083086
145,0.3,77,-1023.1279215222079
146,2.0,82,-1025.7700030518372
147,1.9,67,-1031.8866206103082
148,0.4,85,-1035.5091460011352
149,1.4,90,-1033.5706405904684
150,0.9,99,-1036.8085628192605
151,0.6,73,-1027.6165117749572
152,0.0,37,-1011.9538994597424
153,1.7,84,-1029.959622914058
154,0.3,98,-1032.223729628851
155,0.7,74,-1023.1633497848978
156,0.7,98,-1031.3837988034895
157,1.2,104,-1040.5866352541598
158,0.8,80,-1027.5489573289096
159,0.0,18,-1002.8178708055397
160,1.2,84,-1035.7345087757967
161,0.0,36,-1009.4820031934053
162,0.6,83,-1030.1903637255766
163,0.8,76,-1025.2076142642024
164,0.6,67,-1021.4283567302285
165,1.5,97,-1036.5267658060284
166,0.2,98,-1027.2426724031438
167,0.1,36,-1006.9194068209634
168,0.0,21,-1003.3319069004101
169,0.0,26,-1006.5771617767996
170,1.7,97,-1034.6016172600491
171,0.8,76,-1025.472660531197
172,0.5,65,-1027.5010879226268
173,1.2,60,-1025.3073948013146
174,0.3,85,-1036.174049335034
