Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1500.6227409638554,181.78234701627932,-2418.9858,-1142.5852,77.08433734939759,16.0,144.0,-0.1664339599609375,-0.69659966,0.4192937,-89.3280703125,-166.72493,-5.1310134,89.32806396484375,8931.9287109375,-1.41766357421875,-800.8651733398438,0.7436313033103943,0.0016843635821714997,80.0,61267,0.9839311242103577,0.0003,-910.5625,97.45665740966797,0.508999994180536,32000,253,126
2,-1481.052278037383,173.26161273807344,-2079.4739,-1118.7554,74.66822429906541,14.0,145.0,-3.22676171875,-10.062764,9.633337,-2.070577880859375,-19.616047,11.260396,2.07057785987854,25.64470100402832,-0.05567121505737305,-7.916990280151367,0.7403689026832581,0.0015684418613091111,80.0,61267,0.996691882610321,0.0002990033222591362,-910.2698974609375,99.46128845214844,0.5073421985260703,64000,939,166
3,-1485.359785202864,167.7193075044886,-1922.3894,-1141.0199,76.37231503579952,16.0,145.0,-4.34868994140625,-10.621784,10.028093,-1.75241162109375,-19.264042,5.001548,1.7524116039276123,12.181192398071289,-0.032796621322631836,-5.350891590118408,0.7370959520339966,0.001420697895810008,80.0,61267,0.9963260293006897,0.0002980066445182724,-908.2005615234375,100.16111755371094,0.5056843768217382,96000,1132,165
4,-1495.5415157004832,179.82320893986392,-2182.044,-1136.8107,77.1304347826087,16.0,176.0,-5.12907470703125,-10.489632,8.691872,-1.49263134765625,-17.107502,2.622801,1.4926315546035767,7.085870742797852,-0.024865031242370605,-3.153257369995117,0.7338122725486755,0.0012583914212882519,80.0,61267,0.9956871867179871,0.0002970099667774086,-907.070556640625,102.73515319824219,0.5040265646673453,128000,1327,164
5,-1507.0503640776699,207.1671854286933,-2386.1729,-1131.9191,77.49757281553399,16.0,182.0,-5.9260078125,-10.391109,7.0374393,-1.164346923828125,-14.754788,2.2013857,1.1643468141555786,4.012221813201904,-0.016721367835998535,-1.731468915939331,0.7305175065994263,0.0012049491051584482,80.0,61267,0.9949156641960144,0.00029601328903654483,-907.5317993164062,103.51966094970703,0.50236876760236,160000,1589,121
6,-1533.4288015463917,203.68010470231596,-2469.374,-1127.9954,82.28865979381443,13.0,200.0,-6.6366318359375,-10.291492,4.1756063,-0.8272058715820313,-10.836866,1.8456528,0.8272058963775635,2.2859671115875244,-0.014529287815093994,-0.9526869654655457,0.7272123694419861,0.0014749736292287707,80.0,61267,0.9950854778289795,0.00029501661129568106,-906.9900512695312,103.92113494873047,0.5007109615988222,192000,1782,166
7,-1558.8182432432432,217.96435364402927,-2497.2117,-1133.5339,86.24054054054054,14.0,257.0,-7.25583984375,-10.463033,0.7840273,-0.516546875,-10.293797,1.6432596,0.5165468454360962,1.391344428062439,-0.010071635246276855,-0.4790728688240051,0.7238959074020386,0.0011631831293925643,80.0,61267,0.9961100220680237,0.00029401993355481724,-905.6133422851562,106.2900390625,0.4990531530460079,224000,2045,121
8,-1575.9368074792244,280.0158088137089,-4500.617,-1130.9736,88.47091412742382,16.0,303.0,-7.49819970703125,-10.410311,2.8257587,-0.34437429809570314,-11.499804,1.6983193,0.34437432885169983,0.9308297634124756,-0.008493512868881226,-0.3067542016506195,0.7205685973167419,0.0012018047273159027,80.0,61267,0.997009813785553,0.00029302325581395347,-904.5430908203125,109.19509887695312,0.4973953486081037,256000,2306,122
9,-1636.410872781065,360.7891580522443,-5196.731,-1148.7257,94.62426035502959,17.0,500.0,-7.56059228515625,-10.387338,1.5478765,-0.22453640747070314,-5.7603335,2.1430264,0.22453640401363373,0.6068109273910522,-0.006465986371040344,-0.18238264322280884,0.7172299027442932,0.0011790265562012792,80.0,61267,0.9973041415214539,0.0002920265780730897,-904.7885131835938,111.06550598144531,0.49573755522300433,288000,2568,122
10,-1658.4313271604938,433.5653509913435,-6822.0728,-1132.2477,98.60493827160494,16.0,500.0,-7.8173291015625,-10.328581,2.42128,-0.06549282073974609,-8.487557,1.9986085,0.06549282371997833,0.5052135586738586,-0.005770944058895111,-0.1368670016527176,0.7138803005218506,0.0011661825701594353,80.0,61267,0.9981864094734192,0.0002910299003322259,-904.23046875,115.58015441894531,0.49407972120219784,320000,2828,123
11,-1749.5044341216217,459.4036086881291,-4694.752,-1205.3342,107.47297297297297,20.0,474.0,-7.83025830078125,-10.403124,-0.47814626,0.03291777038574219,-7.0650306,1.6189032,-0.032917775213718414,0.40499329566955566,-0.006083797663450241,-0.07688228040933609,0.7105190753936768,0.0011070889886468649,80.0,61267,0.9990906715393066,0.0002900332225913621,-904.401123046875,117.90074920654297,0.4924219133214656,352000,3087,123
12,-1805.4454291044776,534.7739374531116,-5029.8784,-1048.5751,118.40298507462687,20.0,500.0,-7.34997314453125,-10.294128,4.4389405,0.007242866516113281,-9.402014,2.803055,-0.007242862600833178,0.5700394511222839,-0.008459199219942093,-0.13996897637844086,0.7071467041969299,0.001353415776975453,80.0,61267,0.9981150031089783,0.0002890365448504983,-902.309814453125,124.93075561523438,0.4907641100806215,384000,3286,160
13,-1820.3008928571428,562.0901808683118,-6377.558,-1138.6187,113.91071428571429,20.0,500.0,-7.49461669921875,-10.278578,4.4036207,0.10631983184814453,-8.344142,3.073839,-0.1063198372721672,0.5374720096588135,-0.007566533982753754,-0.1814488172531128,0.7037631273269653,0.0011593600502237678,80.0,61267,0.9999914169311523,0.0002880398671096345,-903.3543701171875,127.75643157958984,0.4891063197964703,416000,3540,126
14,-1973.8054718875503,859.0011571306567,-8297.788,-1149.1718,128.51004016064257,19.0,500.0,-7.0828232421875,-10.177274,5.6298766,0.0483322982788086,-7.3089542,2.0919166,-0.04833230748772621,0.7142680883407593,-0.010088182985782623,-0.3278282582759857,0.70036780834198,0.001241014921106398,80.0,61267,0.9975399971008301,0.00028704318936877073,-905.65673828125,134.3738250732422,0.4874484929448711,448000,3795,125
