Episode,disturbance_level,Steps,Returns
1,0.0,38,-1005.4088714643301
2,0.0,62,-1015.0166701857366
3,0.0,28,-1006.7454900456014
4,0.0,50,-1010.3245278695568
5,0.0,26,-1002.4986563086212
6,0.0,43,-1015.4545539209064
7,0.0,27,-1009.015337329509
8,0.0,56,-1024.1880894308536
9,0.0,31,-1008.3220945674328
10,0.0,18,-1002.6410462134551
11,0.0,77,-1026.068890327598
12,0.0,20,-1003.8711209046564
13,0.0,19,-1005.1949704125725
14,0.0,39,-1012.1470052286791
15,0.0,34,-1010.6473108029681
16,0.0,29,-1006.7261649666125
17,0.0,30,-1004.6411633139194
18,0.0,61,-1008.7028678586116
19,0.0,62,-1024.0204552563928
20,0.0,21,-1003.3418125687417
21,0.0,25,-1002.715523868141
22,0.0,26,-1007.1518965499556
23,0.0,20,-1002.054860729884
24,0.0,27,-1006.7202108489923
25,0.0,19,-1004.3764997382056
26,0.0,21,-1007.3659941137444
27,0.0,38,-1007.729986187278
28,0.0,21,-1004.1288194438506
29,0.0,68,-1025.2528978466241
30,0.0,86,-1040.2747460302487
31,0.0,28,-1003.688923600824
32,0.0,30,-1003.4684216920626
33,0.0,34,-1004.2488485519227
34,0.0,25,-1004.9731131269021
35,0.0,45,-1007.5341100395018
36,0.0,19,-1005.7953679453693
37,0.0,23,-1005.0945061056264
38,0.0,20,-1002.9586777608408
39,0.0,27,-1005.0052505019374
40,0.0,59,-1022.2651060290958
41,0.0,30,-1007.043901984446
42,0.0,29,-1009.0739624029259
43,0.0,31,-1006.701659835185
44,0.0,26,-1009.5621044430007
45,0.0,42,-1008.2966123306152
46,0.0,73,-1024.2070216038244
47,0.0,27,-1007.1478239867362
48,0.0,67,-1021.4296619711195
49,0.0,26,-1006.6623107050881
50,0.0,20,-1007.1611155670865
51,0.0,40,-1014.8651843206615
52,0.0,46,-1008.1267492218881
53,0.0,18,-1005.3711802763463
54,0.0,42,-1009.4095374028874
55,0.0,26,-1006.5538360649493
56,0.0,25,-1004.9453769712908
57,0.0,23,-1005.5841140881176
58,0.0,25,-1004.2000377911857
59,0.0,25,-1003.1204146371649
60,0.0,22,-1002.384404745628
61,0.0,36,-1008.78005050045
62,0.0,24,-1004.9625472305231
63,0.0,24,-1002.4856242750544
64,0.0,21,-1002.7822373068308
65,0.0,21,-1005.4596033410588
66,0.0,27,-1005.5047991306718
67,0.0,35,-1011.4392162009486
68,0.0,27,-1005.9506334967518
69,0.0,28,-1006.9301274198294
70,0.0,20,-1004.9565412938857
71,0.0,27,-1007.476462913429
72,0.0,27,-1003.3731562894072
73,0.0,22,-1004.9474615863891
74,0.0,30,-1008.8984642937786
75,0.0,42,-1008.2870140039408
76,0.0,16,-1003.4409803459927
77,0.0,25,-1005.0298467505108
78,0.0,55,-1020.4576764488115
79,0.0,70,-1027.0286503851607
80,0.0,28,-1005.6083275649639
81,0.0,29,-1003.5635127279598
82,0.0,28,-1002.8537568431332
83,0.0,46,-1017.4737058870468
84,0.0,34,-1008.7641694787382
85,0.0,33,-1011.494862611359
86,0.0,25,-1005.667889206157
87,0.0,49,-1006.7260227719688
88,0.0,26,-1007.1543783981537
89,0.0,21,-1006.7023934378564
90,0.0,28,-1009.089646656662
91,0.0,37,-1010.0671180860551
92,0.0,26,-1003.4521395858064
93,0.0,33,-1003.9395300689669
94,0.0,27,-1002.3336234907986
95,0.0,26,-1005.8344204098561
96,0.0,37,-1005.9283083928356
97,0.0,25,-1005.5174372349636
98,0.0,43,-1007.979116686922
99,0.0,35,-1010.7213602287102
100,0.0,31,-1009.5111950515026
101,0.0,27,-1003.5806523426476
102,0.0,19,-1004.5743068616619
103,0.0,36,-1009.909577025505
104,0.0,42,-1019.6478281422079
105,0.0,18,-1003.7080480714435
106,0.0,44,-1012.5554205783633
107,0.0,21,-1006.9025909302329
108,0.0,31,-1004.9232537263373
109,0.0,28,-1004.00922717449
110,0.0,22,-1003.6352910612814
111,0.0,21,-1005.165111942483
112,0.0,20,-1003.2911499555214
113,0.0,28,-1003.124893429821
114,0.0,28,-1008.128550815119
115,0.0,73,-1020.4393908355275
116,0.0,46,-1013.5732720818907
117,0.0,37,-1005.3353388502186
118,0.0,26,-1008.5626477805733
119,0.0,48,-1010.4511615714313
120,0.0,28,-1007.955448475136
121,0.0,72,-1025.8756218028477
122,0.0,31,-1007.4757833159371
123,0.0,30,-1004.5661567178333
124,0.0,18,-1002.0461843084433
125,0.0,31,-1003.0558530523759
126,0.0,25,-1003.5327669218318
127,0.0,13,-1002.2934901941964
128,0.0,27,-1003.3811233738874
129,0.0,58,-1012.1591637966128
130,0.0,31,-1007.1552738541083
131,0.0,36,-1005.3258686807138
132,0.0,25,-1002.0188047958942
133,0.0,22,-1004.7119003348112
134,0.0,17,-1002.2094456698461
135,0.0,32,-1007.3674867157812
136,0.0,34,-1008.983131083714
137,0.0,32,-1011.424760510825
138,0.0,41,-1005.7764771599731
139,0.0,24,-1004.8418884516404
140,0.0,60,-1029.6885469296392
141,0.0,35,-1004.6376694711802
142,0.0,28,-1006.2326346192601
143,0.0,34,-1010.4968580098787
144,0.0,23,-1007.3618075585453
145,0.0,18,-1001.5817095189778
146,0.0,71,-1026.0905052452804
147,0.0,26,-1005.807011926383
148,0.0,59,-1028.3390042439055
149,0.0,14,-1004.1972034568272
150,0.0,32,-1006.5689204973783
151,0.0,70,-1024.997488982594
152,0.0,32,-1009.1832744826106
153,0.0,52,-1008.885633474574
154,0.0,17,-1001.9326105956559
155,0.0,54,-1014.8203581850337
156,0.0,71,-1024.074016443119
157,0.0,31,-1006.9280596944752
158,0.0,39,-1006.6097734140052
159,0.0,67,-1022.2711769967501
160,0.0,27,-1007.3131298147492
161,0.0,23,-1007.5831930441102
162,0.0,27,-1008.9494305991695
163,0.0,38,-1013.229338612255
164,0.0,33,-1003.5452632799002
165,0.0,20,-1002.1267133267045
166,0.0,26,-1007.6149631859901
167,0.0,25,-1005.6954304644022
168,0.0,40,-1010.049526377219
169,0.0,43,-1008.3797190528315
170,0.0,50,-1019.4939779332311
171,0.0,59,-1020.7920382142371
172,0.0,25,-1006.0351712482418
173,0.0,53,-1007.7176066781337
174,0.0,43,-1009.7307586827707
175,0.0,19,-1004.3201012898521
176,0.0,31,-1002.9596276353295
177,0.0,29,-1008.4260796290257
178,0.0,45,-1010.7609626201045
179,0.0,26,-1004.2294741973429
180,0.0,20,-1003.7178436084698
181,0.0,36,-1010.2258168199184
182,0.0,45,-1010.355383277017
183,0.0,34,-1013.9362574187392
184,0.0,73,-1025.1115132463567
185,0.0,33,-1005.9417025622118
186,0.0,37,-1004.2193283233051
187,0.0,24,-1004.5062164728665
188,0.0,37,-1012.0313610938339
189,0.0,37,-1005.5396232070163
190,0.0,39,-1009.7175071992149
191,0.0,24,-1005.5908593194403
192,0.0,39,-1009.0994524227979
193,0.0,27,-1005.3083053199701
194,0.0,32,-1008.3366300318264
195,0.0,77,-1022.9718637343748
196,0.0,29,-1007.4174158196921
197,0.0,41,-1007.5538927714401
198,0.0,22,-1005.0344172425339
