Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1287.386485042735,128.03834311522587,-1944.054,-1107.0406,34.1741452991453,12.0,92.0,-0.15254940795898436,-0.790071,0.7538575,-83.429875,-161.74718,-8.538288,83.42987823486328,7926.03271484375,-1.1457901000976562,-683.9563598632812,0.7436313033103943,0.0015536773717030883,80.0,63685,0.9866535663604736,0.0003,-1006.3028564453125,55.433372497558594,0.508999994180536,32000,27,1162
2,-1256.3996756255792,97.45305183690364,-1853.9791,-1109.9249,29.639481000926786,12.0,90.0,-2.3311748046875,-9.979664,9.85053,-5.0763017578125,-19.767319,7.9075427,5.076301574707031,52.17021560668945,-0.08585643768310547,-16.127132415771484,0.7403689026832581,0.00191572739277035,80.0,63685,0.9931822419166565,0.0002990033222591362,-1009.4635620117188,53.53727340698242,0.5073421985260703,64000,210,1169
3,-1256.3574458058436,97.15019416450848,-1830.1421,-1111.9985,30.14703110273327,12.0,98.0,-4.5589677734375,-10.638154,10.277089,-3.87649560546875,-19.735344,5.4860687,3.876495599746704,28.30940818786621,-0.0614628791809082,-12.813197135925293,0.7370959520339966,0.0018992930417880416,80.0,63685,0.9927208423614502,0.0002980066445182724,-1009.66162109375,52.416908264160156,0.5056843768217382,96000,237,1173
4,-1260.6329735034346,106.8175877650174,-1846.3044,-1097.8448,31.363101079489695,12.0,97.0,-6.3426953125,-10.520295,7.278577,-2.77423974609375,-15.520216,1.2674845,2.7742397785186768,12.320971488952637,-0.03743171691894531,-6.628077983856201,0.7338122725486755,0.0014809098793193698,80.0,63685,0.9924402236938477,0.0002970099667774086,-1008.1947021484375,53.94664764404297,0.5040265646673453,128000,264,1183
5,-1262.2431727904668,105.29517313533795,-1888.168,-1104.6091,31.742800397219465,11.0,88.0,-7.9661171875,-10.510625,0.43593216,-1.795089111328125,-8.059486,0.87866986,1.7950893640518188,4.675426483154297,-0.017797112464904785,-2.4455466270446777,0.7305175065994263,0.001119739725254476,80.0,63685,0.9935048222541809,0.00029601328903654483,-1007.1209716796875,54.42926025390625,0.50236876760236,160000,291,1185
6,-1273.8985677083333,122.77335147878522,-1941.502,-1096.0961,33.32604166666667,13.0,100.0,-9.0869375,-10.611084,-3.5454655,-1.156537353515625,-5.051024,0.6601983,1.1565372943878174,1.8684608936309814,-0.010280728340148926,-0.779010534286499,0.7272123694419861,0.000835609040223062,80.0,63685,0.9937429428100586,0.00029501661129568106,-1006.322509765625,54.36404037475586,0.5007109615988222,192000,318,1184
7,-1274.1323145245558,121.24055727054676,-1853.1127,-1111.8002,33.42528735632184,13.0,97.0,-9.6251728515625,-10.805288,-6.8162932,-0.868393798828125,-3.6228166,0.74275017,0.8683937788009644,1.0935461521148682,-0.006638526916503906,-0.39107242226600647,0.7238959074020386,0.0008255149004980922,80.0,63685,0.9953711032867432,0.00029401993355481724,-1005.6445922851562,54.431907653808594,0.4990531530460079,224000,346,1180
8,-1272.3847352024923,123.30115771253026,-2094.3508,-1105.5431,33.20664589823468,13.0,98.0,-10.0716025390625,-11.0749235,-7.80558,-0.6309953002929688,-3.7513533,1.0749235,0.6309952735900879,0.688213586807251,-0.0054435133934021,-0.20298129320144653,0.7205685973167419,0.0009156034793704748,80.0,63685,0.9952155947685242,0.00029302325581395347,-1005.2976684570312,54.56562805175781,0.4973953486081037,256000,373,1183
9,-1270.5528795811517,119.1302600020983,-1927.2798,-1101.6609,33.49842931937173,13.0,86.0,-10.3595283203125,-11.347759,-8.047459,-0.441986083984375,-2.8454838,1.3129854,0.4419860243797302,0.4549175202846527,-0.003941953182220459,-0.09757854789495468,0.7172299027442932,0.0006798840477131307,80.0,63685,0.9971623420715332,0.0002920265780730897,-1004.6736450195312,54.35690689086914,0.49573755522300433,288000,400,1183
10,-1271.3128299894404,117.31537203329967,-1941.5117,-1100.6929,33.77296726504752,12.0,97.0,-10.5714296875,-11.36597,-8.644655,-0.32493130493164063,-3.1769216,1.3525724,0.3249312937259674,0.35864269733428955,-0.003809601068496704,-0.05544131249189377,0.7138803005218506,0.0005953808431513608,80.0,63685,0.9973607063293457,0.0002910299003322259,-1003.891845703125,54.57628631591797,0.49407972120219784,320000,427,1180
