Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-136.7958533653846,12.404603009535446,-194.87859,-106.26791,70.1978021978022,21.0,128.0,-0.017788721084594727,-0.26796067,0.31686905,-9.7468173828125,-24.474619,-0.91097087,9.746817588806152,109.49485778808594,-0.18297672271728516,-56.16972732543945,0.7436313033103943,0.0016443858621641994,80.0,5682,0.9821716547012329,0.0003,-90.83574676513672,11.761244773864746,0.508999994180536,32000,283,112
2,-137.27078744493392,12.758030640148894,-200.80751,-102.85078,70.38766519823788,16.0,124.0,-1.6745665283203126,-8.684346,8.475713,-2.2496142578125,-16.839005,9.159482,2.2496142387390137,18.077760696411133,-0.08338046073913574,-12.694611549377441,0.740358293056488,0.0019925134256482124,80.0,5682,0.989349901676178,0.000299,-90.98593139648438,11.757003784179688,0.5073366646451225,64000,580,107
3,-138.77599826388888,14.742435678076477,-269.6273,-103.795784,71.00666666666666,18.0,138.0,-3.845017822265625,-8.651107,6.6512475,-1.63913330078125,-9.109716,1.61651,1.6391335725784302,4.455206871032715,-0.034963130950927734,-3.307548999786377,0.7370739579200745,0.001920148148201406,80.0,5682,0.985658586025238,0.000298,-91.258544921875,11.852644920349121,0.5056733452856872,96000,922,93
4,-140.39629961993242,14.790705066446717,-208.4003,-101.30974,71.94144144144144,20.0,135.0,-5.5852333984375,-8.988734,3.1724048,-0.9765027465820313,-4.820365,1.0828643,0.9765027761459351,1.6949723958969116,-0.018658816814422607,-1.26772940158844,0.73377925157547,0.001563508645631373,80.0,5682,0.9878937005996704,0.00029699999999999996,-91.5211181640625,11.889132499694824,0.504010011618452,128000,1198,115
5,-142.64359948394497,18.021716162462635,-265.32043,-105.19132,73.34633027522936,19.0,166.0,-6.50099609375,-9.278586,-0.061333105,-0.6044710693359375,-4.0292797,0.9619971,0.6044710874557495,0.7410913705825806,-0.01100313663482666,-0.5192911624908447,0.7304736375808716,0.0012802892597392201,80.0,5682,0.9901062250137329,0.000296,-91.84929656982422,11.960186004638672,0.5023466697765746,160000,1454,125
6,-145.01262160966982,24.854777204434473,-413.46146,-103.900406,75.46462264150944,27.0,183.0,-7.11565478515625,-9.415326,-1.7812035,-0.32711077880859374,-4.905657,0.9461031,0.32711076736450195,0.3728512227535248,-0.007454991340637207,-0.20236031711101532,0.7271569967269897,0.001300078583881259,80.0,5682,0.9941877722740173,0.00029499999999999996,-92.22289276123047,12.492513656616211,0.5006833261702077,192000,1711,124
7,-144.84591602488152,21.26360294330036,-335.41776,-104.87185,75.62085308056872,15.0,160.0,-7.4198779296875,-9.436165,-3.974951,-0.07700819396972657,-2.4078379,1.3056316,0.0770082026720047,0.19687193632125854,-0.005371108651161194,-0.0593649186193943,0.7238293290138245,0.0011952195782214403,80.0,5682,0.9977971911430359,0.000294,-92.40291595458984,12.737641334533691,0.4990199874853069,224000,1968,124
8,-147.8788681402439,23.2595230300487,-306.73175,-106.695694,77.89268292682927,28.0,197.0,-7.4927880859375,-9.276273,-4.802246,0.0176278076171875,-2.8099492,1.3239541,-0.017627807334065437,0.14549487829208374,-0.004396989941596985,-0.018313603475689888,0.720490574836731,0.0011547685135155916,80.0,5682,0.9994596242904663,0.00029299999999999997,-92.65192413330078,12.95288372039795,0.4973566606824231,256000,2223,125
9,-155.2479927581864,43.11080014823032,-644.7341,-105.2919,80.41813602015114,27.0,273.0,-7.4341474609375,-9.102241,-4.171413,-0.02388353157043457,-5.175797,1.2490139,0.023883527144789696,0.25157952308654785,-0.007049012929201126,-0.02992074191570282,0.7171405553817749,0.0012607972603291273,80.0,5682,0.9991810917854309,0.000292,-93.3148193359375,14.159161567687988,0.4956933234498547,288000,2478,125
10,-153.67940705128206,29.160684368178206,-345.56186,-104.89893,81.94102564102565,14.0,246.0,-7.4309296875,-9.015495,-4.974526,0.22677731323242187,-2.4713595,1.8471055,-0.2267773151397705,0.24668648838996887,-0.006470173597335815,-0.07282624393701553,0.7137795686721802,0.0010940374340862036,80.0,5682,1.0056273937225342,0.00029099999999999997,-93.61299896240234,14.359201431274414,0.49403001303756583,320000,2734,125
