Episode,disturbance_level,Steps,Returns
1,0.0,33,-1011.3916124551969
2,1.9,120,-1065.4193549956697
3,0.6,81,-1036.2166893873257
4,0.4,97,-1043.6534787884893
5,0.3,86,-1046.49169742743
6,0.1,99,-1078.0107552601426
7,0.9,96,-1068.1160764491021
8,0.1,118,-1049.3301078915515
9,0.3,84,-1043.7370079059942
10,0.0,42,-1011.726230657286
11,0.9,70,-1043.89633120805
12,0.7,101,-1059.5004628806796
13,0.1,32,-1005.3012114988446
14,0.0,24,-1005.723556211605
15,0.1,85,-1059.473684041654
16,0.0,40,-1004.85528379576
17,0.4,91,-1035.5373453793136
18,0.2,78,-1040.779607870147
19,0.0,38,-1011.9292397500498
20,0.0,29,-1005.1730033230178
21,0.9,86,-1048.3628237389255
22,0.0,34,-1011.5336478477269
23,0.2,95,-1041.1663195282372
24,0.7,89,-1050.4630113621392
25,0.5,69,-1034.0235819930745
26,0.0,25,-1008.3155251446977
27,0.7,96,-1065.0736086689365
28,0.0,24,-1004.75372097153
29,0.9,69,-1029.9528112496796
30,1.1,61,-1037.3265829651682
31,0.4,88,-1037.0333376576598
32,1.1,116,-1109.209082036104
33,1.8,113,-1110.8487447837133
34,0.9,95,-1045.604967651181
35,0.5,64,-1045.0827929590778
36,0.2,120,-1054.7035167851063
37,0.2,70,-1040.5798847681174
38,0.8,85,-1061.0048753898038
39,1.7,108,-1064.9000617385755
40,0.1,59,-1017.3537101390197
41,1.5,75,-1055.5922721699178
42,0.2,126,-1117.9492566522222
43,0.9,134,-1069.1274246852358
44,1.3,84,-1060.3794834741425
45,0.5,98,-1041.3927290047295
46,0.4,140,-1123.23489306893
47,0.3,145,-1109.2152211876037
48,0.3,79,-1057.7242980539443
49,0.3,100,-1078.975971323312
50,1.0,71,-1040.0678168397412
51,1.7,113,-1087.9487524173257
52,0.4,80,-1038.1952526335158
53,1.8,105,-1041.4811876454164
54,1.1,123,-1066.272655456306
55,1.7,116,-1088.6524070100372
56,0.1,30,-1006.3448062382554
57,0.4,75,-1035.209440394621
58,0.6,90,-1053.798887038115
59,1.8,95,-1063.3029302302539
60,1.0,92,-1085.2809586554147
61,0.2,97,-1045.387665791103
62,0.3,105,-1067.5899602683164
63,0.3,72,-1057.163776833692
64,0.5,77,-1038.5865009202278
65,1.2,102,-1080.275607068074
66,1.8,149,-1179.7894923363078
67,0.0,41,-1012.104235742195
68,0.1,89,-1059.1479650527951
69,0.5,71,-1033.027158515925
70,0.0,30,-1010.1770063054064
71,0.7,82,-1051.575671300939
72,0.5,67,-1030.4786076477033
73,0.0,38,-1003.6080645863324
74,0.1,72,-1046.3567187478927
75,0.3,153,-1118.203808324114
76,1.5,79,-1056.7318644508653
77,0.6,150,-1157.86757849476
