Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1052.917875989446,44.808212310929335,-1638.1362,-1001.99963,84.24538258575198,15.0,236.0,0.07772075653076171,-0.4127249,0.5468999,-11.376712890625,-82.071175,-0.7734819,11.376712799072266,177.2039337158203,-0.21526145935058594,-67.51001739501953,0.7436313033103943,0.0015315331984311342,80.0,35446,0.9846851229667664,0.0003,-681.0421752929688,185.15411376953125,0.508999994180536,32000,228,140
2,-1047.496820719603,32.782403040831426,-1356.0332,-1002.2207,79.20099255583126,16.0,201.0,-2.460350830078125,-8.422214,8.425127,-0.57325537109375,-13.450597,10.491767,0.5732553601264954,12.200525283813477,-0.054604291915893555,-7.993069171905518,0.7403689026832581,0.0015473852399736643,80.0,35446,0.9971227049827576,0.0002990033222591362,-687.07421875,182.51856994628906,0.5073421985260703,64000,829,188
3,-1047.001438618926,27.33268971597882,-1188.0562,-1003.20953,81.79283887468031,16.0,167.0,-3.0528818359375,-7.7138157,6.189995,-0.3444417724609375,-9.667908,2.2773697,0.3444417715072632,1.860177993774414,-0.017836302518844604,-0.9222608208656311,0.7370959520339966,0.001474984223023057,80.0,35446,0.9964637160301208,0.0002980066445182724,-688.531982421875,180.27578735351562,0.5056843768217382,96000,999,189
4,-1050.658078457447,38.872690976100486,-1563.8284,-1001.575,84.92819148936171,14.0,254.0,-3.23450927734375,-6.8486204,3.6861782,-0.22227487182617187,-8.28759,2.3310063,0.22227486968040466,1.0101255178451538,-0.012341424822807312,-0.4759136438369751,0.7338122725486755,0.0013408277882263064,80.0,35446,0.9977946877479553,0.0002970099667774086,-686.5870361328125,181.32322692871094,0.5040265646673453,128000,1170,186
5,-1053.6587301587301,46.42525959901548,-1635.491,-1002.20105,84.51587301587301,13.0,278.0,-3.24211474609375,-6.542809,2.364119,-0.18575607299804686,-7.4279604,1.4090592,0.18575607240200043,0.5138720273971558,-0.009517282247543335,-0.1942790299654007,0.7305175065994263,0.0014827989507466555,80.0,35446,0.9963852167129517,0.00029601328903654483,-685.0496826171875,182.65628051757812,0.50236876760236,160000,1347,181
6,-1065.3732987106018,102.93727051894818,-2794.37,-1001.8951,91.621776504298,18.0,498.0,-3.40735791015625,-5.962469,2.5748975,-0.08519988250732421,-6.318501,1.1190869,0.08519989252090454,0.27152666449546814,-0.005651265382766724,-0.08648054301738739,0.7272123694419861,0.0013002223568037152,80.0,35446,0.9980119466781616,0.00029501661129568106,-682.3178100585938,183.8227996826172,0.5007109615988222,192000,1569,143
7,-1105.7175082781457,240.62872943699716,-3465.7793,-1002.8284,105.95695364238411,18.0,500.0,-3.136111083984375,-5.954474,4.6956096,-0.06422685241699219,-7.4491906,1.1556247,0.06422685086727142,0.3117449879646301,-0.008686326444149017,-0.12004285305738449,0.7238959074020386,0.0016009602695703506,80.0,35446,0.996208131313324,0.00029401993355481724,-676.783447265625,189.2541046142578,0.4990531530460079,224000,1792,143
8,-1075.6002286585365,76.60048895755553,-1777.0316,-1002.0827,97.41768292682927,17.0,271.0,-3.461607666015625,-5.985249,0.15639494,0.003050887107849121,-3.1957648,0.9575772,-0.003050887957215309,0.13977177441120148,-0.00445936992764473,-0.020634787157177925,0.7205685973167419,0.0012509714579209685,80.0,35446,0.9989765882492065,0.00029302325581395347,-674.1694946289062,190.4522705078125,0.4973953486081037,256000,2014,144
9,-1099.6497775080907,165.1886633470405,-3117.4712,-1001.8523,103.39805825242719,15.0,500.0,-3.2486337890625,-5.8074956,3.9155447,-0.014320649147033692,-6.3920693,0.95559007,0.01432065013796091,0.1745893955230713,-0.006016199477016926,-0.040101680904626846,0.7172299027442932,0.001424915622919798,80.0,35446,0.9972324371337891,0.0002920265780730897,-670.915771484375,192.81982421875,0.49573755522300433,288000,2192,179
10,-1125.805944055944,203.05154535223335,-2840.61,-1003.48926,111.81818181818181,15.0,500.0,-3.048044921875,-5.8126264,4.2017727,-0.019797237396240234,-8.108305,3.0324802,0.01979723572731018,0.23732835054397583,-0.007494326680898666,-0.07629451155662537,0.7138803005218506,0.0013963045785203576,80.0,35446,0.9973731637001038,0.0002910299003322259,-666.9827880859375,195.8298797607422,0.49407972120219784,320000,2418,141
11,-1118.8085387323943,154.42313143155323,-2407.205,-1002.7724,112.37676056338029,17.0,500.0,-3.109805908203125,-5.7750196,3.8008766,0.022844051361083983,-6.513361,0.92399037,-0.02284405753016472,0.21290823817253113,-0.006958073005080223,-0.05338143929839134,0.7105190753936768,0.0015083708567544818,80.0,35446,0.9994431138038635,0.0002900332225913621,-663.2158203125,198.2229461669922,0.4924219133214656,352000,2643,141
12,-1170.0721525096526,358.0631725285854,-4463.4375,-648.4076,123.38223938223938,17.0,500.0,-2.8577294921875,-5.692438,3.9805508,-0.010869563102722168,-6.0674634,1.1296852,0.010869564488530159,0.2851300537586212,-0.009027078747749329,-0.11113418638706207,0.7071467041969299,0.001592604210600257,80.0,35446,0.9967999458312988,0.0002890365448504983,-659.732666015625,202.7636260986328,0.4907641100806215,384000,2870,141
13,-1207.5094537815125,404.13925547405813,-4323.569,-1002.60834,133.8109243697479,16.0,500.0,-2.644727294921875,-5.6112823,2.4635653,-0.01880432891845703,-6.1538286,0.9722515,0.018804330378770828,0.27264654636383057,-0.009045116603374481,-0.11591152846813202,0.7037631273269653,0.001603555865585804,80.0,35446,0.9960443377494812,0.0002880398671096345,-655.8733520507812,206.8158721923828,0.4891063197964703,416000,3099,139
14,-1249.9141666666667,555.6993591662472,-7161.948,-1002.40515,142.04,16.0,500.0,-2.641157470703125,-5.6035476,2.666235,-0.00846026611328125,-4.540262,1.296335,0.008460266515612602,0.2577144503593445,-0.008849860168993473,-0.09075630456209183,0.70036780834198,0.001624739496037364,80.0,35446,0.9967114925384521,0.00028704318936877073,-652.4725952148438,212.93687438964844,0.4874484929448711,448000,3330,138
15,-1252.762584841629,473.56592759910995,-4741.231,-1002.96387,144.30769230769232,17.0,500.0,-2.7023251953125,-5.7027087,1.9249592,0.02223984146118164,-3.9675255,1.5639174,-0.022239841520786285,0.21230681240558624,-0.007684445008635521,-0.07176341116428375,0.696960985660553,0.001488272100687027,80.0,35446,0.9975664615631104,0.00028604651162790696,-649.768310546875,216.33578491210938,0.4857906968798545,480000,3555,142
16,-1293.0320197044334,455.55476924652123,-3900.4646,-1003.0246,157.3793103448276,22.0,500.0,-2.580189208984375,-5.1404285,1.3519883,0.012840763092041015,-4.235806,1.1482593,-0.012840763665735722,0.1966329962015152,-0.007577492855489254,-0.06798944622278214,0.6935425400733948,0.0016097554471343756,80.0,35446,0.996539294719696,0.0002850498338870432,-646.5072631835938,218.24850463867188,0.4841328830034904,512000,3781,141
17,-1476.9645712209303,854.3298475250019,-6196.42,-754.56213,184.8953488372093,15.0,500.0,-2.3568701171875,-5.474773,0.98226136,-0.04614352416992187,-4.194996,2.2652717,0.04614352807402611,0.2218063920736313,-0.008176036179065704,-0.09723402559757233,0.6901123523712158,0.0016767814522609115,80.0,35446,0.9946931600570679,0.00028405315614617936,-644.4844360351562,224.0765838623047,0.4824750900450982,544000,4002,144
18,-1431.3673214285714,764.4058159306295,-5737.878,-712.37744,180.3257142857143,15.0,500.0,-2.423543212890625,-5.3433633,0.61180454,-0.02055108642578125,-3.9897778,1.239301,0.020551089197397232,0.2042979747056961,-0.008176373317837715,-0.0675988718867302,0.6866704225540161,0.0016311714425683022,80.0,35446,0.9961755871772766,0.0002830564784053156,-642.14111328125,228.97930908203125,0.48081727062403695,576000,4224,144
19,-1444.250529661017,743.3228192106859,-5061.672,-1004.02875,180.49717514124293,17.0,500.0,-2.4737509765625,-5.891787,1.0118712,-0.021104209899902342,-3.0148668,1.0511627,0.02110420912504196,0.17130431532859802,-0.007480804808437824,-0.049901220947504044,0.6832167506217957,0.0016470887931063771,80.0,35446,0.9951968193054199,0.0002820598006644518,-640.5565185546875,231.30018615722656,0.47915946409130233,608000,4449,142
20,-1684.927536231884,1073.7073792388148,-5835.7793,-534.6702,231.83333333333334,15.0,500.0,-2.40058154296875,-6.011773,0.61934596,-0.0509505615234375,-3.3670108,1.1459634,0.050950564444065094,0.16686518490314484,-0.007382899522781372,-0.06493707001209259,0.6797507405281067,0.0018189596012234688,80.0,35446,0.9930333495140076,0.00028106312292358805,-638.0023193359375,237.23622131347656,0.4775016527393509,640000,4668,146
21,-1561.8482001582279,946.0629679046244,-5968.107,-1003.7484,201.74683544303798,23.0,500.0,-2.40796533203125,-5.7787437,1.2721392,-0.03565744781494141,-5.530313,1.1220125,0.03565744683146477,0.17319545149803162,-0.007656889036297798,-0.05493590980768204,0.676272988319397,0.001740628737024963,80.0,35446,0.9939317107200623,0.0002800664451827242,-636.7418212890625,240.97463989257812,0.4758438478763265,672000,4847,178
22,-1643.6518012152778,941.8513683166788,-6944.083,-1003.0213,220.52083333333334,20.0,500.0,-2.350607421875,-6.3546953,0.7278725,-0.0383474235534668,-2.6134965,1.1544665,0.03834742307662964,0.15171362459659576,-0.007548317313194275,-0.041636135429143906,0.6727829575538635,0.001799392281100154,80.0,35446,0.9941208362579346,0.00027906976744186045,-634.9002685546875,244.0483856201172,0.47418603280317817,704000,5070,143
23,-1611.6475340136055,974.2682305371625,-6236.627,-1002.43665,214.91836734693877,16.0,500.0,-2.379445068359375,-6.292656,0.28268433,-0.034593215942382814,-2.853654,1.9840403,0.034593209624290466,0.14476278424263,-0.007587982341647148,-0.03241477161645889,0.6692809462547302,0.001836951356381178,80.0,35446,0.9939690232276917,0.0002780730897009966,-633.5755615234375,247.47161865234375,0.4725282478009028,736000,5291,144
