Episode,disturbance_level,Steps,Returns
1,0.0,21,-105.43226789655311
2,0.0,28,-108.72201176167971
3,0.0,22,-105.7013635868135
4,0.0,20,-102.08498198980126
5,0.0,24,-106.00066876456437
6,0.0,36,-109.27340589091203
7,0.0,16,-103.12702871800124
8,0.0,21,-105.44601902987364
9,0.0,18,-104.62947142297219
10,0.0,24,-106.71955030457359
11,0.0,23,-108.26360239345394
12,0.0,33,-105.31615792724543
13,0.0,42,-114.68625090389237
14,0.0,20,-105.42918976411856
15,0.0,13,-104.66013411103279
16,0.0,24,-108.10885123252183
17,0.0,22,-107.58680126341268
18,0.0,45,-116.99054915513156
19,0.0,18,-106.40460266150949
20,0.0,24,-107.26815103880503
21,0.0,28,-109.24191323457359
22,0.0,20,-106.25404111937667
23,0.0,17,-103.74064367929267
24,0.0,25,-107.29595552566578
25,0.0,25,-103.06459160982045
26,0.0,29,-106.07071647043817
27,0.0,23,-106.34696368402662
28,0.0,19,-105.08965300642744
29,0.0,37,-109.8399270528707
30,0.0,28,-107.11843391231382
31,0.0,19,-104.28762646906823
32,0.0,18,-106.78289754976116
33,0.0,19,-101.74933178967984
34,0.0,24,-107.02090171543355
35,0.0,28,-108.21070785303095
36,0.0,22,-104.60989771310628
37,0.0,31,-110.00018489349077
38,0.0,14,-101.73554292709301
39,0.0,20,-106.20982694444338
40,0.0,14,-103.40867501876228
41,0.0,47,-107.50879298638054
42,0.0,30,-106.84199041956242
43,0.0,24,-103.70310573778586
44,0.0,27,-107.59851207736158
45,0.0,18,-104.97480954692868
46,0.0,53,-120.73712713267895
47,0.0,18,-103.97862002691241
48,0.0,18,-106.00268083348243
49,0.0,22,-104.24797183894891
50,0.0,52,-122.56633920897272
51,0.0,39,-112.32547250757503
52,0.0,23,-102.09900836314746
53,0.0,27,-110.3975013676204
54,0.0,32,-107.20287663285322
55,0.0,31,-110.25672118640152
56,0.0,44,-114.26052198644685
57,0.0,21,-107.63341314821473
58,0.0,45,-106.99736242731733
