Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-107.87009275237274,4.568944014410356,-139.47197,-100.88238,27.60742018981881,12.0,73.0,-0.03265102767944336,-0.37289608,0.2650981,-7.38467578125,-14.869911,-0.25057352,7.384676456451416,57.30536651611328,-0.0759739875793457,-32.876346588134766,0.7436313033103943,0.0013624720741063356,80.0,9177,0.9894051551818848,0.0003,-90.9919662475586,6.50126838684082,0.508999994180536,32000,27,1162
2,-109.16236611489776,6.275281147567227,-155.02635,-101.371,31.14703018500487,12.0,91.0,-2.702052734375,-8.094565,7.370024,-3.58736767578125,-16.206203,4.865135,3.5873677730560303,21.732006072998047,-0.07932400703430176,-15.327486038208008,0.7403689026832581,0.0020319712348282337,80.0,9177,0.9869447350502014,0.0002990033222591362,-90.55734252929688,6.9788713455200195,0.5073421985260703,64000,189,1185
3,-109.67887126865672,7.092433428682888,-177.7965,-101.02122,31.83283582089552,12.0,86.0,-6.231568359375,-9.579844,1.7100424,-1.7383883056640625,-9.535627,1.1734812,1.7383882999420166,4.258598804473877,-0.027933716773986816,-3.2052664756774902,0.7370959520339966,0.0016118481289595366,80.0,9177,0.9886882901191711,0.0002980066445182724,-90.44243621826172,7.122703552246094,0.5056843768217382,96000,216,1160
4,-110.93627450980392,8.256054052213557,-160.49586,-100.83268,34.83551198257081,12.0,94.0,-7.9665478515625,-10.454037,-3.6341777,-0.7217386474609375,-5.615978,1.8329512,0.7217385768890381,0.9505615234375,-0.011142551898956299,-0.63435298204422,0.7338122725486755,0.001610532752238214,80.0,9177,0.9927670955657959,0.0002970099667774086,-90.2188720703125,7.415505409240723,0.5040265646673453,128000,244,1164
5,-112.14260926822324,9.33803313484423,-180.75017,-101.07208,36.41116173120729,12.0,119.0,-8.6875126953125,-10.6605625,-5.7271605,-0.29005194091796876,-3.1187184,1.0922866,0.2900519371032715,0.30265387892723083,-0.005871385335922241,-0.12350764125585556,0.7305175065994263,0.001455248217098415,80.0,9177,0.9954966902732849,0.00029601328903654483,-90.0855712890625,7.654224872589111,0.50236876760236,160000,271,1164
6,-112.74779390315052,11.013426868932132,-185.49815,-100.776215,37.33255542590432,11.0,118.0,-8.969193359375,-10.637488,-6.2496743,-0.11331965637207031,-2.3654642,1.2011173,0.11331965774297714,0.1602424532175064,-0.004248231649398804,-0.024320539087057114,0.7272123694419861,0.0013097288319841027,80.0,9177,0.99649977684021,0.00029501661129568106,-90.03988647460938,7.775331020355225,0.5007109615988222,192000,299,1175
7,-113.99081219437653,12.71694532305747,-255.29515,-101.49701,39.08190709046455,14.0,140.0,-9.05178515625,-10.611325,-7.0919394,-0.05664851379394531,-3.0992732,1.0547047,0.056648507714271545,0.1592794507741928,-0.0042173415422439575,-0.015608453191816807,0.7238959074020386,0.0012679352657869458,80.0,9177,0.997459352016449,0.00029401993355481724,-90.01254272460938,7.980961799621582,0.4990531530460079,224000,326,1163
8,-115.38686605981795,13.331576082322435,-213.66417,-101.8194,41.6111833550065,14.0,123.0,-9.105798828125,-10.723866,-7.027932,-0.0073017625808715824,-2.4443889,1.2202902,0.007301763631403446,0.14218001067638397,-0.004327109549194574,-0.005936702247709036,0.7205685973167419,0.0013178691733628511,80.0,9177,0.9983037710189819,0.00029302325581395347,-89.96955871582031,8.136362075805664,0.4973953486081037,256000,352,1213
9,-116.93688896648045,13.615590999335033,-191.11902,-101.566605,44.62849162011173,15.0,114.0,-9.1403017578125,-10.681673,-6.95735,0.0349075927734375,-1.8290743,1.2024435,-0.034907594323158264,0.1368541568517685,-0.004334397614002228,-0.005812342278659344,0.7172299027442932,0.0013456974411383271,80.0,9177,0.9988909363746643,0.0002920265780730897,-89.87274169921875,8.361321449279785,0.49573755522300433,288000,379,1216
10,-118.53695070162482,17.535052729447948,-390.227,-101.87133,47.18759231905465,14.0,160.0,-9.085189453125,-10.637484,-6.8904414,0.02890085792541504,-6.496774,1.1409035,-0.028900854289531708,0.18721377849578857,-0.005129996687173843,-0.028571562841534615,0.7138803005218506,0.001223345403559506,80.0,9177,0.999780535697937,0.0002910299003322259,-89.8063735961914,8.778609275817871,0.49407972120219784,320000,405,1212
11,-120.99983671623794,16.94058945673022,-249.05307,-101.885414,51.41639871382637,12.0,157.0,-9.0753125,-10.6949835,-6.555913,0.06091244125366211,-2.5964975,1.4498153,-0.060912445187568665,0.16501188278198242,-0.005293570458889008,-0.011286204680800438,0.7105190753936768,0.0013622988481074572,80.0,9177,0.9995108842849731,0.0002900332225913621,-89.72537994384766,8.998144149780273,0.4924219133214656,352000,432,1179
