Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1030.6853841145833,6.409974344552325,-1054.1066,-1010.96313,83.2421875,48.0,153.0,-0.19187721252441406,-0.57939816,0.29034042,-7.27237890625,-12.376121,-0.49882776,7.272378921508789,62.41753005981445,-0.1292133331298828,-38.462127685546875,0.7436313033103943,0.0017524621216580272,80.0,6754,0.9830325245857239,0.0003,-688.3297119140625,171.36488342285156,0.508999994180536,32000,419,76
2,-1029.1577608142493,6.168802632151576,-1053.6938,-1009.0391,81.38931297709924,38.0,165.0,-0.47618841552734376,-7.920847,7.32392,-1.4072952880859375,-12.338084,6.388549,1.4072954654693604,7.384408950805664,-0.04597115516662598,-5.089158058166504,0.7403689026832581,0.0018887659534811974,80.0,6754,0.9926498532295227,0.0002990033222591362,-690.7667236328125,170.16969299316406,0.5073421985260703,64000,1233,91
3,-1030.044502617801,6.628182734696502,-1060.4545,-1011.13745,83.63089005235602,46.0,161.0,-1.8603118896484374,-7.0856953,5.3079143,-0.8714791259765625,-8.456468,3.3441298,0.8714791536331177,1.9433679580688477,-0.02170950174331665,-1.2961410284042358,0.7370959520339966,0.001702520647086203,80.0,6754,0.9904903173446655,0.0002980066445182724,-688.9855346679688,171.46336364746094,0.5056843768217382,96000,1578,92
4,-1029.367003916449,6.375175981802824,-1058.642,-1008.0036,83.50130548302872,39.0,171.0,-2.614137939453125,-6.712673,3.7305357,-0.58555908203125,-5.0899715,2.4448905,0.585559070110321,0.8877613544464111,-0.013144195079803467,-0.6078546643257141,0.7338122725486755,0.0016189550515264273,80.0,6754,0.9918519258499146,0.0002970099667774086,-688.2488403320312,171.9154510498047,0.5040265646673453,128000,1934,89
5,-1030.4529144204853,6.414708069421629,-1055.3198,-1015.1615,86.11590296495957,38.0,178.0,-3.202735595703125,-6.5345407,1.3360391,-0.31380859375,-3.1866646,1.0074493,0.3138085901737213,0.3214290738105774,-0.00710633397102356,-0.19586025178432465,0.7305175065994263,0.0015107683138921857,80.0,6754,0.994640052318573,0.00029601328903654483,-686.2470092773438,173.0458526611328,0.50236876760236,160000,2285,91
6,-1031.0613930517711,7.833488835973678,-1060.3895,-1010.4409,87.12261580381471,50.0,183.0,-3.43929296875,-6.2846026,0.38556197,-0.19006990051269532,-4.935963,0.80439657,0.19006989896297455,0.17739643156528473,-0.0054559409618377686,-0.08677351474761963,0.7272123694419861,0.0015330743044614792,80.0,6754,0.9945492744445801,0.00029501661129568106,-684.1085205078125,174.57350158691406,0.5007109615988222,192000,2647,88
7,-1032.4769642857143,9.101008087804653,-1090.3203,-1010.83075,91.42857142857143,51.0,318.0,-3.57652685546875,-6.5264816,0.8869805,-0.09209767150878906,-5.967925,1.1085043,0.09209766983985901,0.10664013773202896,-0.0044924914836883545,-0.03405303880572319,0.7238959074020386,0.0015667877160012722,80.0,6754,0.9954858422279358,0.00029401993355481724,-680.6898193359375,177.12005615234375,0.4990531530460079,224000,2932,112
8,-1034.1710329341317,9.759052803449164,-1099.1636,-1016.25653,95.80838323353294,53.0,270.0,-3.60172314453125,-6.440085,-0.78065264,-0.025719108581542968,-5.5719514,1.2395984,0.025719108060002327,0.0776795968413353,-0.00355597585439682,-0.012006314471364021,0.7205685973167419,0.0014327201060950756,80.0,6754,0.9988029599189758,0.00029302325581395347,-676.3075561523438,180.49046325683594,0.4973953486081037,256000,3215,113
9,-1036.1703074433658,13.018155226203424,-1120.1895,-1009.58594,103.31715210355988,48.0,326.0,-3.5010673828125,-6.237977,0.39792478,0.01966847229003906,-4.251086,2.407996,-0.019668472930788994,0.07090354710817337,-0.003652416169643402,-0.010093140415847301,0.7172299027442932,0.0015299818478524685,80.0,6754,1.0001505613327026,0.0002920265780730897,-669.818115234375,186.48191833496094,0.49573755522300433,288000,3521,104
10,-1040.311298076923,25.864188351336807,-1282.072,-1011.4926,111.73426573426573,51.0,397.0,-3.306341552734375,-6.0764785,3.7860708,0.05222576141357422,-7.5606523,0.92348665,-0.052225761115550995,0.11566644161939621,-0.004698570817708969,-0.03494034707546234,0.7138803005218506,0.0014010797021910548,80.0,6754,0.999098539352417,0.0002910299003322259,-662.3612060546875,193.3077850341797,0.49407972120219784,320000,3808,111
11,-1038.957597173145,24.673038603347205,-1250.391,-1011.37897,112.78798586572438,39.0,399.0,-3.276150390625,-6.1075897,1.9440287,0.07645246887207031,-5.4481225,0.929986,-0.07645247131586075,0.10216841101646423,-0.004879802465438843,-0.030620237812399864,0.7105190753936768,0.0014871669700369239,80.0,6754,1.0017555952072144,0.0002900332225913621,-655.8953857421875,198.75201416015625,0.4924219133214656,352000,4111,105
12,-1045.1221998207886,64.03908206914012,-1731.9066,-1016.9595,114.36917562724014,54.0,470.0,-3.1183828125,-6.1222515,3.6236756,0.06720191955566407,-7.3658504,1.0800378,-0.06720191985368729,0.13469065725803375,-0.006087779998779297,-0.05405518785119057,0.7071467041969299,0.001623294549062848,80.0,6754,0.9996705055236816,0.0002890365448504983,-650.5892944335938,202.4564208984375,0.4907641100806215,384000,4403,109
13,-1050.0169370229007,77.26308592442373,-1956.3807,-1011.5537,121.83206106870229,57.0,500.0,-2.892792236328125,-5.7060647,2.4906397,0.0617332763671875,-6.611678,1.6766137,-0.061733271926641464,0.1769871711730957,-0.007422510534524918,-0.05847784876823425,0.7037631273269653,0.0016114505706354976,80.0,6754,0.9995114207267761,0.0002880398671096345,-644.5343017578125,207.05392456054688,0.4891063197964703,416000,4698,108
14,-1042.8424949799196,65.75938859778898,-1739.8749,-426.07678,127.26907630522088,37.0,500.0,-2.896720703125,-5.469723,1.0590259,0.09682673645019531,-4.62822,1.1216449,-0.09682674705982208,0.1181647777557373,-0.00561949610710144,-0.028521889820694923,0.70036780834198,0.0015703191747888923,80.0,6754,1.0016345977783203,0.00028704318936877073,-637.7025146484375,212.86215209960938,0.4874484929448711,448000,5003,105
15,-1047.958824282787,73.90709165378728,-1756.3641,-408.90808,130.70901639344262,43.0,500.0,-2.72882958984375,-5.39484,2.4109323,0.07576243591308594,-4.4394484,1.199639,-0.07576243579387665,0.12957745790481567,-0.006001584231853485,-0.032750096172094345,0.696960985660553,0.0015042650047689676,80.0,6754,1.0010381937026978,0.00028604651162790696,-631.875732421875,216.91796875,0.4857906968798545,480000,5280,115
