Episode,disturbance_level,Steps,Returns
1,0.0,29,-1008.723714229817
2,0.0,23,-1006.1051897893578
3,0.0,18,-1006.4663419259047
4,0.0,18,-1001.741708646861
5,0.0,28,-1007.4762807952658
6,0.0,21,-1004.6808391586748
7,0.0,18,-1004.3739424807272
8,0.0,19,-1004.7180399228347
9,0.0,26,-1004.10114942352
10,0.0,22,-1001.8893810501788
11,0.0,16,-1004.1563438531812
12,0.0,19,-1003.5577090296289
13,0.0,18,-1005.5389042677157
14,0.0,20,-1002.6773775127535
15,0.0,30,-1004.5061726259901
16,0.0,23,-1003.783812095222
17,0.0,33,-1008.077136760811
18,0.0,16,-1003.2827395549045
19,0.0,18,-1002.4194523699236
20,0.0,34,-1007.0981136506426
21,0.0,16,-1002.1763406777653
22,0.0,29,-1004.7996865061317
23,0.0,25,-1002.6391070691193
24,0.0,16,-1002.7658727124533
25,0.0,43,-1010.1717664608424
26,0.0,19,-1006.4749296500497
27,0.0,23,-1005.293947673741
28,0.0,17,-1004.2328941622587
29,0.0,35,-1008.3271767032411
30,0.0,21,-1004.256141098512
31,0.0,20,-1003.9397188997459
32,0.0,42,-1006.4414123122885
33,0.0,22,-1006.0697032084008
34,0.0,26,-1008.4349686724329
35,0.0,21,-1005.127768787503
36,0.0,25,-1003.1188930234865
37,0.0,17,-1003.8860820167687
38,0.0,18,-1002.7215228308239
39,0.0,42,-1012.1311106148992
40,0.0,38,-1004.7662290772231
41,0.0,33,-1005.4502674098194
42,0.0,25,-1002.4670503136067
43,0.0,17,-1004.8100047108582
44,0.0,13,-1001.6241190138654
45,0.0,21,-1006.4463736863217
46,0.0,16,-1003.0722428616732
47,0.0,30,-1007.3456210936655
48,0.0,22,-1006.3375443282632
49,0.0,31,-1009.0100072962811
50,0.0,18,-1001.6643081860581
51,0.0,31,-1003.5818921616656
52,0.0,24,-1006.1441855016102
53,0.0,24,-1002.7762025654534
54,0.0,22,-1003.0627433499847
55,0.0,31,-1003.2815534350573
56,0.0,23,-1007.6192617584168
57,0.0,20,-1006.7023508782783
58,0.0,22,-1002.1430246037056
59,0.0,18,-1004.2018820465752
60,0.0,28,-1003.9410843138673
61,0.0,27,-1007.308003098778
62,0.0,32,-1008.5816211949393
63,0.0,20,-1002.0728705754325
64,0.0,25,-1008.9338038673445
65,0.0,27,-1005.4761812394636
66,0.0,25,-1006.6192177771496
67,0.0,27,-1003.5394910137227
68,0.0,15,-1004.2971727834827
69,0.0,38,-1006.7917529699401
70,0.0,27,-1008.7494605618074
71,0.0,38,-1004.7201741979754
72,0.0,13,-1002.3064909503074
73,0.0,27,-1004.5672569383164
74,0.0,12,-1002.6392556821432
75,0.0,27,-1007.5127572381392
76,0.0,28,-1005.2400500527144
77,0.0,22,-1003.9339879452145
78,0.0,27,-1009.343756715465
79,0.0,19,-1004.1734525005571
80,0.0,35,-1004.8119944681042
81,0.0,18,-1002.3572734577323
82,0.0,17,-1001.7790255546274
83,0.0,23,-1004.3564369003095
84,0.0,36,-1010.176214106374
85,0.0,34,-1010.083996171709
86,0.0,29,-1009.318803944262
87,0.0,17,-1002.730378465849
88,0.0,21,-1007.0176896391265
89,0.0,26,-1004.913200396195
90,0.0,24,-1006.7833496989856
91,0.0,14,-1001.580461802678
92,0.0,31,-1006.18721053636
93,0.0,27,-1005.3598105346874
94,0.0,14,-1002.6632596848956
95,0.0,19,-1004.730694554916
96,0.0,31,-1008.2469998733254
97,0.0,27,-1006.6230251364519
98,0.0,20,-1002.8504872816263
99,0.0,16,-1001.5820067144405
100,0.0,18,-1002.139944852004
101,0.0,21,-1002.3347411590748
102,0.0,17,-1004.1398621762636
103,0.0,29,-1008.3241596654357
104,0.0,18,-1002.4670637207693
105,0.0,21,-1003.7093178465535
106,0.0,21,-1004.4471154023023
107,0.0,17,-1002.8015367240762
108,0.0,18,-1002.2832464419607
109,0.0,15,-1004.4601705685816
110,0.0,27,-1005.2177888891961
111,0.0,14,-1004.4685172678005
112,0.0,27,-1004.5373798560926
113,0.0,18,-1004.4998103350116
114,0.0,28,-1006.1680244603989
115,0.0,20,-1006.3601611486179
116,0.0,16,-1002.558112895101
117,0.0,26,-1004.3562685990906
118,0.0,17,-1005.5226068339605
119,0.0,17,-1003.1993407600246
120,0.0,26,-1007.3296528601422
121,0.0,22,-1001.8780979250774
122,0.0,25,-1003.4344334955994
123,0.0,18,-1003.7722922039015
124,0.0,18,-1002.8978509745536
125,0.0,25,-1003.5917225526682
126,0.0,17,-1004.9234471865321
127,0.0,23,-1007.8750012174002
128,0.0,21,-1004.8258272737404
