Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-144.8634394778481,16.989516499479198,-254.20975,-103.182945,81.0126582278481,26.0,152.0,0.06948381042480468,-0.3306071,0.47685668,-10.1758076171875,-35.420692,-1.6816918,10.175806999206543,123.71202850341797,-0.1994314193725586,-58.44695281982422,0.7436313033103943,0.0017862289678305387,80.0,40226,0.9816687107086182,0.0003,-91.26476287841797,13.007765769958496,0.508999994180536,32000,203,156
2,-144.78195036300505,21.996541854013177,-335.10226,-109.13623,80.56313131313131,34.0,171.0,-1.03094775390625,-8.415058,8.379327,-2.223986572265625,-15.927209,6.298084,2.223986864089966,13.74044418334961,-0.06426501274108887,-8.95067024230957,0.740358293056488,0.0021219730842858553,80.0,40226,0.9903974533081055,0.000299,-91.35250854492188,13.818496704101562,0.5073366646451225,64000,351,217
3,-144.20263053797467,15.763170101396788,-266.25293,-111.97612,80.82784810126583,44.0,134.0,-3.19629931640625,-8.257308,6.859091,-1.3714056396484375,-9.658572,2.4570153,1.3714054822921753,3.560391902923584,-0.026233434677124023,-2.608051300048828,0.7370739579200745,0.0017273330595344305,80.0,40226,0.9898692965507507,0.000298,-91.19673919677734,13.663507461547852,0.5056733452856872,96000,495,220
4,-146.12442885117494,19.830558759272538,-295.70386,-112.83286,83.39425587467363,39.0,173.0,-4.4477041015625,-8.351118,3.786532,-0.8850065307617188,-6.2836676,1.1913251,0.8850065469741821,1.5610418319702148,-0.016397833824157715,-1.1676033735275269,0.73377925157547,0.001708176452666521,80.0,40226,0.9912816286087036,0.00029699999999999996,-91.14193725585938,13.763598442077637,0.504010011618452,128000,641,220
5,-150.79545454545453,28.621483858026895,-358.20084,-106.84583,85.51604278074866,42.0,220.0,-5.3172890625,-8.412205,1.1786133,-0.5821502075195313,-4.490663,1.0477777,0.5821502208709717,0.7710561752319336,-0.012084424495697021,-0.5134853720664978,0.7304736375808716,0.0016438958700746298,80.0,40226,0.9908460378646851,0.000296,-91.53425598144531,14.380680084228516,0.5023466697765746,160000,786,220
6,-150.1117064790576,35.039408442196304,-526.58575,-107.550224,83.70942408376963,33.0,208.0,-5.8477529296875,-8.468216,-1.1611093,-0.2870478515625,-6.3191237,1.3882194,0.2870478630065918,0.42702579498291016,-0.007962465286254883,-0.23721811175346375,0.7271569967269897,0.0013174806954339147,80.0,40226,0.9967303276062012,0.00029499999999999996,-91.92127990722656,15.368314743041992,0.5006833261702077,192000,934,216
7,-158.26483289930556,62.13918069767075,-1057.7095,-104.784805,88.8638888888889,24.0,348.0,-6.062099609375,-8.305904,-1.4211975,-0.08561203002929688,-4.8670354,1.700417,0.08561202883720398,0.3651624321937561,-0.008419401943683624,-0.14178715646266937,0.7238293290138245,0.0014060258399695158,80.0,40226,0.9978333711624146,0.000294,-92.66503143310547,17.738174438476562,0.4990199874853069,224000,1085,211
8,-159.6647717038905,36.005958320563174,-409.7275,-124.62818,92.13832853025937,47.0,212.0,-6.1096015625,-8.167947,-3.277475,0.22458773803710938,-2.8898497,2.302013,-0.22458775341510773,0.32643523812294006,-0.006992325186729431,-0.10961268842220306,0.720490574836731,0.001207670196890831,80.0,40226,1.0028964281082153,0.00029299999999999997,-93.03388214111328,17.97506332397461,0.4973566606824231,256000,1234,214
9,-169.50863363363362,56.01077089682356,-696.07214,-110.70518,95.990990990991,44.0,278.0,-5.8046015625,-7.871931,3.319776,0.12558353424072266,-8.986162,1.9581838,-0.12558354437351227,0.28592783212661743,-0.0075003355741500854,-0.09014120697975159,0.7171405553817749,0.0011822879314422607,80.0,40226,1.0018501281738281,0.000292,-93.8224868774414,19.17337417602539,0.4956933234498547,288000,1379,221
10,-175.87931616512347,73.39849009867595,-889.16583,-117.49673,98.43827160493827,46.0,500.0,-5.6550556640625,-7.327535,-0.42252848,0.15212355041503905,-3.775809,1.5936913,-0.15212354063987732,0.2891928553581238,-0.007069095969200134,-0.08596143871545792,0.7137795686721802,0.0010866589145734906,80.0,40226,1.0033601522445679,0.00029099999999999997,-94.73492431640625,20.770435333251953,0.49403001303756583,320000,1527,216
