Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-108.84442901611328,6.285866933678294,-145.00853,-101.17157,31.236328125,12.0,88.0,0.07130984497070313,-0.21957347,0.36692622,-7.292064453125,-17.448484,-0.31181145,7.292064666748047,57.10324478149414,-0.10259008407592773,-33.10652542114258,0.7436313033103943,0.0014930228935554624,80.0,40226,0.9859740734100342,0.0003,-89.90318298339844,7.574368000030518,0.508999994180536,0,32000,217,147
2,-108.72205383123182,6.644788857606587,-148.40654,-100.658745,30.97769156159069,12.0,88.0,-0.8051268310546875,-7.72991,7.625162,-4.563771484375,-17.533518,5.8068194,4.5637712478637695,33.27266311645508,-0.1216130256652832,-23.193004608154297,0.740358293056488,0.0024295062758028507,80.0,40226,0.9813857078552246,0.000299,-89.87854766845703,7.88074254989624,0.5073366646451225,0,64000,390,184
3,-109.06986940298508,6.7245662809334155,-155.03928,-100.667305,31.82686567164179,12.0,91.0,-5.2640087890625,-8.814966,3.631883,-2.2127509765625,-12.097973,0.9279485,2.2127509117126465,6.613743782043457,-0.045295000076293945,-5.137483596801758,0.7370739579200745,0.00186073686927557,80.0,40226,0.9837116599082947,0.000298,-89.84773254394531,7.822629451751709,0.5056733452856872,0,96000,566,182
4,-109.1665379036327,6.9391472326466115,-161.49069,-100.71857,32.264379414732595,13.0,87.0,-7.5142275390625,-10.059269,-1.4540212,-0.9686241455078125,-5.5919604,0.89457333,0.9686242938041687,1.5093423128128052,-0.017351508140563965,-1.119606614112854,0.73377925157547,0.0017169580096378922,80.0,40226,0.9883542060852051,0.00029699999999999996,-89.80976867675781,7.808172702789307,0.504010011618452,0,128000,793,140
5,-110.22191298890064,7.822448475506604,-170.56635,-100.90946,33.80338266384778,12.0,94.0,-8.5406376953125,-10.486936,-4.9241204,-0.36459506225585936,-3.4313936,0.961429,0.36459505558013916,0.3761436641216278,-0.008045554161071777,-0.1997675597667694,0.7304736375808716,0.0015957100549712777,80.0,40226,0.9930176734924316,0.000296,-89.77375793457031,7.861896991729736,0.5023466697765746,0,160000,959,193
6,-111.05496839887641,8.429192487431315,-162.42334,-101.27406,35.95505617977528,12.0,96.0,-8.901150390625,-10.559274,-6.2357526,-0.10840614318847656,-10.074838,1.255076,0.10840614885091782,0.18833337724208832,-0.004631489515304565,-0.029789108783006668,0.7271569967269897,0.0013425907818600535,80.0,40226,0.9972367882728577,0.00029499999999999996,-89.6737060546875,7.9277544021606445,0.5006833261702077,0,192000,1124,194
7,-111.35151713124274,8.404621491783612,-161.36797,-101.110725,37.148664343786294,14.0,100.0,-9.0348916015625,-10.516068,-7.040027,0.0045695843696594235,-2.1314538,1.2256441,-0.004569584969431162,0.12826211750507355,-0.004202818963676691,-0.00846121832728386,0.7238293290138245,0.0012860181741416454,80.0,40226,0.9978771805763245,0.000294,-89.5390625,8.05644702911377,0.4990199874853069,0,224000,1351,140
8,-113.82183544303797,11.179335469284842,-164.61507,-100.782814,40.472151898734175,13.0,108.0,-9.05410546875,-10.492738,-6.9911795,0.0071809148788452145,-1.7550018,1.3314469,-0.007180914748460054,0.1248120367527008,-0.004400758538395166,-0.005967144388705492,0.720490574836731,0.0013176164356991649,80.0,40226,0.9993264079093933,0.00029299999999999997,-89.46365356445312,8.221611976623535,0.4973566606824231,0,256000,1513,197
9,-114.21556941699605,11.301075318733337,-187.19058,-100.919205,42.1133069828722,14.0,109.0,-9.010453125,-10.525734,-6.84899,0.021793060302734375,-1.8706388,1.4059219,-0.02179306000471115,0.1340211033821106,-0.004942787811160088,-0.00598331680521369,0.7171405553817749,0.0012820841511711478,80.0,40226,0.9982970356941223,0.000292,-89.36026763916016,8.389730453491211,0.4956933234498547,0,288000,1677,194
10,-116.6250456871345,12.387831893453667,-183.65508,-101.722176,46.755847953216374,13.0,117.0,-9.046884765625,-10.489803,-6.8340707,0.06532708740234375,-1.7922139,1.3629564,-0.06532708555459976,0.12652678787708282,-0.004986502230167389,-0.008829263970255852,0.7137795686721802,0.0014419611543416977,80.0,40226,0.9997773766517639,0.00029099999999999997,-89.22842407226562,8.584649085998535,0.49403001303756583,0,320000,1840,196
11,-119.76199686488673,14.313401333244911,-217.04596,-100.7192,51.74757281553398,13.0,124.0,-8.998552734375,-10.432957,-6.3308325,0.053098960876464846,-3.1476104,1.2156603,-0.05309896543622017,0.13817262649536133,-0.005476370453834534,-0.014251192100346088,0.7104068398475647,0.0014505372382700443,80.0,40226,1.0001448392868042,0.00029,-89.10257720947266,8.840629577636719,0.4923666785278051,0,352000,2004,195
12,-121.7595219017094,15.9555940944229,-246.16313,-102.1078,54.66837606837607,14.0,148.0,-8.924451171875,-10.374468,-2.879203,0.03821990966796875,-5.953566,1.2146813,-0.038219913840293884,0.1492026150226593,-0.0061278752982616425,-0.02819795347750187,0.707023024559021,0.0014937734231352806,80.0,40226,0.9990186095237732,0.000289,-89.01400756835938,9.055625915527344,0.49070332856195675,0,384000,2228,142
13,-124.71774764150943,16.678370497528533,-228.25504,-100.723274,60.30943396226415,17.0,145.0,-8.8838681640625,-10.395283,-6.290917,0.05031758117675781,-3.0987308,1.1708162,-0.050317585468292236,0.13360083103179932,-0.0062651559710502625,-0.012911141850054264,0.7036275267601013,0.0016722966684028506,80.0,40226,0.9995645880699158,0.00028799999999999995,-88.89644622802734,9.331775665283203,0.48904000119877045,0,416000,2453,142
14,-127.04365625,16.81081497132129,-224.22743,-102.546425,63.97,16.0,132.0,-8.85766796875,-10.328174,-5.940404,0.059106544494628904,-2.099935,1.1677341,-0.05910654738545418,0.12384073436260223,-0.00571533665060997,-0.011268935166299343,0.7002204656600952,0.0015260042855516076,80.0,40226,1.000588297843933,0.000287,-88.78679656982422,9.563376426696777,0.48737667626760073,0,448000,2675,143
15,-130.67124932359306,23.01653808531814,-395.18765,-103.81348,69.25541125541126,16.0,207.0,-8.7301083984375,-10.364398,8.619559,0.03414634704589844,-18.481571,1.4729233,-0.03414635360240936,0.32416462898254395,-0.00881221517920494,-0.15602260828018188,0.6968018412590027,0.0017263219924643636,80.0,40226,0.9997214078903198,0.00028599999999999996,-88.72093963623047,9.913811683654785,0.4857133342600456,0,480000,2835,200
