Episode,disturbance_level,Steps,Returns
1,1.0,108,-186.60808454362856
2,1.0,66,-131.32319733833447
3,1.0,77,-159.09223930851886
4,1.0,102,-149.5143931679538
5,1.0,67,-139.52435603926938
6,1.0,84,-140.53992956789938
7,1.0,90,-173.77599816619488
8,1.0,94,-147.48255211951033
9,1.0,86,-142.95576374472006
10,1.0,64,-131.6315354053444
11,1.0,62,-130.49840543751367
12,1.0,83,-145.6480678191439
13,1.0,81,-136.8366494800325
14,1.0,96,-142.10537993457197
15,1.0,85,-141.85789235281163
16,1.0,95,-139.6802936425994
17,1.0,82,-138.86895160882244
18,1.0,53,-125.34530526492262
19,1.0,90,-168.71780483770502
20,1.0,81,-144.00604426246096
21,1.0,77,-130.9332969011743
22,1.0,72,-137.19264128860777
23,1.0,64,-134.8376243533885
24,1.0,75,-136.46021111886267
25,1.0,108,-168.04829140017227
26,1.0,63,-137.17661370147795
27,1.0,98,-153.21923237180505
28,1.0,98,-156.13188933922893
29,1.0,106,-141.61424209990304
30,1.0,62,-130.57161700785196
31,1.0,69,-140.1677968833305
32,1.0,61,-132.94079425287734
33,1.0,70,-133.46146030886874
34,1.0,99,-152.9630066932645
35,1.0,94,-156.88079687254728
36,1.0,83,-141.9805073165747
37,1.0,76,-157.760456242242
38,1.0,93,-152.84520735315732
39,1.0,92,-163.91403543484378
40,1.0,85,-130.16754980639172
41,1.0,71,-129.15068143617583
42,1.0,89,-159.9400912379104
43,1.0,51,-128.8892570342175
44,1.0,79,-126.81619815341999
45,1.0,115,-158.4228250934641
46,1.0,89,-148.10038185141786
47,1.0,71,-135.90074101988628
48,1.0,94,-143.01409555246283
49,1.0,65,-150.05853947812278
50,1.0,77,-149.77088500920672
51,1.0,99,-153.46163236302425
52,1.0,99,-173.97859211960554
53,1.0,109,-164.90564389122255
54,1.0,106,-153.51517093655815
55,1.0,101,-156.13892966875264
56,1.0,80,-130.25515292656527
57,1.0,83,-146.71545385735274
58,1.0,79,-144.96833742584798
59,1.0,72,-131.5734184899838
60,1.0,82,-136.8472816555081
61,1.0,76,-133.29556768210136
62,1.0,84,-143.3444472776993
63,1.0,67,-143.27237290403596
64,1.0,109,-184.62165337437503
65,1.0,96,-150.05238515105933
66,1.0,102,-189.55150011447805
67,1.0,79,-156.15571155595194
68,1.0,93,-133.4257719167315
69,1.0,72,-138.84620980357778
70,1.0,111,-136.7871597508294
71,1.0,71,-135.39420693648592
72,1.0,100,-150.83546314394482
73,1.0,91,-153.19448397918214
74,1.0,118,-184.99085226745729
75,1.0,74,-139.88823307101464
76,1.0,114,-156.31809217108736
77,1.0,55,-135.99926502542814
78,1.0,81,-161.2062234160706
79,1.0,80,-139.5942084077957
80,1.0,61,-135.45941881394884
81,1.0,65,-129.06004198430165
82,1.0,72,-122.00370311641373
83,1.0,140,-219.17156406199967
84,1.0,96,-154.26789018229152
85,1.0,74,-132.06075235832725
86,1.0,65,-124.9369293152832
87,1.0,70,-135.04394619015716
88,1.0,72,-139.9042280352068
89,1.0,85,-150.00298564741342
90,1.0,80,-141.30038469613706
91,1.0,65,-124.4793891740012
92,1.0,85,-150.71220005674408
93,1.0,85,-147.57215977508508
94,1.0,73,-156.77331581716186
95,1.0,83,-157.12740306354408
96,1.0,100,-134.51731873726422
97,1.0,90,-142.12712932894453
