Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-100.997953125,4.0506759480310166e-05,-100.99954,-100.99781,1.0,1.0,1.0,0.1075490493774414,0.09185746,0.15644294,-10.10754296875,-10.156443,-9.928731,10.1075439453125,102.1624526977539,-0.012257575988769531,-55.37983322143555,0.7436313033103943,0.0007981807575561106,80.0,37007,0.998665988445282,0.0003,-100.99793243408203,0.0009870337089523673,0.508999994180536,32000,306,104
2,-100.9979453125,3.921642839240933e-05,-100.998085,-100.9978,1.0,1.0,1.0,-3.367440673828125,-8.760133,8.81241,-6.632287109375,-18.81241,4.4613843,6.63228702545166,74.70345306396484,-0.23978328704833984,-51.95941925048828,0.740358293056488,0.0028673019260168076,80.0,37007,0.972609281539917,0.000299,-100.997802734375,0.034446101635694504,0.5073366646451225,64000,563,124
3,-100.9979453125,3.923991452746502e-05,-100.9981,-100.99779,1.0,1.0,1.0,-7.30951416015625,-10.611523,9.216425,-2.69066796875,-19.216425,0.6115227,2.6906678676605225,16.640975952148438,-0.09826993942260742,-13.444340705871582,0.7370739579200745,0.002241192851215601,80.0,37007,0.9815292954444885,0.000298,-100.99790954589844,0.033827684819698334,0.5056733452856872,96000,838,116
4,-100.9979453125,3.9246056162558555e-05,-100.998085,-100.99781,1.0,1.0,1.0,-9.929806640625,-11.126401,-5.8304334,-0.07042845916748047,-7.2280474,1.126401,0.07042846083641052,0.30482783913612366,-0.006320565938949585,-0.13357657194137573,0.73377925157547,0.000999724492430687,80.0,37007,0.9971462488174438,0.00029699999999999996,-100.99797058105469,0.03605721890926361,0.504010011618452,128000,1114,116
5,-100.9979453125,3.924385455483907e-05,-100.99809,-100.9978,1.0,1.0,1.0,-9.9999111328125,-10.829971,-8.039062,-0.0002263336181640625,-4.19234,0.8299713,0.0002263331989524886,0.10857053846120834,-0.002825012430548668,-0.020934607833623886,0.7304736375808716,0.0007789066294208169,80.0,37007,0.9983987808227539,0.000296,-100.99799346923828,0.03406283259391785,0.5023466697765746,160000,1394,114
6,-100.9979453125,3.9181834345220256e-05,-100.99811,-100.99779,1.0,1.0,1.0,-9.9985341796875,-10.688186,-7.453929,-0.0016715362071990966,-6.4886265,0.6881857,0.0016715360106900334,0.0796598345041275,-0.0026630437932908535,-0.015852030366659164,0.7271569967269897,0.000907250854652375,80.0,37007,0.9985389113426208,0.00029499999999999996,-100.99801635742188,0.03453131020069122,0.5006833261702077,192000,1671,115
7,-100.9979453125,3.940891076513623e-05,-100.998085,-100.997795,1.0,1.0,1.0,-10.00437109375,-10.540042,-8.331329,0.0042580623626708985,-3.351595,0.5400419,-0.004258061293512583,0.05539973825216293,-0.002245788462460041,-0.004989299923181534,0.7238293290138245,0.0008745707455091178,80.0,37007,0.9980648159980774,0.000294,-100.9980239868164,0.03286980465054512,0.4990199874853069,224000,2044,85
8,-100.9979453125,3.8942856025441775e-05,-100.998085,-100.997795,1.0,1.0,1.0,-9.933021484375,-10.470711,-8.128521,-0.06708631896972657,-3.8452787,0.47071075,0.06708630919456482,0.060088153928518295,-0.002728596329689026,-0.013875070959329605,0.720490574836731,0.0011437415378168225,80.0,37007,0.9956207275390625,0.00029299999999999997,-100.9980239868164,0.0314827635884285,0.4973566606824231,256000,2312,119
9,-100.9979453125,3.9211766588447094e-05,-100.998085,-100.997795,1.0,1.0,1.0,-9.97246484375,-10.43229,-8.04922,-0.027624916076660157,-2.7928352,0.43229008,0.027624914422631264,0.04229706898331642,-0.0018391143530607224,-0.006731405854225159,0.7171405553817749,0.0008418158395215869,80.0,37007,0.9980650544166565,0.000292,-100.9980239868164,0.03016396425664425,0.4956933234498547,288000,2595,113
10,-100.9979453125,3.955233590726275e-05,-100.998085,-100.9978,1.0,1.0,1.0,-9.9600771484375,-10.391866,-7.9490023,-0.040180736541748044,-8.166698,0.39186573,0.040180739015340805,0.04427196830511093,-0.002287197858095169,-0.008190873079001904,0.7137795686721802,0.001054289285093546,80.0,37007,0.9969402551651001,0.00029099999999999997,-100.99803924560547,0.032119270414114,0.49403001303756583,320000,2868,117
