Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-42.80166416952055,20.367643361928778,-127.7417,-3.96455,73.0068493150685,17.0,132.0,0.06597126007080079,-0.18759501,0.29264465,-8.702521484375,-26.933607,-0.37956715,8.702522277832031,90.98444366455078,-0.10847187042236328,-45.7622184753418,0.7436313033103943,0.001463644439354539,80.0,8673,0.9884272813796997,0.0003,-23.531362533569336,11.738155364990234,0.508999994180536,32000,243,131
2,-44.38795182891705,20.500781498535396,-131.69257,-6.293038,73.73271889400921,15.0,133.0,-2.488070068359375,-8.387055,7.918097,-0.1527850799560547,-9.652018,8.124845,0.15278507769107819,7.152114391326904,-0.035296596586704254,-4.628718376159668,0.7403689026832581,0.001424252986907959,80.0,8673,1.0002248287200928,0.0002990033222591362,-23.968677520751953,11.815947532653809,0.5073421985260703,64000,864,152
3,-43.74541887156751,19.215694639553085,-113.58883,-5.311589,73.1395881006865,12.0,133.0,-2.13580126953125,-7.209538,4.801532,-0.06431265258789062,-4.664018,6.604331,0.0643126517534256,1.389488697052002,-0.013893038034439087,-0.7510886788368225,0.7370959520339966,0.001359946676529944,80.0,8673,1.0007338523864746,0.0002980066445182724,-23.942880630493164,11.65766716003418,0.5056843768217382,96000,1080,148
4,-44.401976419151374,23.988804997226396,-167.45694,-4.10692,73.36467889908256,13.0,166.0,-2.263634033203125,-5.951332,3.1307566,0.05181012725830078,-3.3629832,4.684552,-0.0518101304769516,0.6868083477020264,-0.008620530366897583,-0.285907506942749,0.7338122725486755,0.0011850001756101847,80.0,8673,1.0002102851867676,0.0002970099667774086,-24.235475540161133,12.06644058227539,0.5040265646673453,128000,1296,148
5,-45.14229585518648,23.690069767613718,-274.93808,-4.6466746,74.52447552447552,14.0,195.0,-1.9943360595703126,-5.122266,1.9946958,-0.0005010566711425781,-3.531157,4.2744346,0.0005010590539313853,0.4306162893772125,-0.006923207547515631,-0.16368956863880157,0.7305175065994263,0.0010684366570785642,80.0,8673,0.9989374876022339,0.00029601328903654483,-24.38064193725586,12.38733959197998,0.50236876760236,160000,1508,150
6,-46.807575924295776,26.171128436027047,-182.37932,-4.1661787,75.0469483568075,15.0,167.0,-2.08303515625,-4.4224734,1.5727178,0.028984365463256837,-2.3873668,3.159553,-0.028984365984797478,0.3102564811706543,-0.005578828975558281,-0.08223778009414673,0.7272123694419861,0.0010605358984321356,80.0,8673,1.000302791595459,0.00029501661129568106,-24.680706024169922,12.813920974731445,0.5007109615988222,192000,1714,155
7,-48.48452560240964,24.082956216388425,-164.98364,-4.965205,76.93975903614458,13.0,149.0,-2.0441351318359375,-3.9932358,0.682639,0.013654203414916992,-2.1845806,2.8244107,-0.013654203154146671,0.21907171607017517,-0.00432125199586153,-0.0405595526099205,0.7238959074020386,0.0009535049321129918,80.0,8673,1.0002524852752686,0.00029401993355481724,-24.976943969726562,12.932785987854004,0.4990531530460079,224000,1918,156
8,-47.04678351873536,23.45746592975109,-180.88155,-4.3930497,74.89461358313817,14.0,159.0,-2.0211490478515626,-3.604205,0.25700107,0.031575809478759764,-2.4070895,2.4627318,-0.03157581016421318,0.18625995516777039,-0.004198029637336731,-0.02026929147541523,0.7205685973167419,0.0008783496450632811,80.0,8673,1.0010647773742676,0.00029302325581395347,-25.105602264404297,12.991389274597168,0.4973953486081037,256000,2070,210
9,-47.49653911817102,25.502156887962286,-206.28554,-4.574996,75.8147268408551,14.0,156.0,-2.0075341796875,-3.3192742,0.20828904,0.01772313690185547,-2.4698088,2.1077008,-0.017723139375448227,0.1834355741739273,-0.004945797845721245,-0.013591925613582134,0.7172299027442932,0.0012504394399002194,80.0,8673,0.9987289309501648,0.0002920265780730897,-25.262371063232422,13.11266040802002,0.49573755522300433,288000,2222,210
10,-43.19814086644592,23.668745342130837,-159.9352,-4.5088735,70.47461368653421,15.0,158.0,-1.940054931640625,-3.2117436,0.17951828,0.04908248138427734,-2.0758317,2.0091383,-0.04908248409628868,0.18678046762943268,-0.004764921963214874,-0.01462068036198616,0.7138803005218506,0.0010906505631282926,80.0,8673,1.000388741493225,0.0002910299003322259,-25.222810745239258,13.113425254821777,0.49407972120219784,320000,2375,208
