Episode,disturbance_level,Steps,Returns
1,0.8,87,-140.98109279351354
2,1.9,110,-144.12205570932156
3,1.1,46,-125.72748464641711
4,1.5,83,-142.05842688920185
5,0.6,96,-165.41040833282247
6,0.4,75,-128.6926939210058
7,0.7,101,-136.79158047455206
8,1.5,63,-134.69599698528194
9,1.6,98,-141.31858186493915
10,0.1,55,-123.95458798139731
11,0.2,88,-155.43088612662794
12,0.9,73,-129.8834514288767
13,0.1,51,-115.83799602210273
14,0.1,69,-130.59651690682816
15,0.3,77,-137.7630277673511
16,0.2,75,-146.08618524005107
17,1.3,72,-142.20753863776702
18,0.2,100,-163.92638313530296
19,0.5,107,-173.96032836397927
20,0.4,80,-139.24194308304533
21,0.2,93,-142.1920086911801
22,0.9,72,-139.12412512315012
23,0.0,20,-107.06417122003184
24,0.5,83,-157.99293329538804
25,1.2,75,-148.2874131467455
26,0.2,75,-128.678395514475
27,0.1,71,-135.86322455449422
28,0.0,64,-124.36240392601083
29,0.9,68,-148.0225349127331
30,0.6,67,-129.8324928266365
31,0.1,63,-125.72255536496726
32,0.8,80,-129.5100215904153
33,1.9,67,-132.2163840682246
34,0.0,39,-112.46044699457026
35,0.5,58,-125.46103307237064
36,0.7,72,-132.13263840420342
37,0.6,81,-149.6903678340069
38,0.5,82,-152.81239465307596
39,1.0,78,-143.14651743115888
40,0.0,22,-105.5498069481166
41,1.2,78,-147.71394868989904
42,0.1,86,-142.2225993467527
43,0.5,85,-126.86610990576486
44,0.3,62,-126.9568549912707
45,1.1,57,-127.02746634508757
46,0.6,73,-131.72077481026218
47,1.5,78,-134.13505664564175
48,0.7,69,-138.77982538422808
49,0.4,63,-138.02667349932568
50,1.1,71,-145.45831489879595
51,0.3,105,-135.75472943735002
52,0.3,78,-141.54032597899797
53,0.3,76,-137.86826237688544
54,0.4,88,-141.8816323061139
55,0.7,68,-132.51680123518523
56,1.5,93,-181.48667614709802
57,0.4,73,-139.00125643800078
58,1.4,80,-132.77868168007032
59,0.7,68,-137.34861812425416
60,0.3,116,-157.53725294406266
61,0.0,31,-106.71019256893273
62,0.6,71,-142.21068627817823
63,0.2,76,-137.13388388499592
64,1.0,77,-135.90260737617854
65,1.0,89,-133.91282319467018
66,0.1,64,-135.62853505258477
67,0.8,70,-128.42571930249295
68,0.7,102,-156.83408280282904
69,0.2,109,-138.3009878108086
70,0.0,23,-106.15534161366813
71,1.0,74,-126.25361814238278
72,0.6,57,-126.40625170672149
73,0.1,62,-134.37724057407365
74,0.5,69,-139.26304560804266
75,0.5,72,-138.86712073516966
76,1.1,79,-126.37496757244439
77,0.4,76,-139.09792404928814
78,0.7,76,-140.06954821655336
79,1.6,79,-147.0627801496111
80,0.6,76,-136.09889434184808
81,0.4,68,-140.5210616312562
82,0.8,71,-127.89548240290372
83,1.7,93,-136.11743692662964
84,0.4,84,-137.2334758612857
85,1.2,81,-129.35261917189175
86,0.4,97,-170.8191030620456
87,0.4,74,-144.62159900415045
88,0.7,81,-136.72492326786886
89,0.3,80,-143.14380143079546
90,1.1,88,-132.05131365001807
91,1.0,70,-137.74367113904046
92,0.6,76,-130.604434173445
93,0.4,70,-147.3635025787323
94,2.0,70,-134.49089258090925
95,0.7,89,-143.8767029077524
96,1.9,127,-174.23709383160804
97,1.7,96,-143.52477152914201
98,0.5,166,-230.63090647245423
99,1.3,68,-130.81880615495683
100,0.4,78,-136.5584719514386
101,0.4,81,-125.59349647171722
102,0.0,36,-111.48478349481296
103,0.1,66,-126.65854085544291
104,1.3,99,-137.96733999020688
105,0.5,57,-132.20710268467727
106,0.1,79,-149.86997588767517
107,1.4,67,-129.9462686277753
108,0.2,76,-137.92631575025433
109,0.9,76,-138.36666748801187
110,0.7,72,-131.45347736052594
111,0.1,88,-128.82144637545713
112,0.6,59,-131.47547609621796
113,0.0,39,-109.72457981539318
114,1.6,75,-144.22474544380623
