Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-108.7470814519962,6.352541951119405,-159.19594,-100.695045,30.381178707224336,9.0,89.0,-0.04544493103027344,-0.4448111,0.28775704,-7.319736328125,-19.1684,-0.41427803,7.319736957550049,57.62165451049805,-0.10793399810791016,-33.924400329589844,0.7436313033103943,0.0015970582608133554,80.0,44165,0.9851594567298889,0.0003,-90.28070068359375,7.652882099151611,0.508999994180536,32000,27,1147
2,-108.68411234479466,6.1777727245117315,-168.81305,-101.17274,30.50429799426934,13.0,84.0,-2.001538818359375,-8.023289,7.4511867,-3.926531494140625,-16.63087,4.2345867,3.9265313148498535,26.100500106811523,-0.11316490173339844,-17.713083267211914,0.740358293056488,0.002388252876698971,80.0,44165,0.9809339642524719,0.000299,-90.17546081542969,7.816615104675293,0.5073366646451225,64000,55,1167
3,-108.60843301435406,6.247681687258964,-146.90881,-100.85286,30.608612440191386,11.0,89.0,-5.90111376953125,-9.670169,3.9063418,-1.9154119873046875,-9.490946,1.660332,1.9154118299484253,5.40669059753418,-0.04026520252227783,-4.176310062408447,0.7370739579200745,0.0018512008246034384,80.0,44165,0.9854540228843689,0.000298,-90.13922119140625,7.702620506286621,0.5056733452856872,96000,82,1168
4,-109.30556866817724,6.692215352032227,-155.20915,-100.94618,32.210473313192345,13.0,86.0,-7.815849609375,-10.4072275,-1.6482588,-0.7965252685546875,-5.638051,1.7308755,0.796525239944458,1.2042109966278076,-0.018085837364196777,-0.8437595963478088,0.73377925157547,0.002103497041389346,80.0,44165,0.9890626668930054,0.00029699999999999996,-90.05144500732422,7.702370643615723,0.504010011618452,128000,109,1177
5,-109.7671562170706,6.95800902706035,-151.33377,-100.75006,33.68493150684932,12.0,87.0,-8.59645703125,-10.612868,-5.2569175,-0.2981727294921875,-3.316336,1.3427444,0.2981727421283722,0.31623023748397827,-0.008147269487380981,-0.14929810166358948,0.7304736375808716,0.0017235752893611789,80.0,44165,0.993502676486969,0.000296,-89.89702606201172,7.825459957122803,0.5023466697765746,160000,137,1179
6,-110.58905905077263,7.695517656258901,-158.17256,-100.528046,35.303532008830025,12.0,93.0,-8.891365234375,-10.581199,-7.0102053,-0.09705656433105468,-2.6802592,1.2153331,0.0970565676689148,0.15295825898647308,-0.004899702966213226,-0.028595659881830215,0.7271569967269897,0.0014687515795230865,80.0,44165,0.9966450333595276,0.00029499999999999996,-89.7736587524414,7.902834415435791,0.5006833261702077,192000,164,1182
7,-111.8763440860215,7.889478580647281,-145.00159,-101.681816,38.209080047789726,13.0,91.0,-8.99969921875,-10.578295,-7.218155,-0.005696123600006104,-1.6711907,1.3101956,0.00569612393155694,0.11714443564414978,-0.0038614568766206503,-0.004878089297562838,0.7238293290138245,0.001345679396763444,80.0,44165,0.9991203546524048,0.000294,-89.61537170410156,8.027791976928711,0.4990199874853069,224000,191,1179
8,-112.556728515625,8.497818539006055,-154.00705,-101.21241,39.96,12.0,112.0,-9.030685546875,-10.498533,-7.2879486,0.037940467834472656,-1.7205788,1.1396763,-0.03794046863913536,0.11901471018791199,-0.004356246441602707,-0.005772226490080357,0.720490574836731,0.0013062473153695464,80.0,44165,0.9988842606544495,0.00029299999999999997,-89.4503173828125,8.191729545593262,0.4973566606824231,256000,218,1189
9,-113.85482973284961,9.004740991456611,-150.94193,-101.32351,42.1688654353562,13.0,97.0,-9.0050166015625,-10.44025,-7.050788,0.03565050888061523,-1.6190467,1.0465479,-0.03565051034092903,0.1124458760023117,-0.0045088306069374084,-0.0048302276991307735,0.7171405553817749,0.0014175110263749957,80.0,44165,0.9995498657226562,0.000292,-89.30325317382812,8.351895332336426,0.4956933234498547,288000,245,1187
10,-115.57821571117562,10.056128762570859,-170.37144,-100.796326,46.39622641509434,12.0,103.0,-8.9796376953125,-10.458361,-7.1184425,0.0645556640625,-2.037599,1.1837918,-0.06455566734075546,0.1154588833451271,-0.004632443189620972,-0.009445534087717533,0.7137795686721802,0.0014040066162124276,80.0,44165,1.0001168251037598,0.00029099999999999997,-89.11519622802734,8.552842140197754,0.49403001303756583,320000,272,1177
