Episode,disturbance_level,Steps,Returns
1,0.0,24,-104.13890760746142
2,0.0,21,-106.38711077857472
3,0.0,31,-107.01029615973647
4,0.0,16,-104.20617034159498
5,0.0,57,-132.39078521860674
6,0.0,84,-139.79499302262036
7,0.0,25,-104.25834953022522
8,0.0,40,-110.08926918143727
9,0.0,27,-109.42108877097434
10,0.0,23,-107.49175908270156
11,0.0,76,-147.38946568044543
12,0.0,23,-103.71493173790266
13,0.0,30,-107.27096653055278
14,0.0,36,-107.37383959065018
15,0.0,49,-106.1379960025474
16,0.0,39,-104.67615826607019
17,0.0,31,-109.77083019361645
18,0.0,17,-101.37940182598814
19,0.0,21,-107.05464691253748
20,0.0,39,-109.56282011594709
21,0.0,27,-110.74908006502505
22,0.0,30,-106.40395682529632
23,0.0,57,-135.40415221020018
24,0.0,21,-108.32867061178958
25,0.0,23,-102.94106060714499
26,0.0,23,-101.33933454550878
27,0.0,32,-114.13827387863986
28,0.0,18,-107.03955223111379
29,0.0,23,-107.72074158511154
30,0.0,28,-105.52701922795328
31,0.0,22,-106.539648234978
32,0.0,51,-115.01542241402619
33,0.0,27,-107.96640054234193
34,0.0,23,-108.43079801829501
35,0.0,21,-104.1958599939237
36,0.0,28,-109.17848034565644
37,0.0,35,-109.54939682367936
38,0.0,48,-114.44243582585962
39,0.0,29,-105.30534123832739
40,0.0,25,-107.4105441680351
41,0.0,24,-103.71166391721621
42,0.0,21,-105.42887101382146
43,0.0,43,-113.43863306086615
44,0.0,26,-107.60735022254487
45,0.0,42,-113.16440766502885
46,0.0,34,-107.99132662447414
47,0.0,34,-106.91998823126545
48,0.0,72,-126.6770330552341
49,0.0,34,-103.49218961145972
50,0.0,30,-106.27799142522073
51,0.0,28,-107.87689494912736
52,0.0,26,-104.74184983785872
53,0.0,36,-111.73343485610027
54,0.0,58,-122.3026927191815
55,0.0,28,-105.57328324182913
56,0.0,40,-112.45871340615686
57,0.0,46,-108.70619457014007
58,0.0,51,-119.70140570517762
59,0.0,35,-105.96185619331357
60,0.0,41,-109.6297496231015
61,0.0,21,-103.85470400229222
62,0.0,21,-104.78222144786213
63,0.0,42,-115.36657236237801
64,0.0,18,-105.52016012254023
65,0.0,31,-107.32953095703199
66,0.0,16,-102.01647937973335
67,0.0,18,-106.03133779138251
68,0.0,59,-124.05600978639539
69,0.0,33,-111.01457778535394
70,0.0,22,-106.94395912946591
71,0.0,27,-104.3403654448013
72,0.0,24,-105.74138652426967
73,0.0,38,-109.97382891420668
74,0.0,14,-104.44607067415427
75,0.0,23,-103.41603153464257
76,0.0,28,-104.19172945216845
77,0.0,30,-104.51800553854983
78,0.0,35,-111.09091836481609
79,0.0,32,-109.30422609047999
80,0.0,41,-110.15735741479983
81,0.0,24,-106.94570866044582
82,0.0,23,-106.14068155876836
83,0.0,22,-107.41467665829204
84,0.0,22,-105.26726520216984
85,0.0,42,-116.6300702340781
86,0.0,19,-102.50056610608776
87,0.0,30,-110.82703935253379
88,0.0,29,-106.01258090659653
89,0.0,21,-105.24820557762219
90,0.0,19,-107.71601546953343
91,0.0,33,-104.57615213825838
92,0.0,31,-107.99467101420997
93,0.0,16,-103.2337912723744
94,0.0,28,-106.07690457713426
95,0.0,19,-104.59948988829262
96,0.0,36,-110.76467023835318
97,0.0,58,-121.04019309712918
98,0.0,53,-122.54816056558077
99,0.0,20,-105.69685804548345
100,0.0,30,-108.13350182784484
101,0.0,27,-106.10985061433298
102,0.0,27,-105.10281074016471
103,0.0,42,-108.32225882703924
104,0.0,67,-144.58322401712965
105,0.0,50,-110.52758194178296
106,0.0,29,-101.6791059385556
107,0.0,39,-112.89555966596353
108,0.0,27,-103.47030979180296
109,0.0,32,-110.09027659711353
110,0.0,30,-104.34053458593958
111,0.0,20,-103.8645147790664
112,0.0,26,-108.13364741362942
113,0.0,16,-104.56963066782589
114,0.0,35,-111.43961423168649
115,0.0,54,-117.44671845987891
116,0.0,21,-106.15703059728591
117,0.0,36,-108.14500900986017
118,0.0,22,-106.33521904184998
119,0.0,38,-108.27049341830045
120,0.0,23,-106.90377406155243
121,0.0,88,-155.95356242813568
122,0.0,54,-128.21524175737707
123,0.0,18,-104.47851839741486
124,0.0,34,-113.51499990181921
125,0.0,24,-101.95714561178687
126,0.0,25,-108.31520469007155
127,0.0,17,-106.02880123808869
128,0.0,26,-107.13301387339312
129,0.0,21,-107.96599748249034
130,0.0,65,-128.60054973508852
131,0.0,18,-104.37044386367312
132,0.0,24,-108.78494807840156
133,0.0,39,-119.48022368157994
134,0.0,20,-106.1633107993527
135,0.0,57,-129.9322696184972
136,0.0,27,-106.27874640235362
137,0.0,27,-103.86790554711607
138,0.0,41,-104.31039394734375
139,0.0,18,-104.93475781949941
140,0.0,46,-109.61599688638537
141,0.0,33,-112.75554001015517
142,0.0,28,-108.1299339895047
143,0.0,45,-109.713749426946
