Episode,disturbance_level,Steps,Returns
1,1.5,69,-1022.4351419139406
2,1.5,88,-1029.8315807028064
3,1.5,88,-1029.8923228396975
4,1.5,100,-1033.3624154025758
5,1.5,63,-1029.3786021273484
6,1.5,69,-1023.4254771706874
7,1.5,60,-1023.3944566046291
8,1.5,70,-1027.1714291699543
9,1.5,63,-1019.8388297166581
10,1.5,107,-1037.8659662210416
11,1.5,82,-1027.3023344236221
12,1.5,127,-1040.7889471195572
13,1.5,96,-1031.0852271321087
14,1.5,109,-1035.8806299308783
15,1.5,90,-1030.644295183764
16,1.5,72,-1029.201153060589
17,1.5,99,-1032.1294346051648
18,1.5,106,-1047.8773943687913
19,1.5,70,-1028.1314943262907
20,1.5,120,-1038.1413070981905
21,1.5,74,-1027.6137770841356
22,1.5,84,-1028.3060414452004
23,1.5,98,-1045.5048575186802
24,1.5,68,-1027.1370004117693
25,1.5,101,-1033.5641241305418
26,1.5,82,-1027.7501224739378
27,1.5,93,-1036.3450049783185
28,1.5,83,-1027.6874522748117
29,1.5,76,-1024.8629692852332
30,1.5,77,-1029.9858715713322
31,1.5,65,-1022.871894513388
32,1.5,87,-1028.9834276334188
33,1.5,84,-1027.2331986887616
34,1.5,81,-1027.0024217980647
35,1.5,80,-1026.6817145936002
36,1.5,82,-1032.3366573787314
37,1.5,89,-1045.6865437993013
38,1.5,80,-1028.0643578151808
39,1.5,104,-1034.5059744656778
40,1.5,57,-1029.0642820878468
41,1.5,69,-1022.6909174051124
42,1.5,70,-1029.591578933894
43,1.5,73,-1038.0657626789507
44,1.5,72,-1024.8096940110463
45,1.5,73,-1023.9709012500607
46,1.5,68,-1029.2683957024972
47,1.5,120,-1035.3196618947675
48,1.5,68,-1025.9817495497578
49,1.5,94,-1030.4066891350492
50,1.5,79,-1035.8601808398635
51,1.5,101,-1032.427990227098
52,1.5,103,-1031.7794511738114
53,1.5,82,-1024.641708793175
54,1.5,65,-1025.340740566222
55,1.5,88,-1029.6590869494075
56,1.5,71,-1022.4840181424777
57,1.5,98,-1032.2864500988221
58,1.5,75,-1025.8859993179083
59,1.5,98,-1043.408222175486
60,1.5,100,-1030.527033789215
61,1.5,78,-1024.6577372355407
62,1.5,82,-1035.9785957265
63,1.5,91,-1039.970543623926
64,1.5,58,-1028.624171294749
65,1.5,65,-1024.3491917169706
66,1.5,80,-1037.4720124206735
67,1.5,82,-1026.0701835231157
68,1.5,105,-1032.7091043639634
69,1.5,111,-1036.1455723049858
70,1.5,119,-1044.013934088696
71,1.5,91,-1033.991906852408
72,1.5,85,-1027.2545534973146
73,1.5,71,-1027.0033575524803
74,1.5,114,-1042.9073623969562
75,1.5,153,-1052.4911251330007
76,1.5,69,-1031.5785074382263
77,1.5,84,-1028.3060180830953
78,1.5,146,-1040.2059559930563
79,1.5,86,-1034.758439531909
80,1.5,84,-1031.7556390355564
81,1.5,85,-1027.1616465067336
82,1.5,77,-1022.8639023184103
83,1.5,62,-1027.3066161155698
84,1.5,100,-1039.112531751542
85,1.5,83,-1040.9928946884606
86,1.5,66,-1030.584347755242
87,1.5,95,-1029.7259990047871
88,1.5,65,-1023.6724121697705
89,1.5,87,-1027.4339629396266
90,1.5,89,-1034.7251747246257
91,1.5,145,-1053.9760076817556
92,1.5,79,-1026.8859042570957
93,1.5,75,-1038.4133713039998
94,1.5,114,-1033.9907679757832
95,1.5,89,-1038.1636727432024
96,1.5,65,-1025.9800482840958
97,1.5,88,-1043.0668878811387
98,1.5,80,-1035.6861304837657
99,1.5,121,-1041.179460530934
100,1.5,120,-1043.2891641355811
101,1.5,83,-1027.0328255333425
102,1.5,78,-1028.1129789779231
103,1.5,85,-1026.8520271240138
104,1.5,90,-1038.323590503846
105,1.5,73,-1034.649095030889
106,1.5,61,-1029.7684158539528
107,1.5,66,-1027.6702263407171
108,1.5,78,-1023.5710925128517
109,1.5,67,-1031.8563780946913
110,1.5,83,-1025.2061223138571
111,1.5,66,-1028.0614611361198
112,1.5,71,-1024.4828015923779
113,1.5,87,-1029.127229886906
114,1.5,67,-1029.676406189529
115,1.5,69,-1022.1101298201502
116,1.5,68,-1030.7876499303197
117,1.5,101,-1030.94875650048
118,1.5,93,-1038.562750089196
119,1.5,96,-1034.4052672502617
120,1.5,68,-1028.9014827253484
121,1.5,76,-1023.7806229713783
122,1.5,81,-1036.960463927291
123,1.5,83,-1026.6114907305075
124,1.5,77,-1035.3183757952615
125,1.5,62,-1030.040178333454
126,1.5,59,-1027.4259501024164
127,1.5,83,-1026.5116838774004
128,1.5,83,-1028.1924287776094
129,1.5,69,-1023.013265829848
130,1.5,94,-1030.7057840157781
131,1.5,75,-1026.4839668125933
132,1.5,61,-1028.391729464618
133,1.5,91,-1032.2851900960188
134,1.5,92,-1030.1352016695994
135,1.5,78,-1025.906575366602
136,1.5,63,-1023.1181196736851
137,1.5,58,-1027.5242502399612
138,1.5,78,-1027.1655003227454
139,1.5,68,-1030.6109790298667
140,1.5,93,-1045.4944859764123
141,1.5,84,-1039.2781245100884
142,1.5,80,-1028.1821030088274
143,1.5,84,-1031.3610992165895
144,1.5,76,-1025.8255026075192
145,1.5,68,-1024.3084383079918
146,1.5,84,-1024.9201038836864
147,1.5,93,-1044.232409108315
148,1.5,83,-1027.0861124787573
149,1.5,66,-1019.9160441325145
150,1.5,56,-1010.9631078849076
151,1.5,98,-1042.8675964958652
152,1.5,77,-1023.4827876991204
153,1.5,91,-1027.1603803319285
154,1.5,70,-1027.7289061393974
155,1.5,64,-1031.9573254507584
156,1.5,96,-1030.8063538458653
157,1.5,67,-1023.9683351170934
158,1.5,67,-1024.4277292118109
159,1.5,96,-1029.219870557153
160,1.5,81,-1034.834094521349
161,1.5,93,-1035.2272332989667
162,1.5,140,-1052.3978478805923
163,1.5,71,-1029.0934455437664
164,1.5,101,-1032.8846567008643
165,1.5,83,-1029.188558612665
166,1.5,92,-1030.506906611326
167,1.5,77,-1031.074307011576
168,1.5,80,-1038.3610586007942
169,1.5,90,-1041.5900992798397
170,1.5,107,-1033.8241680795577
171,1.5,74,-1033.3433579483606
172,1.5,71,-1021.7626134780755
173,1.5,79,-1033.729482979191
174,1.5,70,-1024.2659192161973
175,1.5,64,-1022.5204112929708
176,1.5,87,-1027.1270310933576
177,1.5,74,-1025.710524509909
