Episode,disturbance_level,Steps,Returns
1,1.1,116,-1035.0601151940311
2,0.3,81,-1023.814815272341
3,1.2,156,-1043.1859385142693
4,0.6,86,-1027.9208946631793
5,0.6,109,-1034.8617946097766
6,0.0,21,-1005.6533892067617
7,1.5,76,-1033.413972169476
8,1.8,88,-1041.1225782326317
9,0.9,77,-1034.3965582561418
10,1.0,92,-1031.4306389280086
11,1.4,89,-1027.9118349239825
12,0.6,73,-1022.5804284874573
13,0.2,86,-1025.3380667035472
14,0.9,61,-1021.8281167217241
15,0.4,104,-1045.1543128935746
16,0.0,44,-1005.8732732864368
17,0.4,89,-1024.3771450706845
18,0.0,27,-1005.0708883306148
19,1.0,138,-1042.1808096612272
20,0.8,147,-1047.0396279059275
21,0.6,74,-1028.6652308535595
22,0.4,144,-1045.73268672938
23,0.9,63,-1026.0788657658695
24,1.8,89,-1027.3493683581871
25,0.4,98,-1033.87158233203
26,0.1,65,-1021.3301453559462
27,1.1,97,-1030.053178893005
28,0.7,88,-1027.3481004863809
29,2.0,64,-1023.5719283068781
30,0.8,61,-1026.3717766203085
31,0.1,33,-1007.3179004573512
32,0.2,54,-1005.4293693334319
33,0.1,53,-1008.6807864520998
34,0.3,84,-1026.5751098870107
35,0.1,60,-1011.528221735476
36,0.6,93,-1029.7448472107399
37,2.0,82,-1033.7433323844787
38,0.4,84,-1035.682792619467
39,0.3,78,-1024.243995823393
40,0.2,86,-1016.8734352578738
41,0.3,71,-1024.558812714079
42,0.7,110,-1034.8260544446252
43,1.0,72,-1031.592985538776
44,0.8,90,-1031.943113693186
45,0.1,65,-1011.0810367856526
46,0.0,16,-1003.0523899714201
47,0.6,78,-1028.0729089690985
48,0.1,23,-1006.4109210568432
49,0.3,107,-1031.0938906917543
50,1.6,64,-1022.0969651068943
51,0.4,81,-1024.7685591137079
52,0.7,85,-1025.4809187926412
53,0.2,75,-1020.9918271817188
54,1.3,83,-1024.764106587915
55,1.6,82,-1027.185191574502
56,1.9,140,-1051.4254662567494
57,0.3,80,-1023.8876842379996
58,0.5,87,-1036.4903579387799
59,0.1,48,-1009.3006590214325
60,0.0,30,-1003.3781352462366
