Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1527.3777839643653,188.007623169143,-2568.4934,-1117.496,71.07572383073497,14.0,138.0,-0.031419082641601564,-0.5570487,0.70541143,-98.454078125,-167.18248,-9.45703,98.45407104492188,10722.3134765625,-1.5061111450195312,-872.5179443359375,0.7436313033103943,0.0016622375696897507,80.0,15476,0.9845171570777893,0.0003,-957.3423461914062,90.62287139892578,0.508999994180536,32000,280,113
2,-1523.485801781737,189.51578787269065,-2057.1182,-1119.0635,71.21380846325167,16.0,132.0,-1.71644970703125,-9.531094,9.530152,-3.147745361328125,-19.404003,9.306057,3.147745132446289,26.958032608032227,-0.06038069725036621,-6.176811218261719,0.7403689026832581,0.0017069062450900674,80.0,15476,0.9945936799049377,0.0002990033222591362,-954.672607421875,89.1627426147461,0.5073421985260703,64000,920,131
3,-1526.8747159090908,170.68620197735535,-2029.578,-1149.0935,72.61590909090908,18.0,123.0,-2.98290087890625,-10.155514,10.067313,-2.73916015625,-19.818733,5.7264514,2.7391600608825684,17.68025779724121,-0.046585798263549805,-7.015581130981445,0.7370959520339966,0.001649239333346486,80.0,15476,0.9938883781433105,0.0002980066445182724,-952.4547729492188,89.9786148071289,0.5056843768217382,96000,1148,140
4,-1520.4247093023255,170.9205990007954,-1947.8977,-1142.234,74.20697674418605,15.0,132.0,-4.05887890625,-9.948328,9.431488,-2.219038818359375,-15.514965,3.668048,2.219038724899292,9.809718132019043,-0.032335519790649414,-4.136723518371582,0.7338122725486755,0.0014299819013103843,80.0,15476,0.992928683757782,0.0002970099667774086,-948.3112182617188,92.72481536865234,0.5040265646673453,128000,1367,145
5,-1517.688679245283,199.58254782476953,-2748.9753,-1130.3915,75.37735849056604,17.0,200.0,-4.9755341796875,-9.81712,7.5736837,-1.7526748046875,-14.410713,2.8805952,1.75267493724823,6.04414176940918,-0.02597522735595703,-2.6684257984161377,0.7305175065994263,0.0016011467669159174,80.0,15476,0.9925497174263,0.00029601328903654483,-944.7793579101562,94.34725952148438,0.50236876760236,160000,1602,136
6,-1516.8797505938242,205.93832529237494,-2791.8696,-1117.1903,76.0,15.0,193.0,-6.0892373046875,-9.871462,5.861382,-1.25908203125,-13.542086,1.8621178,1.2590821981430054,3.5163381099700928,-0.01645183563232422,-1.4832289218902588,0.7272123694419861,0.001182367792353034,80.0,15476,0.9942584037780762,0.00029501661129568106,-941.6624755859375,95.54019927978516,0.5007109615988222,192000,1817,148
7,-1522.4997002398081,188.49826822096313,-2148.3455,-1136.1771,76.61151079136691,16.0,153.0,-6.9322060546875,-9.833952,3.6599004,-0.8995400390625,-13.090671,1.630694,0.8995400071144104,1.992545247077942,-0.011999130249023438,-0.758614182472229,0.7238959074020386,0.0010722405277192593,80.0,15476,0.9942393898963928,0.00029401993355481724,-939.0447387695312,97.6627197265625,0.4990531530460079,224000,2125,103
8,-1507.34257629108,185.34328637103883,-2273.0266,-1131.0715,75.11032863849765,14.0,186.0,-7.36382470703125,-9.974873,-0.26314986,-0.7255248413085937,-6.4383936,1.4076319,0.7255248427391052,1.2943847179412842,-0.00941920280456543,-0.5054572224617004,0.7205685973167419,0.001242043450474739,80.0,15476,0.9944537281990051,0.00029302325581395347,-937.1099853515625,97.91183471679688,0.4973953486081037,256000,2368,131
9,-1535.6899813895782,207.38990023528865,-2268.5212,-1133.6509,79.24565756823822,18.0,185.0,-7.7992880859375,-10.134614,-0.3295597,-0.5126270751953125,-9.005315,1.3870151,0.5126270651817322,0.7813355922698975,-0.0065405964851379395,-0.25816473364830017,0.7172299027442932,0.000992880086414516,80.0,15476,0.9955936074256897,0.0002920265780730897,-935.1279907226562,98.9307632446289,0.49573755522300433,288000,2672,105
10,-1570.735488126649,201.05545382931516,-2364.7048,-1157.5966,84.24802110817942,18.0,242.0,-8.0204228515625,-10.152456,-3.0423276,-0.39279913330078126,-4.099135,1.2099073,0.39279913902282715,0.5200936794281006,-0.0049791038036346436,-0.1459783911705017,0.7138803005218506,0.0009779895190149546,80.0,15476,0.9965845942497253,0.0002910299003322259,-933.232421875,100.2262954711914,0.49407972120219784,320000,2916,131
