Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1005.2209903917221,2.771648374978919,-1031.9906,-1001.27057,23.645232815964523,10.0,75.0,-0.11837925720214844,-0.58155376,0.5839681,-7.0776943359375,-11.404512,-0.3849408,7.077694416046143,52.977989196777344,-0.0898890495300293,-34.82703399658203,0.7436313033103943,0.0014760433696210384,80.0,64287,0.9865791201591492,0.0003,-887.7902221679688,77.79151153564453,0.508999994180536,32000,26,1202
2,-1006.2445367132867,4.014500298265912,-1035.0762,-1001.3335,27.97027972027972,12.0,89.0,-1.1253348388671875,-7.904876,7.752486,-4.4403115234375,-17.257183,5.250878,4.440311908721924,29.544147491455078,-0.11379575729370117,-20.441316604614258,0.7403689026832581,0.002392834285274148,80.0,64287,0.9825093746185303,0.0002990033222591362,-876.5999145507812,87.2967758178711,0.5073421985260703,64000,177,1136
3,-1006.3724307417336,4.251558682268857,-1033.7703,-1001.3095,28.59159964253798,13.0,87.0,-5.37960302734375,-9.349459,2.7852669,-2.0210103759765623,-10.351083,1.7813529,2.021010398864746,5.937926769256592,-0.04127609729766846,-4.539827346801758,0.7370959520339966,0.0019709356129169464,80.0,64287,0.9862030148506165,0.0002980066445182724,-871.8921508789062,90.68006896972656,0.5056843768217382,96000,205,1137
4,-1006.8880952380953,4.640548189600017,-1033.813,-1001.26514,30.437142857142856,11.0,85.0,-7.41691357421875,-10.305448,-1.737203,-0.7265825805664062,-6.476372,1.9900551,0.7265825271606445,1.235164761543274,-0.017065107822418213,-0.744347870349884,0.7338122725486755,0.001974216429516673,80.0,64287,0.9921401143074036,0.0002970099667774086,-867.1116333007812,95.14691162109375,0.5040265646673453,128000,233,1133
5,-1007.5302684903749,5.455558975351285,-1036.1085,-1001.3491,32.41033434650456,12.0,91.0,-8.0944091796875,-10.252078,-3.724787,-0.22064117431640626,-5.3401294,1.7165679,0.22064119577407837,0.5126745700836182,-0.011496573686599731,-0.13412874937057495,0.7305175065994263,0.001935398206114769,80.0,64287,0.9962509274482727,0.00029601328903654483,-862.2902221679688,99.10701751708984,0.50236876760236,160000,262,1135
6,-1008.3282107574095,6.131260941271956,-1035.7107,-1001.15186,35.10428100987925,12.0,110.0,-8.3286201171875,-10.143098,-5.2992015,0.005168272972106934,-3.0554657,1.7371497,-0.0051682754419744015,0.37616097927093506,-0.009875331073999405,-0.022020692005753517,0.7272123694419861,0.001751238713040948,80.0,64287,0.998290479183197,0.00029501661129568106,-856.948974609375,103.7278060913086,0.5007109615988222,192000,290,1138
7,-1009.3112440898345,6.707796097050799,-1038.1083,-1001.73694,37.78486997635934,13.0,99.0,-8.31440234375,-10.037621,-5.6211805,0.2069646911621094,-2.9191985,1.6277118,-0.2069646716117859,0.3475548028945923,-0.008374452590942383,-0.05770429968833923,0.7238959074020386,0.0014659937005490065,80.0,64287,1.0029058456420898,0.00029401993355481724,-851.6428833007812,108.1640625,0.4990531530460079,224000,318,1137
8,-1010.6544642857143,7.555587427849018,-1037.2046,-1001.3371,41.53506493506494,13.0,120.0,-8.1477978515625,-9.800547,-5.507875,0.3457697448730469,-2.4586394,1.6207625,-0.3457697629928589,0.3834601938724518,-0.00956052541732788,-0.12584342062473297,0.7205685973167419,0.0015379529213532805,80.0,64287,1.0068122148513794,0.00029302325581395347,-845.6278686523438,113.47808837890625,0.4973953486081037,256000,346,1142
9,-1011.5612980769231,8.005544564597432,-1038.8904,-1001.61224,43.95467032967033,13.0,114.0,-7.8074814453125,-9.233372,-5.547333,0.39146688842773436,-1.9869391,1.4821602,-0.3914669156074524,0.3683502972126007,-0.008957624435424805,-0.1486981362104416,0.7172299027442932,0.0014443862019106746,80.0,64287,1.0072109699249268,0.0002920265780730897,-839.9273071289062,118.09554290771484,0.49573755522300433,288000,374,1159
10,-1013.2219079939669,9.042081525329712,-1045.7484,-1001.35205,48.21870286576169,13.0,116.0,-7.422048828125,-8.881434,-5.7910995,0.3949552001953125,-1.5288754,1.3527569,-0.3949551582336426,0.35342103242874146,-0.009051024913787842,-0.15016968548297882,0.7138803005218506,0.0015403733123093843,80.0,64287,1.008987545967102,0.0002910299003322259,-833.5736083984375,123.9748764038086,0.49407972120219784,320000,400,1205
11,-1015.8204180743244,9.233654351196218,-1037.8059,-1002.022,54.054054054054056,16.0,133.0,-7.063337890625,-8.572065,-5.321318,0.41921417236328123,-7.9801035,1.4135835,-0.4192140996456146,0.3542385399341583,-0.009425967931747437,-0.1671849489212036,0.7105190753936768,0.001398189109750092,80.0,64287,1.0110077857971191,0.0002900332225913621,-826.986572265625,129.48094177246094,0.4924219133214656,352000,427,1209
12,-1017.5048510830325,9.285167530988327,-1042.7056,-1001.4307,57.6985559566787,16.0,124.0,-6.6702490234375,-8.25168,-4.8922033,0.38999609375,-1.7329168,1.4286263,-0.3899960517883301,0.29248929023742676,-0.008673638105392456,-0.14555798470973969,0.7071467041969299,0.001431949669495225,80.0,64287,1.0108327865600586,0.0002890365448504983,-820.5613403320312,134.82595825195312,0.4907641100806215,384000,453,1206
13,-1020.0296999007936,9.57619347772472,-1050.2758,-1001.7489,63.367063492063494,15.0,131.0,-6.27343115234375,-7.964905,-4.5288634,0.3623758544921875,-1.7473847,1.1612598,-0.36237582564353943,0.24702352285385132,-0.007256925106048584,-0.12758146226406097,0.7037631273269653,0.0013088724808767438,80.0,64287,1.0105981826782227,0.0002880398671096345,-813.989013671875,140.30589294433594,0.4891063197964703,416000,480,1208
14,-1022.4103811300639,9.43808907140791,-1051.1548,-1002.12683,68.21748400852879,17.0,130.0,-5.9030341796875,-7.7966394,-4.143063,0.3217597351074219,-1.6892227,1.1382843,-0.32175973057746887,0.1989932805299759,-0.006901562213897705,-0.10114265978336334,0.70036780834198,0.0013674907386302948,80.0,64287,1.009865403175354,0.00028704318936877073,-807.48876953125,145.48805236816406,0.4874484929448711,448000,506,1213
15,-1023.6338390868597,9.302186614304707,-1051.691,-1001.8434,71.2249443207127,20.0,143.0,-5.58803271484375,-7.32127,-3.4673245,0.2833260498046875,-1.7190557,1.1690701,-0.28332605957984924,0.16145861148834229,-0.006395846605300903,-0.07910440862178802,0.696960985660553,0.0013682787539437413,80.0,64287,1.0102394819259644,0.00028604651162790696,-801.3052368164062,150.2615509033203,0.4857906968798545,480000,532,1220
16,-1025.4932553956835,8.407016220105675,-1047.113,-1002.9438,76.55395683453237,16.0,171.0,-5.2722470703125,-7.258228,-3.3253975,0.25326206970214843,-1.691629,1.0469149,-0.25326207280158997,0.1335124522447586,-0.0058776140213012695,-0.06569358706474304,0.6935425400733948,0.0013861043844372034,80.0,64287,1.00969660282135,0.0002850498338870432,-794.9290771484375,155.49058532714844,0.4841328830034904,512000,559,1211
17,-1027.4980818414322,8.642079141583128,-1052.8995,-1001.6704,81.71867007672634,18.0,156.0,-4.977333984375,-6.8373055,-3.0699158,0.22582980346679687,-1.7518449,1.1486092,-0.2258298397064209,0.10415249317884445,-0.005034118890762329,-0.0509902685880661,0.6901123523712158,0.0013818683801218867,80.0,64287,1.010111689567566,0.00028405315614617936,-788.55908203125,160.69207763671875,0.4824750900450982,544000,585,1223
18,-1029.7393353174602,8.377607770875423,-1077.8972,-1003.9385,84.57142857142857,17.0,177.0,-4.74639404296875,-6.712531,-2.7558565,0.20215882873535157,-1.9498386,1.1112484,-0.2021588236093521,0.08316217362880707,-0.0044679343700408936,-0.04101920872926712,0.6866704225540161,0.0014266762882471085,80.0,64287,1.0090019702911377,0.0002830564784053156,-782.4849243164062,165.46534729003906,0.48081727062403695,576000,611,1227
19,-1031.1168592436975,8.20025480833179,-1055.9576,-1003.0108,89.48179271708683,19.0,178.0,-4.49780859375,-6.6418986,-2.3549285,0.17997744750976563,-1.7386184,1.3435577,-0.1799774467945099,0.06946738064289093,-0.003958866000175476,-0.03319713473320007,0.6832167506217957,0.0013623085105791688,80.0,64287,1.0087708234786987,0.0002820598006644518,-776.384033203125,170.3123016357422,0.47915946409130233,608000,637,1224
20,-1032.6363304093568,8.774053847834969,-1086.6676,-1008.42267,93.51169590643275,26.0,254.0,-4.2730849609375,-6.5670724,-1.1277157,0.15785783386230468,-2.6849504,1.3442354,-0.15785783529281616,0.06632611155509949,-0.0041663795709609985,-0.028998341411352158,0.6797507405281067,0.0014171262737363577,80.0,64287,1.0080269575119019,0.00028106312292358805,-770.3282470703125,175.22023010253906,0.4775016527393509,640000,663,1222
21,-1034.7926311728395,8.55894044354812,-1090.557,-1011.4419,98.58024691358025,52.0,242.0,-4.08300537109375,-6.395567,-2.0989375,0.1516791534423828,-1.5734892,1.2469175,-0.1516791582107544,0.05098005011677742,-0.003688246011734009,-0.023248810321092606,0.676272988319397,0.0014638067223131657,80.0,64287,1.010209560394287,0.0002800664451827242,-764.1690673828125,180.42678833007812,0.4758438478763265,672000,690,1226
22,-1036.534043874172,9.840337958538061,-1099.6045,-1021.24695,105.78807947019868,59.0,244.0,-3.86208984375,-6.274972,-1.9459883,0.1430585632324219,-1.2328606,1.2710446,-0.14305856823921204,0.047687824815511703,-0.0034187138080596924,-0.020844699814915657,0.6727829575538635,0.0014142696745693684,80.0,64287,1.0080995559692383,0.00027906976744186045,-757.7135620117188,186.19883728027344,0.47418603280317817,704000,716,1218
23,-1038.1559233449477,11.725085830796594,-1131.4104,-1012.4485,111.3588850174216,61.0,307.0,-3.622816162109375,-5.986261,0.26288906,0.12746170043945312,-3.2284129,1.5319052,-0.12746170163154602,0.05184615030884743,-0.004004240036010742,-0.021348880603909492,0.6692809462547302,0.0016725779278203845,80.0,64287,1.0066453218460083,0.0002780730897009966,-751.09765625,192.41151428222656,0.4725282478009028,736000,742,1223
24,-1039.7739361702127,12.293568040222272,-1127.2034,-1011.37244,113.29432624113475,57.0,374.0,-3.474343994140625,-5.901191,-0.07815692,0.12205460357666016,-2.1602647,1.663699,-0.12205460667610168,0.05040784180164337,-0.003948763012886047,-0.01947801001369953,0.6657661199569702,0.0016297238180413842,80.0,64287,1.005628228187561,0.0002770764119601329,-744.7562255859375,198.16754150390625,0.47087042074455177,768000,768,1224
25,-1044.11875,23.741874875336904,-1249.8141,-1014.34985,122.3076923076923,61.0,394.0,-3.148314208984375,-6.0240946,4.214222,0.09752304077148438,-9.105796,1.717063,-0.0975230410695076,0.12105319648981094,-0.006709344685077667,-0.048902709037065506,0.6622391939163208,0.0019429352832958102,80.0,64287,1.004078984260559,0.0002760797342192691,-737.8563232421875,205.1488494873047,0.4692126207832592,800000,795,1180
26,-1047.8213174273858,28.684273372362334,-1323.2136,-1024.4327,132.09128630705393,62.0,482.0,-2.950631591796875,-6.117583,3.0741189,0.09719630432128906,-7.0676365,1.5305177,-0.0971963033080101,0.11748185753822327,-0.006984546780586243,-0.046327996999025345,0.6586998701095581,0.0019608999136835337,80.0,64287,1.0040473937988281,0.0002750830564784053,-730.624267578125,212.70999145507812,0.46755480505245134,832000,822,1181
27,-1054.1745535714285,79.99369766842052,-1761.3889,-441.93732,152.15238095238095,62.0,500.0,-2.598694091796875,-5.5635743,3.219997,0.0863551025390625,-7.007716,2.0399783,-0.08635511249303818,0.13493947684764862,-0.008050866425037384,-0.05622250214219093,0.655147910118103,0.0021034805104136467,80.0,64287,1.0023435354232788,0.0002740863787375415,-722.4359741210938,222.07786560058594,0.46589701503594644,864000,850,1179
28,-1062.388307416268,87.27391159981896,-1862.8125,-1020.20184,153.00478468899522,54.0,493.0,-2.50749609375,-5.4549584,3.177239,0.08116258239746094,-6.381143,1.8034656,-0.08116257935762405,0.1110628992319107,-0.007575012743473053,-0.047135405242443085,0.6515830755233765,0.0021956386044621468,80.0,64287,1.00319242477417,0.0002730897009966777,-714.9234619140625,229.6848602294922,0.4642392090573236,896000,877,1183
29,-1081.8654203869048,127.13211983152465,-1587.356,-158.41083,188.5297619047619,54.0,500.0,-2.051736083984375,-5.327306,2.3142896,0.06673688507080078,-4.626051,1.856631,-0.06673687696456909,0.14549079537391663,-0.008713088929653168,-0.06095955893397331,0.6480057835578918,0.002379237674176693,80.0,64287,0.9999813437461853,0.00027209302325581394,-705.7581787109375,240.71800231933594,0.462581401620532,928000,904,1189
30,-1090.8632575757576,139.29458646401812,-1814.2672,-183.2559,193.64242424242425,77.0,500.0,-1.980946533203125,-5.4671564,1.5981116,0.06334123992919923,-5.27281,1.8650596,-0.06334123015403748,0.1260150969028473,-0.008333660662174225,-0.055737242102622986,0.6444154381752014,0.0022045462392270565,80.0,64287,1.0023711919784546,0.00027109634551495017,-697.251708984375,249.8367156982422,0.460923580000595,960000,930,1224
31,-1108.3752016129033,178.47557888423984,-2023.3278,-482.42233,205.33548387096775,76.0,500.0,-1.85980029296875,-5.3649936,1.3193958,0.05568637466430664,-3.4533224,1.9443897,-0.05568636953830719,0.10129157453775406,-0.007285445928573608,-0.03866869956254959,0.6408122777938843,0.0021555942948907614,80.0,64287,0.9997255206108093,0.00027009966777408634,-688.6873168945312,258.8038330078125,0.45926578685916697,992000,957,1178
32,-1055.6845982142856,261.3530316312729,-2414.7927,-85.67819,227.87857142857143,70.0,500.0,-1.716148681640625,-5.122327,1.2650596,0.06415155029296875,-3.183142,1.8871945,-0.06415154784917831,0.0958024188876152,-0.007339470088481903,-0.03647080063819885,0.6371962428092957,0.0022402280010282993,80.0,64287,1.0011588335037231,0.00026910299003322257,-678.9849853515625,270.2524719238281,0.457607982876947,1024000,984,1185
