Episode,disturbance_level,Steps,Returns
1,0.0,35,-1251.5670453721852
2,0.0,34,-1302.7533085797618
3,0.0,24,-1217.7884311514383
4,0.0,36,-1325.5699675062747
5,0.0,40,-1295.9146969898125
6,0.0,26,-1271.2888998209198
7,0.0,19,-1167.0510885780568
8,0.0,42,-1307.0723269259677
9,0.0,12,-1107.4971396344665
10,0.0,37,-1306.3331378648438
11,0.0,54,-1330.581604156997
12,0.0,25,-1243.9753912857686
13,0.0,30,-1228.5943297991553
14,0.0,30,-1219.1218525021914
15,0.0,70,-1540.3670203463337
16,0.0,28,-1207.429492115682
17,0.0,24,-1219.0090638993488
18,0.0,50,-1360.1802215873954
19,0.0,20,-1235.561805330403
20,0.0,40,-1391.7413381952592
21,0.0,26,-1218.6784956560784
22,0.0,25,-1201.2448279740759
23,0.0,33,-1217.908184390019
24,0.0,41,-1335.8439127397867
25,0.0,19,-1167.7821831166698
26,0.0,32,-1292.8160155347468
27,0.0,59,-1534.871448276014
28,0.0,21,-1240.9393251777938
29,0.0,17,-1185.9760741638986
30,0.0,26,-1209.0697424114076
31,0.0,36,-1245.3235061639807
32,0.0,26,-1212.972661410258
33,0.0,26,-1272.3400769009604
34,0.0,34,-1371.8753115295165
35,0.0,16,-1160.6673247107774
36,0.0,32,-1257.3063106292825
37,0.0,23,-1248.3756311630511
38,0.0,16,-1137.8400298476504
39,0.0,29,-1239.5303312596259
40,0.0,60,-1418.8874199152972
41,0.0,37,-1344.0389328333854
42,0.0,39,-1296.7924978666838
43,0.0,24,-1242.427953973755
44,0.0,38,-1407.5166620659152
45,0.0,26,-1249.9373617144558
46,0.0,47,-1394.659526250744
47,0.0,25,-1179.137432374328
48,0.0,49,-1414.9581123440162
49,0.0,31,-1280.8961949520308
50,0.0,66,-1618.8595111027175
51,0.0,27,-1171.9401707968289
52,0.0,31,-1294.1255270007753
53,0.0,32,-1300.9354774728452
54,0.0,39,-1243.3868157198306
55,0.0,25,-1241.736974258411
56,0.0,23,-1179.136041300654
57,0.0,21,-1152.8462188614549
58,0.0,30,-1250.2113318999816
59,0.0,64,-1645.4170085396208
60,0.0,18,-1159.2603691435456
61,0.0,53,-1465.3679340535166
62,0.0,35,-1262.2611366277677
63,0.0,22,-1184.905945252765
64,0.0,17,-1198.770707495744
65,0.0,17,-1158.3054642266256
