Episode,disturbance_level,Steps,Returns
1,0.0,50,-1003.724988566615
2,0.0,53,-1002.8423456309266
3,0.0,57,-1004.0418978544591
4,0.0,18,-1001.1697271873423
5,0.0,31,-1001.4463728500249
6,0.0,27,-1001.4384289770674
7,0.0,28,-1002.2867093161017
8,0.0,54,-1003.3979998248288
9,0.0,25,-1002.7228771900093
10,0.0,77,-1007.296353433449
11,0.0,21,-1001.8573621533301
12,0.0,57,-1004.2234372533792
13,0.0,31,-1002.1768128870335
14,0.0,39,-1003.0714768701381
15,0.0,19,-1001.3489284998001
16,0.0,56,-1004.2371660918147
17,0.0,20,-1001.5752433580653
18,0.0,26,-1001.8395870587765
19,0.0,37,-1002.9998536037498
20,0.0,28,-1001.2468527344118
21,0.0,43,-1002.7812476296228
22,0.0,33,-1001.9188395657836
23,0.0,16,-1001.5773761568861
24,0.0,17,-1001.6149734016741
25,0.0,32,-1002.1433656302328
26,0.0,23,-1001.9824167769708
27,0.0,57,-1002.6918952733645
28,0.0,49,-1002.9050417664236
29,0.0,44,-1001.8293231897904
30,0.0,45,-1002.7641904256191
31,0.0,54,-1003.7517713499116
32,0.0,32,-1002.099224020613
33,0.0,15,-1001.5139624687271
34,0.0,32,-1002.140045706275
35,0.0,71,-1004.7057309028617
36,0.0,33,-1002.9377213899951
37,0.0,27,-1002.3838292747064
38,0.0,41,-1002.2702035126413
39,0.0,35,-1002.4750006129196
40,0.0,24,-1001.8362490440928
41,0.0,20,-1001.9045415589577
42,0.0,50,-1003.642473502628
43,0.0,32,-1002.2767645897861
44,0.0,35,-1002.0735581955419
45,0.0,30,-1002.5570283360306
46,0.0,46,-1003.3054194374602
47,0.0,38,-1002.3557815656986
48,0.0,53,-1003.0165625588311
49,0.0,33,-1001.942382738348
50,0.0,59,-1003.6525041942407
51,0.0,17,-1001.3762977554011
52,0.0,27,-1002.0989432754402
53,0.0,25,-1001.6918008384746
54,0.0,24,-1001.2926322897656
55,0.0,25,-1001.9129770065467
56,0.0,55,-1003.0672859795725
57,0.0,58,-1003.6068323278835
58,0.0,25,-1002.4432576285968
59,0.0,50,-1003.4849908230209
60,0.0,41,-1002.8172167460598
61,0.0,28,-1002.0330603174847
62,0.0,43,-1002.1305676063257
63,0.0,31,-1002.4737942966462
64,0.0,36,-1002.4405846252685
65,0.0,17,-1000.9618209630346
66,0.0,67,-1005.3904080887737
67,0.0,18,-1001.3555137307657
68,0.0,68,-1005.1998329755802
69,0.0,42,-1002.875448228844
70,0.0,22,-1002.0900280812449
71,0.0,73,-1004.4796288073547
72,0.0,50,-1004.3055217312382
73,0.0,20,-1001.5818314354455
74,0.0,47,-1003.1152599806932
75,0.0,34,-1001.9882444747531
76,0.0,33,-1002.0290243386725
77,0.0,27,-1002.6549878974536
78,0.0,22,-1001.6736020693563
79,0.0,46,-1003.2916025243383
80,0.0,31,-1001.6018493781119
81,0.0,62,-1002.871279635326
82,0.0,31,-1002.0985739162466
83,0.0,37,-1002.3449037486723
84,0.0,23,-1001.53857937625
85,0.0,31,-1002.6238188647261
86,0.0,73,-1004.0658276499038
87,0.0,29,-1002.0806375363736
88,0.0,23,-1001.9370953271385
89,0.0,29,-1002.6816174547162
90,0.0,20,-1001.8931098026927
91,0.0,25,-1001.9950015431825
92,0.0,20,-1001.7428484447663
93,0.0,18,-1001.7003749533721
94,0.0,36,-1002.2879021295784
95,0.0,35,-1002.3628100337102
96,0.0,20,-1001.6288618621234
97,0.0,19,-1001.4866453676757
98,0.0,16,-1001.5387184495136
99,0.0,41,-1002.5082281431899
100,0.0,34,-1002.828153488882
101,0.0,22,-1001.6723888398529
102,0.0,14,-1001.078818083289
103,0.0,24,-1001.4318620705222
104,0.0,27,-1002.137878623816
105,0.0,37,-1002.2706815435417
106,0.0,29,-1002.2184287866371
107,0.0,31,-1001.9417800008181
108,0.0,43,-1001.824093487327
109,0.0,25,-1002.3273114336586
110,0.0,25,-1001.5124760634752
111,0.0,74,-1005.2821036828225
112,0.0,50,-1003.1360451585037
113,0.0,78,-1002.9137017347965
114,0.0,29,-1001.5667501965942
115,0.0,22,-1002.1507506867835
116,0.0,48,-1002.8155590601261
117,0.0,15,-1001.3776428849005
118,0.0,36,-1002.6125758611454
119,0.0,19,-1001.4875597444993
120,0.0,53,-1002.2819442203211
121,0.0,17,-1001.1114802028933
122,0.0,22,-1002.0653593875471
123,0.0,38,-1002.9959304555451
124,0.0,37,-1002.6809807288068
125,0.0,27,-1002.218525939492
126,0.0,30,-1001.8716719336982
127,0.0,29,-1002.4905896095139
128,0.0,49,-1002.9752431266596
129,0.0,17,-1001.4963929345596
130,0.0,26,-1001.7378166041768
131,0.0,26,-1002.3738598766471
132,0.0,38,-1003.6978899264747
133,0.0,33,-1001.7798378104128
134,0.0,29,-1001.7277766465922
135,0.0,43,-1004.2902041681325
136,0.0,35,-1001.7019980971307
137,0.0,46,-1003.688246749251
138,0.0,20,-1001.4112439327483
139,0.0,55,-1002.7684521915891
