Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-1002.5511232718894,0.9934616099827978,-1007.2963,-1000.9259,36.84907834101382,12.0,94.0,0.1045908203125,-0.26215953,0.46152437,-4.6873046875,-10.424667,-0.116321534,4.687304496765137,28.753389358520508,-0.06961393356323242,-16.37442970275879,0.7436313033103943,0.0014060146640986204,80.0,63324,0.9899547100067139,0.0003,-819.1817016601562,122.73983764648438,0.508999994180536,32000,28,1137
2,-1002.4846685082873,1.0016366958343674,-1007.8532,-1001.0206,35.32375690607735,12.0,115.0,-1.16141943359375,-6.180452,5.432439,-2.80469384765625,-13.277005,3.2752044,2.8046939373016357,13.199695587158203,-0.07336807250976562,-7.931577682495117,0.7403689026832581,0.0020678758155554533,80.0,63324,0.9836256504058838,0.0002990033222591362,-821.728759765625,122.9453353881836,0.5073421985260703,64000,241,1137
3,-1002.5798570595099,1.0509220064146454,-1007.063,-1000.99493,37.28238039673279,13.0,105.0,-4.010533935546875,-7.8389187,1.1190531,-1.40034912109375,-8.2849,2.063774,1.4003493785858154,3.3829987049102783,-0.0325770378112793,-2.124197483062744,0.7370959520339966,0.0020211876835674047,80.0,63324,0.9857721328735352,0.0002980066445182724,-819.2437133789062,125.33699035644531,0.5056843768217382,96000,269,1139
4,-1002.7392456359103,1.0891896839543955,-1007.58606,-1000.93744,39.87780548628429,14.0,96.0,-5.42354150390625,-8.382975,-1.7953187,-0.5694547119140625,-4.319936,1.1515026,0.5694547295570374,0.916597843170166,-0.015721023082733154,-0.4315638244152069,0.7338122725486755,0.001883904216811061,80.0,63324,0.9902997016906738,0.0002970099667774086,-815.9596557617188,126.67059326171875,0.5040265646673453,128000,297,1135
5,-1002.8137112403101,1.1621253423964923,-1007.4625,-1000.9724,41.32687338501292,13.0,96.0,-5.9972841796875,-8.366556,-3.5543485,-0.19397369384765625,-3.2306814,1.2902963,0.19397369027137756,0.4202691614627838,-0.010613635182380676,-0.10043162852525711,0.7305175065994263,0.0016731206560507417,80.0,63324,0.9948427677154541,0.00029601328903654483,-812.5497436523438,128.4621124267578,0.50236876760236,160000,325,1142
6,-1002.9972640218879,1.2954023266025059,-1007.513,-1000.99896,43.76607387140903,15.0,111.0,-6.197865234375,-8.198478,-4.2753186,0.004869766235351562,-2.365893,1.3600538,-0.004869767930358648,0.2822517454624176,-0.009150944650173187,-0.031086008995771408,0.7272123694419861,0.0016507740365341306,80.0,63324,0.9987198710441589,0.00029501661129568106,-808.3486938476562,131.14614868164062,0.5007109615988222,192000,353,1143
7,-1003.2416792738276,1.4453869591258928,-1008.6419,-1001.0017,48.364599092284415,12.0,121.0,-6.203521484375,-8.077917,-4.474468,0.14256536865234376,-2.4818268,1.17768,-0.14256536960601807,0.2546278238296509,-0.008619427680969238,-0.03662096709012985,0.7238959074020386,0.001628360478207469,80.0,63324,1.0020231008529663,0.00029401993355481724,-802.7010498046875,135.27166748046875,0.4990531530460079,224000,381,1143
8,-1003.6624354561102,1.4899737441815428,-1009.15564,-1001.2746,55.056798623063685,18.0,112.0,-6.09778515625,-7.751836,-4.2659616,0.2504327545166016,-1.9165411,1.2264544,-0.25043272972106934,0.2267599254846573,-0.007963508367538452,-0.06773163378238678,0.7205685973167419,0.001577557297423482,80.0,63324,1.0061519145965576,0.00029302325581395347,-796.0801391601562,139.73997497558594,0.4973953486081037,256000,409,1148
9,-1003.8180846007605,1.416322729374723,-1008.52075,-1001.1024,60.752851711026615,16.0,127.0,-5.86863623046875,-7.6348333,-3.9610426,0.2753627014160156,-1.782031,1.2453618,-0.27536270022392273,0.20649366080760956,-0.007093340158462524,-0.08297204971313477,0.7172299027442932,0.0014147799229249358,80.0,63324,1.0063724517822266,0.0002920265780730897,-789.0829467773438,144.53762817382812,0.49573755522300433,288000,437,1142
10,-1004.301724137931,1.6311341927882,-1012.4647,-1001.1198,68.95258620689656,15.0,187.0,-5.57610693359375,-7.405614,-3.3787038,0.29390509033203127,-1.7708025,1.413254,-0.2939050495624542,0.18947967886924744,-0.006605744361877441,-0.09151136130094528,0.7138803005218506,0.001373149803839624,80.0,63324,1.008296012878418,0.0002910299003322259,-780.7638549804688,151.2028045654297,0.49407972120219784,320000,465,1140
11,-1004.6068075117371,1.5480822764739006,-1012.3002,-1001.2657,74.9530516431925,19.0,161.0,-5.2825078125,-7.209907,-3.0533543,0.28954833984375,-1.5822902,1.3842386,-0.2895483374595642,0.1485942006111145,-0.005810350179672241,-0.08392999321222305,0.7105190753936768,0.0013792708050459623,80.0,63324,1.009522795677185,0.0002900332225913621,-772.6661376953125,157.44740295410156,0.4924219133214656,352000,494,1131
12,-1004.8625621890548,1.566870151782661,-1012.85724,-1001.0401,79.48756218905473,14.0,180.0,-4.96671240234375,-6.9443398,-2.881405,0.25737881469726565,-1.7923474,1.2268533,-0.25737881660461426,0.1138991266489029,-0.005142480134963989,-0.06609070301055908,0.7071467041969299,0.0012663186062127352,80.0,63324,1.009942650794983,0.0002890365448504983,-765.0639038085938,162.82662963867188,0.4907641100806215,384000,522,1121
13,-1005.0961411609499,1.7817612849972466,-1013.0139,-1001.2761,84.41160949868073,19.0,189.0,-4.65094775390625,-6.7549806,-2.4693055,0.22326826477050782,-1.5294685,1.5567448,-0.2232683002948761,0.09232586622238159,-0.004674658179283142,-0.04999682679772377,0.7037631273269653,0.0014134260127320886,80.0,63324,1.010233759880066,0.0002880398671096345,-757.41552734375,168.55169677734375,0.4891063197964703,416000,550,1135
14,-1005.5210714285714,1.973035125391027,-1017.3893,-1001.3933,91.18857142857142,23.0,215.0,-4.39127099609375,-6.607048,-2.1028714,0.21066824340820312,-1.7756172,1.6280584,-0.21066823601722717,0.08229371905326843,-0.004457250237464905,-0.04519517719745636,0.70036780834198,0.0014452813193202019,80.0,63324,1.0099371671676636,0.00028704318936877073,-749.428466796875,175.08334350585938,0.4874484929448711,448000,578,1145
15,-1005.7047672672672,2.1906272891995595,-1017.9565,-1002.3381,96.03303303303304,42.0,251.0,-4.12755859375,-6.351107,0.44420585,0.1917039794921875,-1.4996781,1.5085891,-0.19170397520065308,0.06733784824609756,-0.004153698682785034,-0.03851112350821495,0.696960985660553,0.0013999470975250006,80.0,63324,1.009977102279663,0.00028604651162790696,-741.5078125,181.7148895263672,0.4857906968798545,480000,606,1150
16,-1006.150019778481,2.8808740663511903,-1023.7607,-1002.5105,100.99367088607595,31.0,266.0,-3.889230224609375,-6.265606,1.0642926,0.17516525268554686,-4.0388675,1.7052783,-0.17516528069972992,0.06755303591489792,-0.003971695899963379,-0.03597590699791908,0.6935425400733948,0.001335068023763597,80.0,63324,1.0091471672058105,0.0002850498338870432,-733.5964965820312,188.49400329589844,0.4841328830034904,512000,634,1160
17,-1006.6795280612245,3.2198986314067195,-1032.0504,-1001.45233,108.50340136054422,18.0,304.0,-3.579396484375,-5.9932656,2.2285416,0.15217787170410157,-5.6580634,1.8702743,-0.15217788517475128,0.08378792554140091,-0.00546930730342865,-0.03795763850212097,0.6901123523712158,0.0016500655328854918,80.0,63324,1.008619785308838,0.00028405315614617936,-725.3223266601562,195.9747314453125,0.4824750900450982,544000,661,1156
18,-1007.2681525735294,4.319147864177988,-1033.3253,-1002.04486,117.3970588235294,46.0,406.0,-3.37006884765625,-5.7115636,0.650413,0.15818585205078126,-4.907357,1.9800866,-0.15818583965301514,0.07705903798341751,-0.005004286766052246,-0.036889832466840744,0.6866704225540161,0.0016025059157982469,80.0,63324,1.008646845817566,0.0002830564784053156,-716.6187133789062,204.34683227539062,0.48081727062403695,576000,689,1160
19,-1008.1000729571984,6.510860847363842,-1055.5392,-1002.6254,124.15953307392996,62.0,472.0,-2.960995849609375,-5.838139,4.0983944,0.11515974426269532,-6.646166,2.3463843,-0.11515974253416061,0.1247376874089241,-0.006848298013210297,-0.06941278278827667,0.6832167506217957,0.0018509516958147287,80.0,63324,1.0049761533737183,0.0002820598006644518,-707.6622924804688,213.39938354492188,0.47915946409130233,608000,717,1157
20,-1009.0176112288135,7.059273252299814,-1047.9658,-1002.24335,135.30084745762713,59.0,475.0,-2.757242431640625,-5.4424243,3.30437,0.11781181335449219,-4.8682594,1.6935773,-0.11781181395053864,0.11273348331451416,-0.006925247609615326,-0.05789044499397278,0.6797507405281067,0.0018796802032738924,80.0,63324,1.0054208040237427,0.00028106312292358805,-698.2857666015625,222.92822265625,0.4775016527393509,640000,744,1151
