Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,100.34522408473552,0.09032909091909921,100.0536,101.00506,1.0178440790101466,1.0,2.0,0.14333938598632812,-0.32147178,0.37715718,9.8506865234375,9.183781,10.321472,-9.850687026977539,97.04832458496094,-0.054203033447265625,-41.36433792114258,0.7436313033103943,0.0007570648449473083,80.0,42,1.0062353610992432,0.0003,100.32837677001953,0.12350142747163773,0.508999994180536,0,32000,101,314
2,100.34463371186818,0.08948863638604915,100.04807,100.947044,1.017908833540096,1.0,2.0,1.85265576171875,-6.4797807,7.1457934,8.17051220703125,2.8542066,16.47978,-8.170512199401855,73.31439971923828,-0.09396171569824219,-47.18238067626953,0.7104068398475647,0.0007551894523203373,80.0,42,1.0115073919296265,0.00029,100.32799530029297,0.12474953383207321,0.4923666785278051,0,64000,208,313
3,100.3452915154987,0.0901808887844644,100.034386,101.00706,1.0183947552670103,1.0,2.0,9.234078125,-11.219376,11.658862,0.7888143310546875,-10.669428,21.219376,-0.7888143062591553,4.617955684661865,-0.027043700218200684,-2.404001235961914,0.6760407090187073,0.0006825091550126672,80.0,42,1.0049481391906738,0.00028,100.32780456542969,0.12985734641551971,0.4757333320358722,0,96000,310,314
4,100.34326626617082,0.08966738069474317,100.04242,100.97191,1.0171323225580877,1.0,3.0,9.921228515625,-3.0233772,10.623448,0.10546559906005859,-0.6234484,13.023377,-0.1054655984044075,0.50583815574646,-0.006371811032295227,-0.17106834053993225,0.6404513716697693,0.00022128474665805697,80.0,42,1.0014290809631348,0.00027,100.32760620117188,0.12898758053779602,0.4591000102019319,0,128000,412,314
5,100.3458499283097,0.09077114577483698,100.047775,100.97135,1.0195953480962243,1.0,3.0,9.991462890625,-4.498511,10.485731,0.040987129211425784,-0.48573112,14.49851,-0.040987126529216766,0.3743486702442169,-0.005135092884302139,-0.04566259682178497,0.6035483479499817,0.00028050621040165424,80.0,42,1.001448392868042,0.00026,100.32756042480469,0.13054879009723663,0.44246665663059725,0,160000,514,313
6,100.34443488786953,0.09004355369316376,100.05673,100.95446,1.019367991845056,1.0,2.0,10.03033984375,-0.5149342,10.504296,0.0013962886333465576,-0.5042963,10.514935,-0.0013962883967906237,0.23386532068252563,-0.0039491960778832436,-0.028908981010317802,0.5652312636375427,0.00024108486832119524,80.0,42,1.0007811784744263,0.00025,100.32731628417969,0.1314833164215088,0.4258333297731258,0,192000,617,313
7,100.34504665159379,0.08974897357328238,100.04428,101.01297,1.0190109225233257,1.0,3.0,10.0256259765625,-2.1419985,10.453539,0.005186339855194092,-0.4535389,12.141998,-0.005186339840292931,0.20290020108222961,-0.003554193302989006,-0.024827798828482628,0.5253872871398926,0.0003128427779302001,80.0,42,1.0009690523147583,0.00023999999999999998,100.32726287841797,0.13214468955993652,0.40920000592278644,0,224000,719,313
8,100.34541516705417,0.0898994245797044,100.05893,100.97746,1.019205656591394,1.0,3.0,10.0247509765625,0.39389318,10.443727,0.007194353103637695,-0.44372654,9.606107,-0.007194352801889181,0.1646234542131424,-0.0035304133780300617,-0.013439374044537544,0.4838896095752716,0.0005865668063051999,80.0,42,1.0008269548416138,0.00022999999999999995,100.32723999023438,0.13182254135608673,0.3925666771128039,0,256000,821,313
9,100.3447246025931,0.0910686695190821,100.03695,100.96823,1.019400465101462,1.0,3.0,10.0305673828125,-0.2788815,10.406598,0.002567303657531738,-0.4065981,10.278881,-0.002567303366959095,0.14353711903095245,-0.0032769236713647842,-0.008771742694079876,0.4405951499938965,0.0005562440492212772,80.0,42,1.0013126134872437,0.00022,100.32715606689453,0.13242150843143463,0.3759333442714601,0,288000,923,313
10,100.34514972921312,0.09012264184595424,100.04772,101.015366,1.0194329404268876,1.0,3.0,10.02752734375,1.0115713,10.38595,0.004967678546905518,-0.3859501,8.988429,-0.004967678803950548,0.13005690276622772,-0.002885917667299509,-0.0077501218765974045,0.3953408896923065,0.000683736929204315,80.0,42,1.0014560222625732,0.00020999999999999998,100.32711791992188,0.13281531631946564,0.3592999952524963,0,320000,1025,313
