Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,100.339584,0.101377435,100.04946,101.28624,1.0359374,1.0,3.0,0.11414856,-0.33189157,0.36281028,9.873429,0.05270777,10.429732,-9.873429,97.50888,-0.062280506,-48.084923,0.7436313,0.0008491706,80.0,42,1.0072827,0.0003,100.29722595214844,0.9814212918281555,0.508999994180536,0,32000,3,8924
2,100.33882,0.09931826,100.04571,101.0704,1.035868,1.0,3.0,1.8686483,-6.9089184,7.3404455,8.118805,-9.452952,18.062727,-8.118805,74.41205,-0.10868174,-47.392838,0.71040684,0.0009041856,80.0,42,1.0129275,0.00029,100.30014038085938,0.822303295135498,0.4923666785278051,0,64000,14,6147
3,100.33845,0.09909761,100.034904,100.96238,1.0351644,1.0,3.0,8.978629,-9.901891,11.268768,1.0128587,-8.209463,21.1556,-1.0128587,5.4629126,-0.027230242,-3.9416766,0.6760407,0.00073101063,80.0,42,1.0050483,0.00028,100.30113220214844,0.7480156421661377,0.4757333320358722,0,96000,17,8992
4,100.338104,0.09774064,100.06182,100.95028,1.0351354,1.0,3.0,9.96629,-0.03479193,10.516547,0.043617424,-6.1502457,10.034792,-0.043617427,0.34396043,-0.004750566,-0.05011639,0.6404514,0.00030187034,80.0,42,1.0012424,0.00027,100.30001068115234,0.8805826306343079,0.4591000102019319,0,128000,21,8994
5,100.33894,0.09890016,100.04583,101.41637,1.0350326,1.0,4.0,9.999683,0.87193125,10.482216,0.010284195,-3.9088573,9.310733,-0.010284196,0.24366522,-0.0036862385,-0.033238426,0.60354835,0.0003612359,80.0,42,1.0007458,0.00026,100.30078887939453,0.8921796679496765,0.44246665663059725,0,160000,25,8244
6,100.33877,0.09944282,100.044586,101.06225,1.0361029,1.0,3.0,10.007026,2.008117,10.4346895,0.0042395117,-1.1866083,9.359613,-0.0042395117,0.18402034,-0.0027519662,-0.0204337,0.56523126,0.00033056454,80.0,42,1.0005977,0.00025,100.30216979980469,0.8485461473464966,0.4258333297731258,0,192000,29,7027
7,100.33962,0.099371314,100.04875,101.115005,1.0362694,1.0,4.0,10.008336,3.7546651,10.391353,0.0048057954,-0.4386675,11.371225,-0.0048057954,0.15368864,-0.0027007344,-0.005618712,0.5253873,0.0003811259,80.0,42,1.0008407,0.00023999999999999998,100.30375671386719,0.7935452461242676,0.40920000592278644,0,224000,34,6384
8,100.33853,0.099394016,100.04922,101.01809,1.0377145,1.0,3.0,10.011392,1.4914103,10.379763,0.0033335541,-0.37980363,9.8862,-0.0033335541,0.13765146,-0.0025340663,-0.0013763951,0.4838896,0.00053936173,80.0,42,1.0014493,0.00022999999999999995,100.30470275878906,0.7502493858337402,0.3925666771128039,0,256000,38,9028
9,100.339134,0.09959557,100.05726,101.00308,1.036406,1.0,3.0,10.012933,3.2833385,10.354776,0.0017762505,-0.50546795,9.787013,-0.0017762505,0.11665265,-0.0024247095,-0.00457107,0.44059515,0.00043420785,80.0,42,1.0009799,0.00022,100.3049087524414,0.7526443600654602,0.3759333442714601,0,288000,41,9061
10,100.33856,0.097807564,100.04024,100.98893,1.0352324,1.0,3.0,10.015632,4.9994254,10.509814,-0.0018660106,-1.1125908,9.967894,0.0018660103,0.096465625,-0.0019850866,-0.0040194965,0.3953409,0.0004773414,80.0,42,1.0010083,0.00020999999999999998,100.30504608154297,0.7545672655105591,0.3592999952524963,0,320000,45,9061
11,100.33809,0.09805662,100.03288,101.06328,1.0349635,1.0,3.0,10.014918,4.1892915,10.513312,0.00010570615,-0.51331234,10.50007,-0.00010570628,0.09872394,-0.0019390333,-0.0057492023,0.34794137,0.00050683494,80.0,42,1.0008278,0.0002,100.30548095703125,0.7407846450805664,0.342666667586811,0,352000,48,9062
12,100.33836,0.09937115,100.051186,101.29978,1.0368078,1.0,3.0,10.014734,5.401547,10.494026,0.0010298836,-0.49402618,9.580567,-0.0010298837,0.09165859,-0.0018977195,-0.0050586425,0.2981829,0.0005768443,80.0,42,1.000908,0.00018999999999999998,100.30572509765625,0.7290603518486023,0.32603332710575944,0,384000,52,9071
13,100.338776,0.0988355,100.05337,101.18503,1.037109,1.0,4.0,10.01431,5.208058,10.613237,0.0026669817,-0.6132374,10.047089,-0.002666982,0.102436036,-0.002145017,-0.0035603528,0.24581812,0.0007877422,80.0,42,1.0019879,0.00017999999999999998,100.30621337890625,0.7059374451637268,0.30939998805568575,0,416000,56,9062
14,100.33823,0.09835247,100.06059,101.12774,1.0364385,1.0,3.0,10.01988,5.6978865,10.606907,-0.002946,-0.6069069,9.821021,0.0029460003,0.09610303,-0.0020542801,-0.0046353335,0.19055915,0.00094631175,80.0,42,0.9996926,0.00016999999999999999,100.3064193725586,0.6985466480255127,0.2927666602097364,0,448000,59,9110
15,100.33861,0.09803434,100.056854,101.21193,1.0350304,1.0,3.0,10.016359,6.9371533,10.446469,0.00040864074,-0.4464693,9.736664,-0.00040864095,0.08812606,-0.0017705313,-0.0041225236,0.13206708,0.0006906304,80.0,42,1.0010364,0.00015999999999999999,100.30670166015625,0.6918700337409973,0.2761333346783128,0,480000,63,9069
16,100.33782,0.09637442,100.04857,101.15238,1.0331913,1.0,3.0,10.020722,7.3005977,10.538235,-0.0037486486,-0.5382347,9.815263,0.0037486483,0.089899644,-0.0020031477,-0.004330864,0.06993997,0.0008471075,80.0,42,1.000583,0.00015,100.30718994140625,0.6744502782821655,0.2595000077268337,0,512000,66,9034
17,100.33975,0.098493345,100.045044,101.28018,1.0382569,1.0,3.0,10.01476,7.0066113,10.59931,0.0031479076,-0.5993099,10.02789,-0.0031479076,0.08525567,-0.0020097103,0.0061334954,0.003695846,0.0008929622,80.0,42,1.0008693,0.00014,100.30692291259766,0.6919289827346802,0.24286666936472848,0,544000,70,9051
18,100.337715,0.09746567,100.04419,101.23156,1.0351967,1.0,3.0,10.02091,7.779623,10.469944,-0.0031690989,-0.469944,10.084425,0.0031690989,0.09016452,-0.0020121844,0.007901808,-0.06724989,0.0009663482,80.0,42,1.0003496,0.00013,100.30723571777344,0.6765918731689453,0.22623332252568937,0,576000,73,9044
19,100.33859,0.09708536,100.048,101.09589,1.0368426,1.0,3.0,10.018406,7.6659646,10.526226,-0.00076630816,-0.52622604,10.009483,0.00076630776,0.08206326,-0.001795352,-0.0038420125,-0.14361584,0.000997042,80.0,42,1.0005342,0.00011999999999999999,100.30714416503906,0.6823163628578186,0.20959999310399555,0,608000,77,9035
20,100.33899,0.097968765,100.04679,101.23217,1.0376832,1.0,4.0,10.018451,8.062249,10.460276,-0.00044596964,-0.46027565,9.980587,0.00044596975,0.082123674,-0.0018501838,-0.0006899311,-0.2262993,0.00095328037,80.0,42,1.0004375,0.00011,100.3070297241211,0.6874396800994873,0.19296666919571104,0,640000,80,9018
21,100.33815,0.09771196,100.03953,101.12466,1.0363377,1.0,3.0,10.0169325,8.951851,10.42316,0.0020010776,-0.4231596,10.224723,-0.0020010765,0.096146,-0.0021107963,0.004938853,-0.31644058,0.0009133811,80.0,42,1.0002035,0.0001,100.30716705322266,0.683709979057312,0.17633333967182221,0,672000,84,9023
22,100.338104,0.097477905,100.04704,101.32499,1.0366423,1.0,4.0,10.018513,8.971291,10.419058,-0.00045777534,-0.41905785,9.903104,0.00045777566,0.08582394,-0.0019415807,-0.0040382836,-0.41551974,0.0009355211,80.0,42,1.0003834,9e-05,100.30693817138672,0.6967822313308716,0.1596999986960824,0,704000,88,9074
23,100.338394,0.097341284,100.04736,101.18507,1.0364708,1.0,3.0,10.017817,9.333916,10.47142,0.0008339328,-0.4714203,10.083607,-0.0008339331,0.09371286,-0.0022665379,0.005321536,-0.525506,0.0012324869,80.0,42,1.0015581,8e-05,100.30717468261719,0.6849725842475891,0.14306666948950403,0,736000,91,9059
24,100.33852,0.096417144,100.050674,101.33591,1.0379188,1.0,4.0,10.018207,9.106736,10.419837,0.000106093226,-0.419837,10.1312275,-0.00010609318,0.08592734,-0.0021723732,0.0025436871,-0.6491016,0.0010624406,80.0,42,1.0000292,6.999999999999998e-05,100.30705261230469,0.6892868876457214,0.12643333161798834,0,768000,95,9075
25,100.33856,0.09640863,100.048904,101.33021,1.0371463,1.0,4.0,10.017652,9.28752,10.42226,0.00024757822,-0.42226028,10.079627,-0.0002475772,0.08362625,-0.0021885796,-0.004127634,-0.7901563,0.0010749183,80.0,42,1.0007645,5.999999999999998e-05,100.3068618774414,0.700465202331543,0.1097999985840832,0,800000,98,9082
