Episode,disturbance_level,Steps,Returns
1,0,17,-104.39408315709998
2,0,21,-106.20882985839685
3,0,25,-105.4535336842995
4,0,33,-107.79884627178119
5,0,25,-103.65152653298608
6,0,26,-106.05591660029059
7,0,21,-106.26620372502676
8,0,21,-102.55312164209373
9,0,34,-110.75223137753423
10,0,16,-106.69289363111244
11,0,23,-106.08440915258751
12,0,55,-126.92530715659497
13,0,23,-108.88615281366646
14,0,27,-106.45895833181952
15,0,19,-104.48066163203588
16,0,29,-109.5424827397697
17,0,19,-105.38358339773995
18,0,35,-112.36728848861478
19,0,47,-106.74945614364582
20,0,27,-106.26476739063824
21,0,21,-105.90470530456659
22,0,19,-105.05788679373475
23,0,26,-104.41612663797466
24,0,16,-104.83625420150382
25,0,39,-108.28768379385994
26,0,29,-110.21853185580171
27,0,20,-103.44783089164943
28,0,19,-105.53346457388679
29,0,18,-105.37358934664155
30,0,23,-104.795385292425
31,0,36,-109.0714078319496
32,0,24,-102.39674650817763
33,0,40,-113.99024792316123
34,0,23,-108.63805931187134
35,0,23,-107.64776180204093
36,0,41,-115.48230537036214
37,0,26,-105.33486820247242
38,0,26,-109.15547939993614
39,0,35,-105.04655960902193
40,0,16,-105.5225389723989
41,0,21,-105.29262886888331
42,0,23,-103.89461227186145
43,0,36,-109.38472256202897
44,0,28,-104.79386382097594
45,0,26,-107.67723366450828
46,0,26,-105.05163889420295
47,0,20,-104.49667319536404
48,0,22,-105.27131019042547
49,0,32,-107.97129184056334
50,0,23,-108.89124520040654
51,0,29,-109.83149504256356
52,0,16,-104.89763657717721
53,0,20,-106.8776562472073
54,0,23,-103.33860142812388
55,0,29,-110.7531247571811
56,0,19,-105.28047152091203
57,0,22,-104.57678996673184
58,0,29,-106.38729552586398
59,0,32,-110.32277149332626
60,0,27,-108.85926496186345
61,0,34,-111.11019801821368
62,0,25,-106.27975276028238
63,0,56,-131.11825337806962
64,0,21,-107.13206617661193
65,0,36,-107.14676647208422
66,0,30,-105.25721378375677
67,0,42,-112.69698974070941
68,0,35,-111.503639741833
69,0,22,-105.54764476116293
70,0,31,-107.85678369887269
71,0,21,-104.34776753071382
72,0,43,-111.86294279102793
73,0,23,-102.65380427120998
74,0,29,-107.43230857861982
75,0,26,-108.3246421752136
76,0,28,-106.64703039191343
77,0,19,-106.69875709803236
78,0,32,-109.62901078498699
79,0,53,-119.25679338915506
80,0,29,-108.61875478270339
81,0,26,-104.77306298831485
82,0,13,-102.8725696330551
83,0,29,-109.06606459895727
84,0,26,-108.70042510651633
85,0,12,-103.79585578602064
86,0,23,-107.51415518039681
87,0,22,-101.65356234471935
88,0,32,-112.00049863792475
89,0,31,-106.82431416277755
90,0,21,-105.1257210973049
91,0,24,-105.02291220454782
92,0,20,-105.64765017797421
93,0,27,-108.76829705183759
94,0,25,-108.77019917787713
95,0,35,-108.80190429594815
96,0,40,-116.63437337012549
97,0,26,-107.55522203509632
98,0,22,-107.36845084498793
99,0,23,-105.96791457888712
100,0,27,-108.43609744151175
101,0,18,-103.09333694946552
102,0,27,-106.96925524967683
103,0,14,-104.07615507386011
104,0,18,-105.86725480073562
105,0,22,-105.44392285025542
106,0,26,-103.71899481982169
107,0,21,-104.59992232586634
108,0,24,-106.63953767522628
109,0,21,-106.62513686020789
110,0,33,-105.41863559168668
111,0,25,-105.62892420443812
112,0,17,-104.9613952498885
113,0,14,-104.01996082496927
114,0,20,-106.02560170394457
115,0,21,-107.11850654158604
116,0,22,-103.61121464467611
117,0,26,-104.62613369589751
118,0,17,-103.3300269454663
119,0,27,-108.95716417637222
120,0,18,-105.98040850516364
121,0,23,-104.69582369359762
122,0,43,-110.15786496010686
123,0,24,-105.94912715700254
124,0,21,-104.25627642003604
125,0,20,-106.41104854248945
126,0,27,-104.68005468264235
127,0,41,-112.70198602666352
128,0,23,-104.4806310412993
129,0,19,-107.57103671485538
130,0,25,-110.02559291148017
131,0,20,-105.56256412609451
132,0,22,-105.79744177473175
133,0,55,-122.5738471652536
134,0,45,-115.9164149666475
135,0,29,-110.09746549218227
136,0,26,-106.33230626042402
137,0,22,-106.93466027835487
138,0,20,-105.69099547637435
139,0,19,-103.65826612609249
140,0,35,-114.77712304814082
141,0,21,-105.67425208731777
142,0,21,-107.65143625268192
143,0,23,-107.95885039690468
144,0,24,-107.91990270604288
145,0,31,-104.31762615000355
146,0,19,-101.52352241128607
147,0,54,-115.3372526522813
148,0,29,-101.7594534325206
149,0,31,-109.60346580417652
150,0,21,-104.65370424326004
151,0,24,-107.84418407012531
152,0,33,-108.33140855639925
153,0,40,-114.16243542593071
154,0,25,-105.30226904930123
155,0,19,-105.65897383131178
156,0,31,-109.43861065331691
157,0,26,-106.03518680129282
158,0,26,-108.38156223846157
159,0,40,-113.53438456563026
160,0,23,-107.69622119439346
161,0,27,-103.22178940282184
162,0,20,-104.33836233714608
163,0,28,-105.67008459815028
164,0,21,-106.18510636293492
165,0,22,-105.64699843171383
166,0,26,-102.70928756244435
167,0,21,-102.95593315374639
168,0,30,-110.56579131739747
169,0,70,-122.74774345313583
170,0,52,-114.23965630088261
171,0,23,-105.61696313691806
172,0,21,-106.47064373524773
173,0,35,-111.49997144942738
174,0,27,-106.73981383579705
175,0,25,-105.60057890923233
176,0,20,-105.54766342509085
177,0,22,-105.7488196089599
178,0,40,-108.3857174859955
179,0,28,-108.60423389197716
180,0,19,-104.26894860668122
181,0,36,-111.63444407933925
182,0,61,-138.31764912719717
183,0,48,-107.71455001401327
184,0,20,-105.85686744964167
185,0,29,-108.29398975762345
186,0,20,-106.6307613701312
187,0,27,-108.35685883816305
188,0,41,-107.30984397716212
189,0,36,-113.00144337342081
190,0,22,-103.35614212840115
191,0,18,-104.78420358934468
192,0,20,-105.25921215876625
193,0,35,-109.18422179206924
194,0,30,-106.92512719191473
195,0,31,-109.2370458081225
196,0,20,-107.1480655387638
197,0,32,-109.90973953089392
198,0,34,-110.96580362620594
199,0,21,-105.29770788088452
200,0,23,-102.75100744038832
201,0,23,-104.84922606083691
202,0,36,-114.47418879116564
203,0,35,-106.73096701430045
204,0,37,-111.6674342502076
205,0,52,-112.66280371640153
206,0,29,-104.84648745428207
207,0,35,-108.26979930148912
208,0,60,-128.127937985997
209,0,18,-103.39097845165851
210,0,34,-109.82490466992888
211,0,28,-110.10855076685779
212,0,20,-107.36013067494855
213,0,37,-111.85841805866326
214,0,23,-104.16441575230564
215,0,25,-104.91518143628143
216,0,31,-106.6274908964791
217,0,23,-106.71819201578828
218,0,18,-105.59055800780837
219,0,38,-106.71287702561479
220,0,36,-112.21276586551124
221,0,40,-113.20815543098885
222,0,19,-102.8255385632907
223,0,48,-109.75107697796383
224,0,38,-112.41416055569854
225,0,46,-112.75942290802197
226,0,20,-104.47485854306825
227,0,24,-106.39482567684036
228,0,31,-106.75103192961627
229,0,19,-104.87077438923592
230,0,20,-105.08646035298852
231,0,23,-106.50663686238376
232,0,28,-108.03866496108064
233,0,37,-107.23922824354656
234,0,16,-104.67390164877446
235,0,19,-103.17377929671834
236,0,31,-112.5592993583036
237,0,32,-108.08692046399138
238,0,30,-102.80241438053824
239,0,24,-108.33212877546383
240,0,23,-106.291888737804
241,0,27,-107.87186570470263
242,0,27,-105.6771406354741
243,0,26,-104.85379888685605
244,0,34,-105.65060549481338
245,0,45,-119.72208097612989
246,0,43,-111.35707814741487
247,0,24,-104.13442578977414
248,0,32,-108.35801578806517
249,0,18,-105.58215950624854
250,0,20,-106.41034369879527
251,0,23,-106.70677572764978
252,0,19,-103.70554890407838
253,0,20,-102.43823824227012
254,0,37,-111.59812219389968
255,0,17,-103.88491687363077
256,0,18,-106.1961479933754
257,0,42,-110.10148617294622
258,0,34,-113.56335035384181
259,0,30,-111.16003287429982
260,0,29,-105.13460050454584
261,0,27,-106.35217183126517
262,0,46,-109.51724871366937
263,0,19,-103.27852534803732
264,0,15,-104.08295009686259
265,0,22,-105.70485822627893
266,0,27,-105.1434110574645
267,0,35,-107.71413755053462
268,0,22,-104.69250322517503
269,0,18,-105.91820746154008
270,0,27,-106.13799603267177
271,0,37,-107.0023386558302
272,0,22,-107.90281443454379
273,0,42,-112.39371505232333
274,0,16,-104.86209324223061
275,0,45,-115.16312641728825
276,0,21,-104.24456734738446
277,0,18,-104.64638216543494
278,0,19,-104.39699620274696
279,0,31,-111.3336954447092
280,0,31,-105.60719492479262
281,0,22,-108.71310390542006
282,0,30,-111.12852613499336
283,0,17,-102.10201577390615
284,0,24,-109.27444044433207
285,0,18,-105.66934660961391
286,0,24,-106.97431229897181
287,0,24,-109.80571954066704
288,0,36,-110.85082159226896
289,0,22,-103.62140871344263
290,0,59,-114.81042484671934
291,0,19,-105.76970792511081
292,0,24,-103.35176858795914
293,0,32,-111.12986520598568
294,0,41,-118.99500719930529
295,0,28,-110.09122935799499
296,0,30,-109.68000504431991
297,0,22,-104.04193864159502
298,0,20,-102.45566951202792
299,0,16,-104.48882797405739
300,0,50,-115.65823264482096
301,0,17,-106.18735249154875
302,0,30,-108.6335092405746
303,0,26,-104.67267857426664
304,0,55,-115.48993060935433
305,0,24,-103.63198611923087
306,0,32,-111.19150139918023
307,0,15,-104.40302885297551
308,0,24,-104.25398163704885
309,0,25,-108.44992175908888
310,0,28,-106.18666106683997
311,0,22,-104.68442571771465
312,0,24,-108.18739544345249
313,0,25,-106.27264415263235
314,0,32,-105.53726657882575
315,0,45,-113.87601584254449
316,0,19,-105.26801349558738
317,0,19,-106.79190829951976
318,0,22,-104.9673577109719
319,0,24,-105.90401716177773
320,0,24,-107.38344274009185
321,0,18,-105.35015795585723
322,0,33,-108.25788933396366
323,0,25,-107.11023908411809
324,0,26,-106.62936828329903
325,0,29,-107.15146615332397
326,0,22,-108.7452825899053
327,0,23,-105.43280376428636
328,0,24,-104.72647778584317
329,0,31,-111.73053632404677
330,0,49,-115.51703599385336
331,0,51,-112.25872319171856
332,0,29,-107.28782109868202
333,0,31,-108.10661650412968
334,0,24,-107.27710248316323
335,0,33,-109.17939176368849
336,0,31,-106.15384415500324
337,0,29,-107.10785704367109
338,0,24,-106.32323774838396
339,0,31,-108.04250111163665
340,0,31,-111.49236251423875
341,0,21,-104.70737653803202
342,0,20,-105.10006235966895
343,0,22,-105.30054023362482
344,0,22,-105.95442349828373
345,0,18,-104.93031601931925
346,0,44,-113.79860207385987
347,0,23,-105.36836051664878
348,0,34,-111.92042403098989
349,0,29,-111.97771802660387
350,0,20,-105.10276150336304
351,0,23,-104.95043776242893
352,0,25,-108.37751494384308
353,0,22,-103.4836061029877
354,0,23,-107.65190146156331
355,0,24,-108.06265096701851
356,0,20,-104.82033583793435
357,0,37,-114.90007674663735
358,0,27,-105.6263809883654
359,0,31,-108.11731209878627
360,0,40,-109.8173355049823
361,0,27,-111.9246881116776
362,0,19,-101.39234217557302
363,0,26,-102.8494247973042
364,0,22,-108.36188546951652
365,0,27,-108.76860795941292
