Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-107.42765355603449,4.1714818844875445,-138.31764,-100.842354,27.56896551724138,12.0,70.0,0.08649392700195313,-0.25398934,0.33183634,-7.31496630859375,-15.466827,-0.24619697,7.314966201782227,56.64320373535156,-0.07509660720825195,-31.871749877929688,0.7436313033103943,0.0012822760036215186,80.0,42,0.9899052381515503,0.0003,-90.86873626708984,6.7468485832214355,0.508999994180536,0,32000,336,95
2,-109.33526119402985,6.513112252902253,-141.53314,-101.22038,31.82686567164179,11.0,90.0,-2.467427978515625,-7.7774196,7.277496,-3.58768408203125,-15.949732,4.021113,3.5876846313476562,20.667903900146484,-0.07898783683776855,-14.953888893127441,0.7403689026832581,0.002120519056916237,80.0,42,0.9867836236953735,0.0002990033222591362,-90.45538330078125,7.135769844055176,0.5073421985260703,0,64000,946,95
3,-109.78374317827443,6.9474909796387765,-156.9969,-101.34565,33.25779625779626,14.0,83.0,-6.10382861328125,-9.095187,2.5057197,-1.70954296875,-9.78997,0.79894525,1.7095431089401245,4.114173412322998,-0.025987982749938965,-3.0392098426818848,0.7370959520339966,0.001712440513074398,80.0,42,0.989815890789032,0.0002980066445182724,-90.2114486694336,7.297229766845703,0.5056843768217382,0,96000,1280,95
4,-110.46591754599567,7.496093578166556,-147.6325,-101.33118,34.58766233766234,14.0,90.0,-7.76424560546875,-10.224767,-3.457058,-0.8056622314453125,-3.8496852,0.9320962,0.805662214756012,1.0595248937606812,-0.01166379451751709,-0.7285548448562622,0.7338122725486755,0.0014998813858255744,80.0,42,0.9927331805229187,0.0002970099667774086,-90.03551483154297,7.511277198791504,0.5040265646673453,0,128000,1614,95
5,-111.45654128308401,8.211352882930388,-152.88115,-101.392525,36.81588032220944,13.0,88.0,-8.5943994140625,-10.534277,-5.448846,-0.300922119140625,-3.3368282,0.8652685,0.30092212557792664,0.2929060757160187,-0.00662800669670105,-0.12472881376743317,0.7305175065994263,0.0017772051505744457,80.0,42,0.9946712255477905,0.00029601328903654483,-89.86428833007812,7.668354511260986,0.50236876760236,0,160000,1951,95
6,-111.86469013872136,8.348777092213231,-153.48509,-101.702545,38.5307599517491,15.0,100.0,-8.8676689453125,-10.55644,-6.466194,-0.10118336486816407,-2.4998388,1.1717149,0.10118335485458374,0.1617230474948883,-0.003988154232501984,-0.02964683249592781,0.7272123694419861,0.0013105605030432343,80.0,42,0.9976120591163635,0.00029501661129568106,-89.63745880126953,7.9419355392456055,0.5007109615988222,0,192000,2281,96
7,-113.6542014781491,9.919438708893052,-160.11215,-101.74148,41.10796915167095,15.0,92.0,-8.9808564453125,-10.483434,-6.921181,-0.024707897186279297,-2.2460208,1.1691916,0.024707896634936333,0.1276276558637619,-0.0040054284036159515,-0.010348031297326088,0.7238959074020386,0.0014113326324149966,80.0,42,0.9976967573165894,0.00029401993355481724,-89.50102996826172,8.113261222839355,0.4990531530460079,0,224000,2617,95
8,-114.6352139261745,10.683989425002116,-174.99187,-101.20608,42.88053691275168,15.0,102.0,-8.9951796875,-10.538459,-6.810483,0.0016222448348999024,-1.8841414,1.1031542,-0.0016222444828599691,0.12138941884040833,-0.003719894913956523,-0.004147754050791264,0.7205685973167419,0.001296097761951387,80.0,42,0.9988480806350708,0.00029302325581395347,-89.35186767578125,8.323686599731445,0.4973953486081037,0,256000,2948,96
9,-116.89735594624447,11.578833297134373,-167.7107,-101.99069,47.08247422680412,15.0,110.0,-9.024279296875,-10.487275,-6.7662435,0.03739584350585937,-1.7305856,1.2701229,-0.03739584609866142,0.11733703315258026,-0.004210039973258972,-0.005829144734889269,0.7172299027442932,0.001489373273216188,80.0,42,0.9992226362228394,0.0002920265780730897,-89.21880340576172,8.529760360717773,0.49573755522300433,0,288000,3281,96
10,-119.98318894389439,13.589050129271051,-223.52182,-102.01461,52.78052805280528,13.0,122.0,-8.9738544921875,-10.499672,-6.7828526,0.046315483093261715,-1.9755399,1.0452539,-0.04631548374891281,0.11805029213428497,-0.0041738227009773254,-0.00854981504380703,0.7138803005218506,0.0014285390498116612,80.0,42,0.9993035197257996,0.0002910299003322259,-89.06973266601562,8.768353462219238,0.49407972120219784,0,320000,3616,95
