Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-100.33765,0.10337948,-100.98677,-100.034966,1.041432,1.0,2.0,0.11732414,-0.28769323,0.3871155,-10.102255,-10.389352,-0.433333,10.102255,102.08009,-0.08277205,-39.08088,0.7436313,0.0013955843,80.0,42,0.9901598,0.0003,-100.29307556152344,0.8077755570411682,0.508999994180536,0,32000,3,9107
2,-100.33722,0.10502538,-101.01481,-100.05111,1.0447971,1.0,3.0,-2.456773,-7.7063785,7.413871,-7.526263,-17.413872,8.110528,7.526263,64.98261,-0.11962418,-43.6399,0.71040684,0.00153981,80.0,42,0.9847106,0.00029,-100.29173278808594,0.7264048457145691,0.4923666785278051,0,64000,13,7978
3,-100.336685,0.10331371,-101.003296,-100.04046,1.0413616,1.0,3.0,-9.508176,-10.932483,5.3985496,-0.4962135,-15.39855,2.6345625,0.49621347,1.6801546,-0.016266715,-1.0990663,0.6760407,0.0013012567,80.0,42,0.99465704,0.00028,-100.29549407958984,0.6103620529174805,0.4757333320358722,0,96000,17,8942
4,-100.33519,0.1032412,-101.02593,-100.05201,1.0409902,1.0,3.0,-9.999572,-10.55609,0.6178513,-0.015115234,-10.617851,0.79966253,0.015115235,0.37967634,-0.0066904416,-0.06536588,0.6404514,0.000808419,80.0,42,0.99857044,0.00027,-100.29700469970703,0.603813111782074,0.4591000102019319,0,128000,20,8968
5,-100.337494,0.103927374,-100.98869,-100.04405,1.0421457,1.0,3.0,-9.999746,-10.522376,-1.0666591,-0.016054126,-9.292802,1.5442085,0.016054126,0.2533955,-0.005309563,-0.024551459,0.60354835,0.00077723793,80.0,42,0.99780405,0.00026,-100.29695129394531,0.6815227270126343,0.44246665663059725,0,160000,24,9065
6,-100.337776,0.10367338,-100.9504,-100.05179,1.044763,1.0,3.0,-10.009759,-10.54296,0.52849334,-0.0064918464,-10.678352,4.2815313,0.006491846,0.21722141,-0.0041938853,-0.022704385,0.56523126,0.00075646874,80.0,42,0.9979494,0.00025,-100.2977066040039,0.670472264289856,0.4258333297731258,0,192000,28,7431
7,-100.33691,0.10349198,-100.971535,-100.04688,1.0412939,1.0,3.0,-10.0184145,-10.4504385,-4.2683916,0.0018850344,-10.1304655,0.47198048,-0.0018850353,0.16306624,-0.0034120544,-0.012092481,0.5253873,0.00062092656,80.0,42,0.99851614,0.00023999999999999998,-100.29898834228516,0.6316238641738892,0.40920000592278644,0,224000,34,5718
8,-100.33613,0.10341014,-100.99214,-100.04255,1.0410919,1.0,3.0,-10.018174,-10.452954,-4.5471964,0.00057658367,-10.17087,1.2968025,-0.00057658384,0.1332516,-0.0029241277,-0.0033208649,0.4838896,0.0008227313,80.0,42,0.9983879,0.00022999999999999995,-100.29949188232422,0.6272206902503967,0.3925666771128039,0,256000,38,7472
9,-100.3369,0.10383783,-100.97482,-100.040985,1.0428902,1.0,3.0,-10.017546,-10.505553,-5.33408,-0.001048131,-9.931927,0.61910915,0.0010481315,0.12229024,-0.002883106,-0.006194804,0.44059515,0.0006372205,80.0,42,0.9979982,0.00022,-100.29978942871094,0.6237958669662476,0.3759333442714601,0,288000,41,9102
10,-100.336876,0.10307582,-101.07298,-100.04447,1.0419394,1.0,3.0,-10.016969,-10.552974,-4.606325,-0.0017038197,-10.413513,0.55297375,0.00170382,0.11450833,-0.0026145512,-0.0028193353,0.3953409,0.0006914418,80.0,42,0.99870706,0.00020999999999999998,-100.30010986328125,0.6209836006164551,0.3592999952524963,0,320000,45,8997
