Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-148.8332713293651,21.092267854062378,-225.26949,-102.60184,84.46560846560847,17.0,164.0,-0.11881748962402344,-0.65182436,0.4165871,-10.4706162109375,-30.609432,-1.009722,10.470616340637207,132.44790649414062,-0.1308116912841797,-58.13211441040039,0.7436313033103943,0.0012933624675497413,80.0,2024,0.9888386130332947,0.0003,-91.70390319824219,14.156405448913574,0.508999994180536,32000,236,135
2,-149.12471516927084,21.631989101188967,-212.19652,-102.2145,83.3125,18.0,140.0,-3.39515185546875,-8.823554,7.8723736,-1.23752099609375,-13.277834,4.5472713,1.2375210523605347,5.2206339836120605,-0.031345486640930176,-3.539283514022827,0.7403689026832581,0.0017500019166618586,80.0,2024,0.9938169121742249,0.0002990033222591362,-92.19596862792969,13.877543449401855,0.5073421985260703,64000,985,179
3,-151.71462264150944,22.492874732826632,-232.70161,-103.99486,86.06738544474393,21.0,158.0,-4.4954365234375,-8.738773,4.8201194,-0.8702634887695313,-8.744282,1.7297989,0.8702635765075684,1.9374911785125732,-0.015527665615081787,-1.2900645732879639,0.7370959520339966,0.001464067492634058,80.0,2024,0.9939975142478943,0.0002980066445182724,-92.41041564941406,14.021376609802246,0.5056843768217382,96000,1205,144
4,-158.1802487428161,26.201773912812868,-262.55478,-103.325165,91.85057471264368,15.0,149.0,-5.494865234375,-8.964716,2.0350246,-0.490271728515625,-6.0965714,1.6922092,0.4902717173099518,0.753781795501709,-0.010187536478042603,-0.4547078013420105,0.7338122725486755,0.001683076610788703,80.0,2024,0.9939899444580078,0.0002970099667774086,-92.88037109375,14.326496124267578,0.5040265646673453,128000,1425,145
5,-162.7786382630814,30.399109067900213,-295.9718,-103.177086,92.83720930232558,20.0,169.0,-5.76928076171875,-8.714647,0.91804725,-0.37380859375,-3.5080893,1.6027055,0.3738085627555847,0.4498636722564697,-0.007544040679931641,-0.24335454404354095,0.7305175065994263,0.00154601049143821,80.0,2024,0.9942827224731445,0.00029601328903654483,-93.58518981933594,14.85412883758545,0.50236876760236,160000,1642,147
6,-175.0285922666139,40.925118308250546,-316.70758,-101.65886,101.06645569620254,16.0,184.0,-6.11733251953125,-8.791864,-1.6830866,-0.20528866577148439,-3.0785148,1.9498405,0.20528866350650787,0.2782731056213379,-0.006100639700889587,-0.08034642785787582,0.7272123694419861,0.0014575320528820157,80.0,2024,0.9964002966880798,0.00029501661129568106,-94.63133239746094,15.970627784729004,0.5007109615988222,192000,1861,146
7,-187.94455729166665,50.477552766881765,-372.6426,-102.59052,106.21,16.0,198.0,-6.3036689453125,-8.818807,-2.5499647,-0.08333731079101563,-2.4426472,2.389369,0.08333732187747955,0.28526848554611206,-0.0063552334904670715,-0.03524845838546753,0.7238959074020386,0.0014543746365234256,80.0,2024,0.9999452829360962,0.00029401993355481724,-96.10049438476562,17.577526092529297,0.4990531530460079,224000,2080,146
8,-213.58149594907408,104.08096474486688,-1347.1157,-103.173416,118.33333333333333,15.0,379.0,-6.225640625,-8.71587,-3.2228818,-0.028761573791503906,-4.982364,2.8733683,0.028761574998497963,0.5026654601097107,-0.009739324450492859,-0.1249290183186531,0.7205685973167419,0.001527514890767634,80.0,2024,0.9997587203979492,0.00029302325581395347,-98.39266967773438,22.961437225341797,0.4973953486081037,256000,2298,146
9,-238.6066048306773,120.27934782806325,-800.13153,-103.54263,127.43426294820718,22.0,429.0,-6.1161494140625,-8.52726,-2.989979,0.251986572265625,-2.667034,4.04192,-0.251986563205719,0.7193877696990967,-0.013288289308547974,-0.19657927751541138,0.7172299027442932,0.0015212541911751032,80.0,2024,1.0043506622314453,0.0002920265780730897,-101.16304779052734,27.863895416259766,0.49573755522300433,288000,2451,209
10,-309.6959605414747,231.2078383535667,-1834.7319,-103.50446,147.35944700460828,19.0,500.0,-5.7352021484375,-7.8076406,-1.7081404,0.18870181274414063,-3.8100839,4.1400766,-0.1887018084526062,0.773690938949585,-0.014730826020240784,-0.23507905006408691,0.7138803005218506,0.0014347201213240623,80.0,2024,1.0018664598464966,0.0002910299003322259,-106.0626220703125,39.85226058959961,0.49407972120219784,320000,2668,147
11,-315.5419964519651,275.6839212833213,-2645.4292,-101.334335,139.65065502183407,19.0,500.0,-5.507509765625,-7.962614,2.3667355,0.4794822998046875,-4.43541,4.9931107,-0.4794822633266449,0.9108752012252808,-0.015655726194381714,-0.45537319779396057,0.7105190753936768,0.0013658736133947968,80.0,2024,1.006917119026184,0.0002900332225913621,-111.0547103881836,50.80148696899414,0.4924219133214656,352000,2886,146
12,-415.19182265228426,511.14504681474585,-3854.0857,-103.73804,161.0,18.0,500.0,-4.91679248046875,-7.941494,3.5495975,0.3677205810546875,-5.160135,5.1684694,-0.3677205741405487,0.9220035076141357,-0.016626328229904175,-0.43844738602638245,0.7071467041969299,0.0014027144061401486,80.0,2024,1.004164218902588,0.0002890365448504983,-118.37820434570312,74.52838897705078,0.4907641100806215,384000,3105,146
13,-461.50232712765956,556.3439162887371,-3078.5503,-105.45864,169.94148936170214,21.0,500.0,-4.3983603515625,-7.6631236,-0.2707445,0.4548226013183594,-2.655127,5.3917184,-0.4548225998878479,0.6923788785934448,-0.013030141592025757,-0.38811469078063965,0.7037631273269653,0.0012291379971429706,80.0,2024,1.006693959236145,0.0002880398671096345,-125.85771179199219,92.46934509277344,0.4891063197964703,416000,3258,208
14,-408.8203493514151,533.7288195611969,-4015.7034,-103.82411,150.6745283018868,20.0,500.0,-3.83088330078125,-7.3598237,-0.49544623,0.4924394836425781,-2.6852484,5.7477813,-0.4924394488334656,0.5719578266143799,-0.011640727519989014,-0.32980677485466003,0.70036780834198,0.0011970988707616925,80.0,2024,1.0089341402053833,0.00028704318936877073,-131.61912536621094,104.20063018798828,0.4874484929448711,448000,3478,145
15,-419.65379901960785,561.48867255873,-4721.127,-103.991394,156.6764705882353,16.0,500.0,-3.247413330078125,-7.420923,-0.3054781,0.39543551635742186,-2.909106,4.48107,-0.39543548226356506,0.39644911885261536,-0.008662223815917969,-0.2269332855939865,0.696960985660553,0.0010844760108739138,80.0,2024,1.0075063705444336,0.00028604651162790696,-136.69744873046875,113.99066162109375,0.4857906968798545,480000,3694,148
16,-384.1055762614679,463.7737505973352,-3437.4016,-103.31427,146.30733944954127,16.0,500.0,-2.796735107421875,-7.0167427,0.16734646,0.33641867065429687,-1.9761776,4.4954247,-0.33641862869262695,0.2955605685710907,-0.007205158472061157,-0.15253251791000366,0.6935425400733948,0.0012092969845980406,80.0,2024,1.0069082975387573,0.0002850498338870432,-140.4369354248047,118.22288513183594,0.4841328830034904,512000,3912,146
17,-470.18118106617646,735.7421223419489,-5673.951,-104.424614,156.72058823529412,17.0,500.0,-2.557199462890625,-7.1657567,0.2992565,0.20200689697265625,-3.3078682,5.2585034,-0.20200686156749725,0.2775944471359253,-0.00774499773979187,-0.1274825781583786,0.6901123523712158,0.0012105329660698771,80.0,2024,1.0041457414627075,0.00028405315614617936,-146.19227600097656,132.9108428955078,0.4824750900450982,544000,4130,147
18,-497.38922697368423,647.7492367299328,-3788.986,-101.95077,168.08947368421053,16.0,500.0,-2.2651591796875,-7.1347313,1.8215631,0.14535667419433593,-2.815562,4.509195,-0.145356684923172,0.14132177829742432,-0.005061522126197815,-0.056587979197502136,0.6866704225540161,0.0011231314856559038,80.0,2024,1.0023632049560547,0.0002830564784053156,-151.21145629882812,139.82814025878906,0.48081727062403695,576000,4348,146
19,-360.6390134529148,436.0321089094242,-3693.442,-103.49343,142.99103139013454,20.0,500.0,-1.859693603515625,-6.7353735,0.20858482,0.16794068908691406,-1.5160934,3.1626053,-0.16794069111347198,0.12028054893016815,-0.004586964845657349,-0.044030241668224335,0.6832167506217957,0.0011959221446886659,80.0,2024,1.0040552616119385,0.0002820598006644518,-153.091796875,140.61407470703125,0.47915946409130233,608000,4565,147
20,-423.09828404017856,677.9987357763182,-5446.9756,-102.63072,142.66071428571428,16.0,500.0,-1.8286668701171875,-7.5548935,0.48416203,0.08081611633300781,-2.587538,5.6477337,-0.0808161273598671,0.12658727169036865,-0.004693806171417236,-0.04539350047707558,0.6797507405281067,0.0011872880859300494,80.0,2024,1.0011943578720093,0.00028106312292358805,-156.9442596435547,148.05270385742188,0.4775016527393509,640000,4785,145
21,-365.3480113636364,457.3903009967389,-3906.7131,-102.01799,138.44588744588745,15.0,500.0,-1.5182232666015625,-6.324691,0.36334103,0.08338330841064454,-2.0731084,4.73141,-0.08338330686092377,0.09317121654748917,-0.00406290590763092,-0.020892543718218803,0.676272988319397,0.0011346564861014485,80.0,2024,1.0016690492630005,0.0002800664451827242,-158.75416564941406,149.182373046875,0.4758438478763265,672000,5005,145
22,-401.3389528508772,665.1953149395626,-5468.04,-101.905594,139.9517543859649,16.0,500.0,-1.4569765625,-6.9688315,2.3397236,0.03002002716064453,-3.128948,2.7744088,-0.03002002462744713,0.09552355855703354,-0.004526566714048386,-0.033697791397571564,0.6727829575538635,0.0013531444128602743,80.0,2024,0.9988511800765991,0.00027906976744186045,-161.4755859375,155.3028564453125,0.47418603280317817,704000,5160,206
23,-362.5270138888889,410.3739216319131,-3075.5325,-102.27427,142.04444444444445,15.0,500.0,-1.2827890625,-6.5627475,0.41289693,0.032847679138183594,-1.832916,4.9814296,-0.032847680151462555,0.06600489467382431,-0.0034986287355422974,-0.01113353855907917,0.6692809462547302,0.0011653895489871502,80.0,2024,1.0002037286758423,0.0002780730897009966,-162.6621551513672,154.58657836914062,0.4725282478009028,736000,5314,206
24,-374.0241924894958,579.0389603878644,-4273.868,-102.44817,133.84873949579833,18.0,500.0,-1.3251007080078125,-7.492545,0.49750876,0.01024050521850586,-1.7070271,6.1608386,-0.010240505449473858,0.0690055713057518,-0.003372672013938427,-0.010617313906550407,0.6657661199569702,0.001039181835949421,80.0,2024,0.9984228014945984,0.0002770764119601329,-164.55947875976562,157.7064208984375,0.47087042074455177,768000,5533,146
25,-337.8479406130268,550.0264013168767,-4522.811,-102.59842,121.84674329501915,18.0,500.0,-1.27279541015625,-7.070462,0.41335586,0.005207509994506836,-1.9130031,5.0959473,-0.005207509733736515,0.06567873060703278,-0.0036386745050549507,-0.01503907609730959,0.6622391939163208,0.0012795367510989308,80.0,2024,0.99860680103302,0.0002760797342192691,-166.04689025878906,160.079345703125,0.4692126207832592,800000,5752,146
26,-323.2681136592742,360.6303173700897,-3167.8003,-101.336205,128.65725806451613,15.0,500.0,-1.1450048828125,-6.649375,0.32765347,0.020526058197021486,-1.2203275,4.239482,-0.020526058971881866,0.048652298748493195,-0.0029954537749290466,-0.006872291676700115,0.6586998701095581,0.0013331108493730426,80.0,2024,1.000276803970337,0.0002750830564784053,-166.5393829345703,159.07623291015625,0.46755480505245134,832000,5905,209
27,-344.1716003417969,599.841984400892,-4903.2056,-101.98933,124.27734375,16.0,500.0,-1.152318115234375,-6.693453,0.41352034,-0.0164171142578125,-2.15444,3.0735884,0.016417115926742554,0.06890437006950378,-0.003870847634971142,-0.022426076233386993,0.655147910118103,0.0013417117297649384,80.0,2024,0.9977631568908691,0.0002740863787375415,-167.91329956054688,162.50347900390625,0.46589701503594644,864000,6123,146
28,-285.40578531598516,311.0712394052689,-2788.799,-102.57444,118.70631970260223,15.0,500.0,-0.9860823974609375,-6.7929916,0.8708986,0.0037399668693542483,-2.3090558,1.8290843,-0.0037399667780846357,0.03750002756714821,-0.0028038069140166044,-0.006736116483807564,0.6515830755233765,0.0012229959247633815,80.0,2024,0.9985082745552063,0.0002730897009966777,-167.7946014404297,161.07411193847656,0.4642392090573236,896000,6340,147
29,-312.86515077821014,439.05156003998076,-4167.3335,-102.6827,123.85992217898833,17.0,500.0,-1.0754345703125,-6.9941163,0.5051602,-0.012583008766174316,-1.8556057,1.687047,0.012583008036017418,0.03819233179092407,-0.002735697664320469,-0.007934747263789177,0.6480057835578918,0.0012524726334959269,80.0,2024,0.9985486268997192,0.00027209302325581394,-168.17591857910156,160.9930877685547,0.462581401620532,928000,6495,206
30,-251.66773897058823,309.8748491654796,-4651.239,-101.76934,110.55709342560553,17.0,500.0,-0.9123201904296875,-5.1918664,0.30453098,0.007258907318115234,-1.8376127,2.6767569,-0.007258906960487366,0.03441498056054115,-0.0023458795621991158,-0.009408842772245407,0.6444154381752014,0.0012299517402425408,80.0,2024,0.9989808797836304,0.00027109634551495017,-167.54873657226562,160.09298706054688,0.460923580000595,960000,6711,147
31,-239.37169471153845,241.57136493999937,-3306.1562,-102.802536,102.53846153846153,13.0,440.0,-0.8519856567382813,-4.8197727,0.027222037,-0.0066918649673461915,-1.4123027,1.8058443,0.006691865157335997,0.02294023707509041,-0.0020848545245826244,-0.004096676595509052,0.6408122777938843,0.0012547054793685675,80.0,2024,0.9972463846206665,0.00027009966777408634,-166.8998260498047,158.6325225830078,0.45926578685916697,992000,6930,146
32,-251.89098011363637,334.35757358401054,-4055.9956,-101.74278,103.77597402597402,14.0,500.0,-0.9113316040039062,-5.4347587,0.91300917,-0.011136391639709472,-1.948922,2.623932,0.011136391200125217,0.0289644543081522,-0.002361297607421875,-0.007011032197624445,0.6371962428092957,0.0012334961211308837,80.0,2024,0.9982674717903137,0.00026910299003322257,-166.6210174560547,158.07308959960938,0.457607982876947,1024000,7084,206
33,-211.06846029635258,159.5182908207801,-1820.5814,-101.974815,96.94832826747721,15.0,321.0,-0.79414208984375,-3.055161,0.48570922,0.0008778066635131836,-1.2654057,2.0251908,-0.0008778072660788894,0.01923060230910778,-0.0016085043316707015,-0.0028535763267427683,0.6335668563842773,0.001047238940373063,80.0,2024,0.9990519285202026,0.00026810631229235875,-165.51571655273438,156.3722381591797,0.455950156941188,1056000,7304,145
