Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-150.82555537135278,23.159230704915508,-250.92525,-101.93965,84.81697612732096,18.0,148.0,0.12661293029785156,-0.30823338,0.596247,-10.89405859375,-32.96917,-0.2547797,10.894058227539062,145.1842803955078,-0.14476299285888672,-63.94811248779297,0.7436313033103943,0.001457032049074769,80.0,40226,0.9876860976219177,0.0003,-93.01264190673828,14.098221778869629,0.508999994180536,0.6,32000,218,146
2,-150.8410505589431,19.709046636226297,-220.64198,-102.6759,86.54471544715447,20.0,143.0,-3.2066728515625,-8.40924,7.7290096,-1.27036962890625,-12.758732,5.6575685,1.2703697681427002,6.276020526885986,-0.03432512283325195,-4.2592058181762695,0.7403689026832581,0.0019387659849599004,80.0,40226,0.9945294260978699,0.0002990033222591362,-92.51939392089844,14.17579460144043,0.5073421985260703,1.2,64000,997,145
3,-146.69364689086294,20.66561625295053,-234.7689,-103.03244,81.21827411167513,14.0,140.0,-3.890288330078125,-8.284509,5.4716454,-1.037771484375,-8.806456,1.5103157,1.0377715826034546,2.3296313285827637,-0.019626617431640625,-1.5681225061416626,0.7370959520339966,0.001858538598753512,80.0,40226,0.9936184883117676,0.0002980066445182724,-92.41153717041016,13.748210906982422,0.5056843768217382,1.9,96000,1216,146
4,-150.01407090053763,20.81773542436652,-211.6628,-102.273155,85.81989247311827,17.0,143.0,-4.7594169921875,-8.409835,2.6929169,-0.7210736694335937,-6.303767,1.1674811,0.7210737466812134,1.0582482814788818,-0.012607276439666748,-0.6816051006317139,0.7338122725486755,0.001856044982559979,80.0,40226,0.9929859638214111,0.0002970099667774086,-92.27227783203125,13.858670234680176,0.5040265646673453,0.0,128000,1431,148
5,-153.1033662056011,22.954071250075703,-244.15897,-102.253525,87.37978142076503,18.0,151.0,-5.33316162109375,-8.344467,0.36365965,-0.5170133666992187,-4.238999,1.0352345,0.517013430595398,0.58735591173172,-0.008348822593688965,-0.35587018728256226,0.7305175065994263,0.0016107904957607388,80.0,40226,0.99491947889328,0.00029601328903654483,-92.4638671875,13.945747375488281,0.50236876760236,1.2,160000,1595,194
6,-156.3797610803324,25.871156558796336,-240.69354,-102.213615,88.59002770083103,16.0,146.0,-5.6834248046875,-8.44654,-1.3878475,-0.3870537109375,-3.1695006,1.1896511,0.3870536983013153,0.34684252738952637,-0.006052732467651367,-0.18354462087154388,0.7272123694419861,0.0015822056448087096,80.0,40226,0.996469259262085,0.00029501661129568106,-92.8034896850586,14.0764741897583,0.5007109615988222,0.0,192000,1760,194
7,-162.45774356617648,28.62963936203179,-267.7674,-102.93063,93.89117647058823,18.0,165.0,-6.093923828125,-8.696045,-2.470811,-0.243373779296875,-2.9774342,1.4773493,0.2433737814426422,0.22895585000514984,-0.005521044135093689,-0.08000317960977554,0.7238959074020386,0.0015448341146111488,80.0,40226,0.9965355396270752,0.00029401993355481724,-93.19664764404297,14.442767143249512,0.4990531530460079,1.2,224000,1922,197
8,-170.95009219720498,34.85399058842313,-341.2702,-103.62884,99.35093167701864,20.0,179.0,-6.247873046875,-8.591697,-3.4018297,-0.17294039916992188,-2.5288818,1.5758681,0.17294040322303772,0.2119852900505066,-0.005340307950973511,-0.05124770104885101,0.7205685973167419,0.0015560602769255638,80.0,40226,0.996812105178833,0.00029302325581395347,-93.83979797363281,15.014361381530762,0.4973953486081037,1.4,256000,2084,197
9,-181.83497345753204,47.340841230352424,-452.6389,-103.62519,102.25641025641026,14.0,238.0,-6.2981796875,-8.65091,-3.4086146,-0.16737689208984374,-3.4558585,1.7924361,0.16737687587738037,0.2766323685646057,-0.007030293345451355,-0.05334211140871048,0.7172299027442932,0.0016585231060162187,80.0,40226,0.9972743391990662,0.0002920265780730897,-94.85858917236328,16.244850158691406,0.49573755522300433,1.4,288000,2249,194
10,-197.1346700174825,62.62869965901432,-462.94745,-101.46561,111.31818181818181,16.0,328.0,-6.3712294921875,-8.664087,-3.5850027,-0.052091999053955076,-2.4092858,2.366724,0.05209200084209442,0.3289053440093994,-0.00766347348690033,-0.032762311398983,0.7138803005218506,0.0016138491919264197,80.0,40226,0.9990968704223633,0.0002910299003322259,-96.09814453125,18.18402862548828,0.49407972120219784,0.4,320000,2470,144
11,-245.81610818273091,124.84978926501266,-1167.9089,-101.53839,128.44979919678715,18.0,354.0,-6.31777490234375,-8.581238,-2.590471,-0.10436588287353515,-5.7624426,2.9232106,0.10436589270830154,0.6761096715927124,-0.012275882065296173,-0.17820261418819427,0.7105190753936768,0.0016021219780668616,80.0,40226,0.9981731176376343,0.0002900332225913621,-98.89498901367188,25.007808685302734,0.4924219133214656,0.0,352000,2636,192
