Episode,disturbance_level,Steps,Returns
1,0.1,23,-105.71444758918375
2,0.6,66,-130.98071161897414
3,1.6,86,-145.97510354338488
4,1.0,87,-139.59210380175236
5,0.5,100,-136.1456858399581
6,0.0,22,-104.9709048850762
7,1.8,67,-129.17224606208973
8,0.4,66,-136.35175761096448
9,0.1,55,-122.89416181622795
10,0.0,18,-103.76317522359926
11,0.6,64,-131.29634242326568
12,0.4,98,-150.81117055396794
13,0.6,84,-163.76424908730453
14,0.0,25,-104.10141522569924
15,0.6,90,-146.31807992568503
16,0.1,41,-111.20903084828124
17,0.3,77,-136.6396072002836
18,0.5,86,-134.61811654405952
19,1.1,105,-157.14421095730137
20,0.6,81,-157.0587533570799
21,0.1,29,-110.72643583475448
22,0.1,34,-103.88678457828452
23,0.6,86,-149.01340577889462
24,0.0,23,-107.09958211004503
25,0.9,72,-136.5483084291763
26,1.1,79,-138.4739272628259
27,0.0,17,-102.61994090316888
28,0.4,95,-133.1326010498302
29,0.4,88,-145.5244728852709
30,0.2,85,-142.38773751359938
31,0.5,83,-166.56488359754076
32,0.5,67,-128.74648764759843
33,0.2,89,-152.09822195657233
34,0.6,89,-138.9808384866196
35,0.1,27,-101.89385803970835
36,0.1,51,-113.07033633958055
37,0.8,79,-138.9620709281258
38,0.7,88,-151.959781826799
39,1.1,74,-150.82923471019438
40,0.8,86,-166.73535689214145
41,0.4,86,-159.9944640944694
42,0.2,47,-113.59985648839819
43,0.6,72,-137.7606988236689
44,1.5,67,-132.2432184048174
45,0.1,27,-109.95489374009689
46,1.8,73,-142.31243002970882
47,0.8,82,-146.3879298002558
48,1.4,91,-137.1775495495658
49,1.2,77,-131.669896851027
50,0.1,65,-120.39743714363584
51,0.3,90,-133.03782776728352
52,0.7,73,-149.76920124764584
53,0.2,77,-143.8235403910034
54,1.1,91,-146.60434830761605
55,0.4,92,-150.81391158267144
56,1.8,88,-131.42112931554877
57,0.7,76,-145.57712926912052
58,0.5,81,-158.23955752101207
59,0.0,24,-106.08596285554064
60,1.3,73,-140.69063530291868
61,0.4,69,-130.64329146960316
62,0.9,65,-142.0670450104801
63,0.3,101,-147.93182989064744
64,1.5,83,-155.99949386830582
65,1.4,83,-145.5147420333408
66,0.8,79,-135.49044470398766
67,0.0,22,-106.45937580326043
68,1.2,87,-158.90302327685367
69,1.5,69,-146.56981383893645
70,1.4,65,-136.16733126333145
71,0.6,81,-138.58505189216572
72,0.3,67,-140.33751084848677
73,1.0,93,-146.85832315462085
74,0.7,72,-131.0089244323857
75,0.6,96,-150.11177885047047
76,0.8,89,-163.3048570088856
77,0.0,25,-105.85277578051269
78,1.3,60,-130.60481755884982
79,0.1,58,-121.91689241976471
80,0.2,102,-158.55893917986205
81,0.0,30,-104.22763787552725
82,0.9,86,-139.6269423839949
83,0.2,70,-131.20940834898516
84,0.2,67,-137.0916806362803
85,0.8,97,-144.8667457996344
86,0.5,85,-143.86890479142417
87,1.4,89,-143.2272140071402
88,0.8,73,-130.42014575509035
89,0.1,62,-119.62722179870045
90,0.0,25,-103.74645187701917
91,1.0,91,-164.19197119573823
92,0.6,64,-141.27898058953943
93,1.7,82,-127.06536860314597
94,0.6,84,-136.88899066580916
95,0.4,77,-140.08269704261852
96,0.4,81,-143.30299150517567
97,1.3,90,-126.60410048077794
98,0.6,79,-133.30820563763024
99,0.0,35,-107.7609728549321
100,0.4,83,-135.6661651028075
101,0.5,107,-155.13412468736277
102,0.7,86,-146.58956511772857
103,1.3,93,-153.64364306630802
104,1.0,79,-141.31559997903045
105,0.6,72,-150.7457452784625
106,0.6,85,-161.72007373385907
107,0.0,53,-120.67871298482801
108,0.8,79,-131.07405074917182
109,0.5,68,-135.25230082652425
110,0.9,70,-141.14383406543067
111,0.5,73,-140.9939983241731
112,0.8,100,-152.16805359287036
113,0.6,86,-144.81823404114448
114,0.5,91,-148.9407328483952
