Episode,disturbance_level,Steps,Returns
16091,0.4,36,-106.38204340496806
1,0.2,80,-126.40908911000888
2,1.2,63,-135.06463021333028
16092,0.9,227,-346.90482348761816
3,0.6,83,-129.20542559592388
16093,0.6,104,-228.366761446716
4,0.3,76,-148.4190807401324
16094,1.9,107,-225.30302515837977
5,1.1,81,-140.44819541612165
6,0.1,32,-106.81217921149903
16095,0.5,115,-207.66318693398986
16096,0.3,32,-108.27240602080425
7,0.4,71,-139.37633466195948
16097,1.8,118,-192.1926759532999
8,0.5,81,-135.82471591531447
16098,0.7,81,-122.94594880227709
9,0.2,87,-135.52477976381482
10,0.1,77,-135.1259153014013
16099,0.6,172,-233.8558602780077
11,0.5,96,-138.13557859160943
16100,0.8,141,-202.54357683654467
12,0.5,76,-146.58807175091906
16101,0.9,122,-134.0595058399776
16102,2.0,79,-133.0655147751847
13,0.3,89,-127.37958327872882
16103,0.1,38,-114.29175192514471
14,0.2,67,-139.38110694231875
16104,0.7,78,-148.30901602243546
16105,0.5,42,-103.24000072994966
15,0.7,66,-133.0279531903723
16106,0.2,55,-122.91595545320295
16107,0.0,18,-104.60355274993306
16,1.7,84,-135.735972418478
17,1.5,69,-138.8843189696736
16108,0.6,166,-392.91516702897735
16109,1.9,33,-107.86014287144316
16110,0.0,26,-109.06467487108013
16111,0.2,17,-103.89744396798852
16112,0.0,20,-105.57427057383293
18,1.7,74,-134.6150652808925
16113,0.9,70,-125.86380802381245
19,0.7,91,-169.0074643903576
16114,0.8,77,-142.41865656975511
16115,1.6,78,-162.7498319508439
20,0.6,74,-134.9455604476358
16116,0.5,70,-144.271547643982
21,0.6,80,-134.6720870274216
16117,0.5,164,-202.54690661352538
22,0.2,94,-159.92853327201277
16118,0.7,69,-146.54742820900802
23,0.5,74,-142.07367197304978
24,1.3,88,-146.16413215367717
16119,0.6,182,-533.1875390589657
16120,0.4,34,-106.73817142136723
16121,0.0,21,-104.58737567958877
16122,0.1,22,-104.07321066423215
25,0.3,85,-133.19682303819815
16123,1.1,102,-142.21608796904908
16124,0.3,40,-112.56820260949647
16125,0.1,33,-108.48787028557422
26,0.7,92,-139.8950502239484
16126,1.2,77,-158.77976976784322
27,0.4,87,-159.79249102130098
16127,1.2,143,-175.32402942060952
28,0.6,97,-143.9530161392804
16128,1.0,163,-226.52706974723858
29,0.7,78,-131.77724681858712
16129,0.1,44,-109.95886718966382
16130,0.1,20,-105.52403023435943
30,0.1,55,-116.90862921979249
16131,2.0,76,-155.15419812079335
16132,0.2,36,-110.04092705043551
16133,0.0,19,-106.3887673222383
31,0.3,76,-143.4523221841149
16134,0.4,68,-141.66138555186868
16135,0.1,70,-129.57453358252775
32,1.2,93,-150.9879749616936
33,1.0,62,-135.34385103428463
16136,1.4,129,-179.6571042917915
16137,0.5,53,-118.84817719703173
34,0.8,92,-149.8104754983691
16138,1.5,71,-159.57503921610873
16139,0.1,24,-106.2094568576262
16140,0.3,18,-101.04610513166048
16141,0.1,19,-106.55604551444186
35,0.5,97,-135.5823186480898
36,0.7,65,-136.74854240665283
16142,1.3,234,-648.7912765389221
37,0.2,103,-133.8199258257015
38,0.0,27,-109.13216084508745
16143,0.8,85,-168.28048155223547
16144,1.2,78,-161.44227921517566
39,0.3,86,-136.14520017760313
16145,0.4,78,-154.3508980252217
16146,0.4,48,-113.3606125322899
16147,0.1,18,-103.69872350274288
40,0.8,94,-146.5284504360046
16148,1.1,89,-166.40507242073784
41,1.5,66,-132.00059343868432
