Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-135.70876832134957,16.605978996742877,-197.38844,-102.88142,70.77654867256638,15.0,116.0,0.03479993438720703,-0.3705062,0.33092916,-9.5147333984375,-23.122517,-0.34955007,9.514732360839844,105.56623840332031,-0.1209268569946289,-51.75909423828125,0.7436313033103943,0.001374417101033032,80.0,42,0.9881790280342102,0.0003,-89.97595977783203,11.863682746887207,0.508999994180536,0.4,32000,233,137
2,-137.06145352193997,16.63392617513977,-190.57675,-102.06331,73.86605080831409,17.0,135.0,-2.373481201171875,-8.5018425,7.9909973,-1.929779541015625,-15.887041,7.339969,1.929779291152954,11.048012733459473,-0.053748250007629395,-7.86354398727417,0.7403689026832581,0.0019181339303031564,80.0,42,0.9910333156585693,0.0002990033222591362,-89.72250366210938,12.146336555480957,0.5073421985260703,1.2,64000,856,130
3,-137.9185047238372,17.650429041494636,-193.01323,-103.33076,74.24651162790698,15.0,124.0,-4.4326337890625,-8.530575,4.676078,-1.2072015380859376,-9.618959,1.5507975,1.2072017192840576,2.842597246170044,-0.022452235221862793,-1.8733412027359009,0.7370959520339966,0.0017780134221538901,80.0,42,0.9910072684288025,0.0002980066445182724,-89.68982696533203,12.326986312866211,0.5056843768217382,0.7,96000,1033,180
4,-141.68627692657768,20.01772291960108,-251.2102,-102.87992,77.64320388349515,14.0,133.0,-5.5462255859375,-8.805944,2.1916287,-0.7318041381835938,-6.4620023,1.3229225,0.7318041920661926,1.1323562860488892,-0.012951016426086426,-0.708267867565155,0.7338122725486755,0.0015643262304365635,80.0,42,0.9937592148780823,0.0002970099667774086,-89.90432739257812,12.544365882873535,0.5040265646673453,1.2,128000,1274,133
5,-145.33755116498742,21.587199056344407,-224.30363,-101.69122,80.49370277078086,16.0,147.0,-6.21247998046875,-9.057411,-0.6216144,-0.45981927490234376,-4.4404726,1.1172736,0.4598192870616913,0.5358465313911438,-0.008445262908935547,-0.30040091276168823,0.7305175065994263,0.0015520587330684066,80.0,42,0.9939678907394409,0.00029601328903654483,-90.22764587402344,12.767354965209961,0.50236876760236,1.0,160000,1452,180
6,-144.35327509236453,22.766697304563863,-215.5825,-102.34198,78.7192118226601,16.0,145.0,-6.6620595703125,-9.14556,-2.55359,-0.2490399169921875,-3.52177,1.128757,0.249039888381958,0.2764863073825836,-0.006380245089530945,-0.11585287749767303,0.7272123694419861,0.0016069506527855992,80.0,42,0.9955878257751465,0.00029501661129568106,-90.47784423828125,12.941329956054688,0.5007109615988222,0.1,192000,1694,132
7,-154.01652971730246,27.295343246473003,-329.54816,-102.25557,87.17438692098092,15.0,189.0,-6.880083984375,-9.152627,-3.787575,-0.14108570861816405,-3.1083744,1.316124,0.14108571410179138,0.17843127250671387,-0.0051122307777404785,-0.04025408253073692,0.7238959074020386,0.00156303565017879,80.0,42,0.9970866441726685,0.00029401993355481724,-90.95543670654297,13.351947784423828,0.4990531530460079,0.4,224000,2003,103
8,-157.34516242937852,30.47721172158034,-272.39197,-102.086426,90.30790960451978,17.0,167.0,-6.9707607421875,-9.172122,-3.9790633,-0.042675086975097656,-2.48762,1.4931998,0.04267507791519165,0.1644361913204193,-0.005148664116859436,-0.018841570243239403,0.7205685973167419,0.0016107260016724467,80.0,42,0.998404324054718,0.00029302325581395347,-91.40495300292969,13.8604736328125,0.4973953486081037,0.1,256000,2182,177
9,-168.59850394061584,44.71559072909805,-411.08734,-102.18353,93.56598240469208,16.0,207.0,-6.9567685546875,-9.015244,-2.3433285,-0.06710222625732422,-2.8684955,1.6138024,0.06710222363471985,0.22716064751148224,-0.006154827773571014,-0.03365765139460564,0.7172299027442932,0.0015126543585211039,80.0,42,0.9968375563621521,0.0002920265780730897,-92.35541534423828,15.153488159179688,0.49573755522300433,1.8,288000,2357,183
10,-178.00536653037383,53.537013719540155,-449.7233,-102.47067,99.54205607476635,17.0,202.0,-6.9517490234375,-9.080632,-4.1571255,0.06703617858886719,-2.5972326,2.3512921,-0.06703617423772812,0.3022664785385132,-0.006975777447223663,-0.02942705526947975,0.7138803005218506,0.0014014849439263344,80.0,42,1.0014100074768066,0.0002910299003322259,-93.41560363769531,16.715866088867188,0.49407972120219784,0.1,320000,2607,128
